country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Argentina,1990,South/Latin America,93.45346145,2.129761001,0.24215048,47.1073384,43.8797881,35.81957894,11.62886826,18.37,23.586,18.6280058,20.57099352,0.113698429,51.014,40.464,1.304015519,0.0,26.319,0.274
Argentina,1991,South/Latin America,99.11433289,2.169585947,0.235325977,48.6132222,45.68352455,30.79793554,11.5964944,20.207,23.699,19.35802431,21.39797868,0.108465847,53.864,42.287,1.039820066,0.0,27.101,0.289
Argentina,1992,South/Latin America,101.0933022,2.151134992,0.222374137,52.26141856,46.99533158,35.17650623,11.77939858,20.862,24.704,19.73899625,21.88102287,0.103375259,56.117,45.16,0.873525625,0.0,30.369,0.2
Argentina,1993,South/Latin America,105.3457076,2.176160113,0.214152656,56.29770921,48.40898745,39.19844861,11.98146035,20.5,25.317,21.8699736,23.47801526,0.098408501,61.88,48.568,1.046,0.0,31.978,0.166
Argentina,1994,South/Latin America,107.9728126,2.061220542,0.207389513,61.81820772,52.38295,42.30581711,12.15728863,21.129,23.415,22.67997268,24.39803105,0.100614907,65.634,52.376,1.530031154,0.0,36.283,0.344
Argentina,1995,South/Latin America,108.8263334,2.081683914,0.215150399,65.75437415,52.27802966,40.35962549,12.74594607,20.375,22.763,24.32501483,25.70099601,0.103354019,67.181,56.006,1.363125517,0.0,39.04,0.302
Argentina,1996,South/Latin America,118.8983213,2.202303915,0.222751977,70.83352589,53.98815327,33.27839248,12.62102216,22.044,24.834,26.43600864,28.50500454,0.101144976,69.772,58.976,1.26273773,0.014332397,42.583,0.307
Argentina,1997,South/Latin America,121.4134612,2.178231072,0.210398486,74.87091512,55.7394772,39.28665057,13.0736798,22.739,26.831,27.91398126,29.39198558,0.096591445,72.475,63.406,1.132754638,0.020696792,44.936,0.249
Argentina,1998,South/Latin America,127.051088,2.139782305,0.212005394,79.18849719,59.37570741,36.28459351,13.61117808,23.857,27.969,32.19701016,32.01596586,0.09907802,74.183,68.647,0.992509276,0.044484585,45.805,0.287
Argentina,1999,South/Latin America,128.4796037,2.110900799,0.221901484,80.70807817,60.86482309,27.20811303,14.58942646,22.053,27.499,36.74196944,35.03200627,0.105121702,80.759,71.313,1.002540888,0.043338823,43.966,0.333
