country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Australia,1990,Asia & Pacific,261.3850187,3.034217998,0.507651398,157.5258396,86.14576106,10.08263503,19.27076083,31.086,32.782,20.4750129,17.68399409,0.167308808,155.019,134.339,94.1,0.0,27.493,204.562
Australia,1991,Asia & Pacific,262.7206999,3.086065945,0.512280444,167.0153519,85.1312657,10.758969,19.80869329,30.516,33.475,21.31100609,16.55100127,0.165997893,156.818,136.949,97.972,0.0,27.513,219.607
Australia,1992,Asia & Pacific,266.7094848,3.076338701,0.517921619,172.1455634,86.69704825,10.3030493,19.80792505,30.352,32.862,22.78900607,17.09499225,0.168356501,159.545,138.566,100.72,0.0,26.927,228.339
Australia,1993,Asia & Pacific,270.7051235,2.969222593,0.505319345,174.9337666,91.17037035,10.77543538,19.69135288,31.08,34.415,24.46000317,17.84399248,0.17018574,163.65,142.69,98.927,0.006721662,26.654,226.065
Australia,1994,Asia & Pacific,275.2476057,3.015304544,0.494119426,173.4679059,91.28351768,10.35213749,19.74302997,31.884,35.08,26.40403128,18.72598574,0.163870488,167.463,146.499,99.435,0.010151496,25.067,225.402
Australia,1995,Asia & Pacific,285.4007164,3.083929041,0.493418286,186.906487,92.54451467,9.808903955,19.66450567,33.028,35.983,29.26000941,20.0959782,0.159996641,173.159,151.119,101.706,0.01328259,26.87,241.807
Australia,1996,Asia & Pacific,295.3561481,2.983712116,0.491563958,189.7636183,98.9894925,9.394813005,19.62757804,34.23,37.239,30.14799528,20.36501065,0.164749124,177.598,155.147,109.236,0.014639805,26.366,247.149
Australia,1997,Asia & Pacific,304.2503225,3.002280915,0.487047877,201.0230459,101.3397251,9.75571092,19.80631496,34.353,36.936,29.90796743,20.33099844,0.162225951,182.939,160.346,114.978,0.016398909,26.686,264.458
Australia,1998,Asia & Pacific,324.0946638,3.117121906,0.496109542,216.4839884,103.9724058,8.598088745,20.72839918,34.784,37.829,31.05403768,21.15601579,0.159156285,195.369,170.054,125.08,0.01842667,29.432,287.351
Australia,1999,Asia & Pacific,329.7106697,3.103739618,0.480336014,213.5411305,106.2301321,8.70545672,21.05422569,35.233,37.036,31.61302916,21.49498417,0.154760409,203.987,175.457,127.636,0.030394094,23.657,291.002
Australia,2000,Asia & Pacific,335.8544102,3.10535353,0.470770602,233.5537483,108.1533574,8.538511302,21.05335051,36.314,38.298,32.81900878,22.56700266,0.15159968,210.224,179.852,127.871,0.045665576,32.076,306.722
Australia,2001,Asia & Pacific,342.1131775,3.233556666,0.47045956,249.178666,105.8008913,8.249827498,21.82788914,36.076,37.157,33.56102238,23.81699669,0.145492907,224.635,188.035,128.067,0.113072317,33.138,329.177
Australia,2002,Asia & Pacific,354.10295,3.23496451,0.468212442,254.0723633,109.4611545,7.932587726,23.29377113,35.554,37.099,34.96999579,26.15797281,0.144734955,227.555,197.742,130.014,0.181934038,31.321,339.898
Australia,2003,Asia & Pacific,353.9045952,3.195670866,0.454382574,252.4208674,110.7450079,8.530266936,22.01474962,37.931,37.014,34.10498977,25.00400446,0.142186913,220.802,193.791,130.2538168,0.34510557,30.546,341.661
Australia,2004,Asia & Pacific,367.3212596,3.260351099,0.453227522,254.1965198,112.6630993,8.27547563,22.01027728,39.183,36.504,34.27999713,25.7570116,0.139011876,228.434,198.266,135.6244765,0.338828721,27.079,350.304
Australia,2005,Asia & Pacific,372.7144164,3.284255307,0.445604119,265.1662402,113.485214,8.924557183,22.06223761,39.432,34.768,35.84003106,25.49301982,0.135678891,228.65,198.66,137.5569317,0.421605073,24.355,370.59
Australia,2006,Asia & Pacific,376.4335586,3.191718983,0.437815475,269.8482491,117.9406961,9.339432204,22.45184594,39.784,32.429,42.70105218,25.69897295,0.137172313,232.83,202.515,140.2234935,0.77524374,22.013,374.653
Australia,2007,Asia & Pacific,387.0571393,3.194274271,0.433506041,286.1332025,121.1721682,8.714945488,22.81979052,40.291,33.059,45.30097735,29.29397271,0.135713469,243.157,212.145,141.0483671,1.119030092,24.584,391.039
Australia,2008,Asia & Pacific,390.3353791,3.104012145,0.421750425,286.7945774,125.7518852,8.17116943,22.55873601,41.448,33.205,47.20005903,30.2849978,0.135872672,243.221,213.009,140.2071657,1.32430999,22.636,392.251
Australia,2009,Asia & Pacific,393.2345964,3.122592833,0.4168097,295.3019824,125.9320755,7.522908423,23.59932542,40.564,33.236,49.46901304,31.16999397,0.133481924,248.162,217.361,144.4894138,1.605805885,23.26,407.898
Australia,2010,Asia & Pacific,391.1876751,3.098726915,0.406241165,323.3520117,126.2414165,8.615496654,23.51094838,42.229,32.984,52.65097213,31.96197393,0.131099376,252.661,220.848,133.1583589,2.153874163,24.236,435.876
Australia,2011,Asia & Pacific,389.3908041,3.066718951,0.394655624,312.7862855,126.9730974,10.39555591,23.01580791,44.949,34.467,56.39806616,32.38301841,0.128689857,253.82,224.154,128.288,2.945788354,23.242,414.803
Australia,2012,Asia & Pacific,388.0039573,3.089401631,0.378422808,320.9505941,125.5919442,10.52958781,22.55320513,46.122,32.887,54.01700768,33.86396016,0.122490648,250.931,222.051,126.977,3.704604055,21.801,434.7
Australia,2013,Asia & Pacific,385.0416842,3.020200041,0.366071201,346.4443471,127.4888017,13.17640454,22.08553675,47.558,32.894,62.97496647,36.00199097,0.121207601,249.37,221.831,116.078,4.585956611,19.14,458.43
