country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Belgium,1990,Europe,106.4454169,2.222765825,0.32184878,13.10412024,47.88872299,1.672236087,14.70290453,17.597,29.37,0.012,9.60829766,0.14479653,70.923,59.108,16.62014648,0.009869859,0.0,0.0
Belgium,1991,Europe,111.1304056,2.220451624,0.329965811,12.972907,50.04855968,1.787700178,14.55764168,19.188,32.494,0.008999991,10.24304453,0.148603017,71.936,61.783,16.02302849,0.011120996,0.0,0.0
Belgium,1992,Europe,109.8310433,2.168333133,0.321191443,12.72497894,50.65229212,1.982692973,14.96165304,19.641,32.223,0.006000005,10.55942188,0.148128273,72.225,63.871,14.23568967,0.012461059,0.0,0.0
Belgium,1993,Europe,108.2185758,2.190398409,0.319549582,12.10260263,49.40588678,1.797159556,15.35158746,19.167,31.216,0.004,11.03637165,0.145886511,70.834,64.644,13.51357655,0.011294011,0.0,2.357
Belgium,1994,Europe,113.5517455,2.164308749,0.324815741,11.62765093,52.46559464,1.99226922,14.80946188,21.558,31.735,0.001,11.23836661,0.150078283,72.179,67.822,14.47283569,0.012469001,0.0,2.107
Belgium,1995,Europe,113.9606054,2.136414825,0.318392403,11.93369733,53.341984,2.096548758,14.9083141,21.455,28.941,0.000263158,12.75518541,0.149031171,74.408,69.829,13.79664914,0.012095474,0.0,1.197
Belgium,1996,Europe,119.4241091,2.127123996,0.329305087,12.35522872,56.14346381,2.000026282,14.42679143,22.874,35.164,0.002,14.23732892,0.154812361,76.099,71.405,13.12545102,0.010512622,0.0,0.971
Belgium,1997,Europe,115.9620097,2.058188664,0.308071413,13.40138618,56.34177845,1.978866718,14.98568214,22.89,36.553,0.000157895,13.47588502,0.149680842,78.833,73.321,12.19057747,0.010148034,0.0,0.753
Belgium,1998,Europe,118.5562855,2.067419951,0.308903325,13.10683929,57.34504275,2.244448986,15.1855638,22.923,37.895,0.0,14.80757,0.14941489,83.183,75.527,12.144,0.013223856,0.0,0.637
Belgium,1999,Europe,114.2759202,1.9914095,0.287563061,13.90502297,57.38444063,2.364105355,15.20420529,22.564,35.691,0.000447368,15.66644691,0.144401772,84.514,76.05,10.545,0.015382067,0.0,0.56
Belgium,2000,Europe,116.3659107,2.004653567,0.282329038,13.73288732,58.04789046,2.717468933,15.41701986,22.574,38.174,0.002,15.84220073,0.140836822,84.012,79.166,11.614,0.019044898,0.0,0.427
Belgium,2001,Europe,116.1275516,2.013658186,0.278686248,13.32335667,57.66994236,2.853885569,15.2545838,23.153,39.993,0.0,15.84267826,0.138397991,79.821,79.816,10.974,0.046353716,0.0,0.312
Belgium,2002,Europe,110.6566539,1.984010108,0.261100337,13.49615746,55.77423899,2.763528251,16.06111123,21.956,46.145,0.0,16.22550241,0.131602322,82.069,80.438,9.529,0.069453752,0.0,0.364
Belgium,2003,Europe,114.3261809,1.964157327,0.266987578,13.69625349,58.20622379,2.671629446,15.887436,22.89,45.597,0.0,17.15293899,0.135929833,84.63,82.065,9.204,0.103982039,0.0,0.375
Belgium,2004,Europe,114.0036491,1.952183269,0.257054454,13.74716124,58.39802591,3.254206415,15.82522274,23.203,43.481,0.0,17.60198644,0.13167537,85.643,83.76,8.526719617,0.166972199,0.0,0.218
Belgium,2005,Europe,111.2141613,1.914864165,0.245074749,13.90603692,58.07939975,3.93220339,16.04513541,23.142,37.251,0.0,17.09331574,0.127985448,87.025,83.636,7.885,0.26199368,0.0,0.173
Belgium,2006,Europe,109.9231149,1.915932787,0.236201074,13.76958084,57.3731582,4.930095659,16.70255242,21.998,36.751,0.0,17.63253586,0.123282547,85.617,86.055,7.693968846,0.42982118,0.0,0.129
Belgium,2007,Europe,106.0513293,1.885158043,0.219799591,14.39315624,56.2559355,5.381549616,17.23768459,21.085,38.575,0.0,17.80619995,0.116594782,88.822,86.084,7.023,0.559546058,0.0,0.181
Belgium,2008,Europe,109.4185863,1.887360456,0.22576949,13.96289535,57.97439802,6.787943012,16.25735114,22.767,37.986,0.0,18.47112705,0.119621819,84.93,85.822,6.901,0.801836807,0.0,0.109
Belgium,2009,Europe,105.2578343,1.89276858,0.221663591,14.7775373,55.61051437,7.527812791,16.6019542,21.022,34.624,0.0,21.31016449,0.117110773,91.235,79.662,4.505,1.275826163,0.0,0.029
Belgium,2010,Europe,114.2312941,1.909489829,0.233862409,15.57240587,59.82293929,8.2467512,16.58904456,21.538,35.094,0.0,23.25280081,0.122473765,95.189,85.918,5.710894757,1.945602958,0.0,0.016
Belgium,2011,Europe,105.6152739,1.886810369,0.212620237,16.12204517,55.97556363,10.64261256,17.2000966,20.132,32.776,0.0,21.42711294,0.112687655,90.241,83.894,5.372574506,3.857448388,0.0,0.014
Belgium,2012,Europe,99.15995112,1.853570595,0.198159795,14.18560109,53.49672214,14.18183134,17.2949427,20.147,34.828,0.0,18.73552379,0.106907067,82.923,84.416,5.10349367,5.907890453,0.0,0.02
Belgium,2013,Europe,100.21459,1.796622656,0.199351891,15.0578262,55.7794313,15.56990226,16.70404676,20.802,32.145,0.0,18.69104126,0.110959243,83.488,84.46,5.445394803,7.569950172,0.0,0.116
Belgium,2014,Europe,93.48032128,1.776543083,0.183066006,12.71212965,52.6192256,18.49792143,17.05951167,20.75,35.25,0.0,16.50320694,0.103046196,72.646,82.691,5.202691091,10.33642596,0.0,0.126
