country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Brazil,1990,South/Latin America,193.7657522,1.377371897,0.126286516,104.5932097,140.6778754,94.50051835,15.86749271,57.32,61.121,3.928998136,3.971997819,0.091686578,222.821,215.795,15.374,0.0,32.724,4.595
Brazil,1991,South/Latin America,198.9929957,1.388357541,0.127761687,105.1985452,143.3297906,94.62575253,16.0958656,57.858,58.985,3.842996695,3.987996641,0.09202362,234.377,222.814,17.757,0.0,32.327,5.188
Brazil,1992,South/Latin America,203.6916539,1.406763682,0.131391905,105.1413487,144.794507,94.41943971,16.21963382,59.871,60.964,4.138998176,4.258001841,0.093400126,241.732,227.973,17.023,0.0,32.782,4.731
Brazil,1993,South/Latin America,211.1014213,1.422270184,0.130102114,106.0514886,148.4256815,95.2547068,16.52883564,61.884,61.465,4.516003014,4.628994985,0.091474964,251.976,238.635,17.216,0.0,33.425,4.595
Brazil,1994,South/Latin America,218.9660128,1.401498639,0.128114727,111.1030615,156.23705,95.40533993,16.31579777,65.517,65.328,4.685997813,4.678998912,0.091412666,260.041,247.666,17.895,0.0,34.752,5.134
Brazil,1995,South/Latin America,235.7286597,1.458870737,0.132088387,112.4885516,161.5829654,94.1574958,16.59622409,69.987,64.272,5.025997677,4.983994683,0.090541529,275.601,262.355,18.775,0.0,36.074,5.199
Brazil,1996,South/Latin America,254.2501101,1.494187764,0.139389636,119.0485507,170.1594112,93.56113404,16.57264117,75.312,68.823,5.632997923,5.695000038,0.093287898,291.278,274.892,19.216,0.000686629,40.683,4.805
Brazil,1997,South/Latin America,271.2795694,1.51779828,0.143842602,126.7542513,178.7322947,92.97783637,16.69118373,81.464,74.588,6.25299637,6.270997294,0.094770566,307.982,292.601,19.713,0.001298777,43.749,5.647
Brazil,1998,South/Latin America,278.7672409,1.52335255,0.147314778,133.8891364,182.9958803,92.92334373,16.84912121,84.879,80.01,6.562998587,6.542993174,0.096704323,321.748,304.712,18.955,0.001554011,50.577,5.516
Brazil,1999,South/Latin America,287.9485753,1.538787125,0.151457933,141.7849867,187.126972,90.03692683,16.95465275,86.558,82.879,6.974007264,7.364996829,0.098426826,334.716,313.062,20.397,0.000597521,56.775,5.66
Brazil,2000,South/Latin America,298.4781113,1.588748204,0.150397014,147.9664965,187.8699913,89.49270586,17.60846671,87.659,85.029,7.360999429,9.572009405,0.094663845,348.91,328.898,22.02705468,0.000573214,64.097,6.806
Brazil,2001,South/Latin America,304.8355158,1.594689908,0.151494759,151.9758833,191.1566093,84.28744505,16.42759623,87.568,87.674,7.478997352,12.17800436,0.09499951,328.508,306.761,21.4768925,0.010654231,67.076,5.654
Brazil,2002,South/Latin America,302.8308308,1.542896334,0.146039235,167.7504794,196.2742565,85.738173,16.64241159,85.313,86.482,9.59700391,15.01501555,0.094652655,345.671,321.121,20.03376193,0.017646838,75.406,5.144
Brazil,2003,South/Latin America,297.887073,1.493286913,0.142034749,178.7318142,199.4841517,87.16360313,17.32740723,82.391,87.112,10.36999084,15.46098337,0.095115512,364.339,339.095,20.77026389,0.016742649,77.937,4.646
Brazil,2004,South/Latin America,314.7589962,1.494068182,0.141905689,182.940622,210.6724445,86.03211228,17.24959788,85.34,92.522,10.89098915,19.08099621,0.094979393,387.453,356.268,21.94226622,0.015743845,77.13,5.406
Brazil,2005,South/Latin America,318.2504173,1.473241096,0.139027902,195.2355702,216.0205944,87.12462751,17.6500111,86.511,92.617,11.19298842,20.29499198,0.094368737,403.033,371.314,21.45003115,0.023075034,85.095,6.255
Brazil,2006,South/Latin America,322.1623604,1.440940173,0.13537336,206.9147951,223.5778879,86.74765165,17.76262364,88.122,93.577,11.3430023,20.923002,0.093947939,419.337,386.089,21.465,0.056517789,90.257,5.882
Brazil,2007,South/Latin America,337.1798121,1.426621785,0.133575846,217.1928957,236.3484251,88.21467965,17.65258933,92.006,95.747,11.11301066,21.54400276,0.093630875,445.147,406.422,22.333,0.144895956,92.205,5.965
Brazil,2008,South/Latin America,355.3178719,1.422939782,0.133938272,229.1052205,249.706893,84.26642365,17.66409826,95.2,96.303,14.26098404,25.84299074,0.094127857,463.067,422.566,22.07953785,0.180751382,95.503,6.612
Brazil,2009,South/Latin America,332.8410004,1.37799419,0.125623589,231.5419906,241.5402059,88.99577577,17.96211851,94.337,96.819,11.98400519,20.67501344,0.091164092,466.121,420.532,17.86206231,0.265596272,102.121,5.709
Brazil,2010,South/Latin America,376.9691415,1.411160083,0.132317626,247.6601042,267.1342152,84.72423388,17.48348314,103.529,97.651,15.14600169,27.92001055,0.093765142,515.745,459.308,23.44590654,0.422107825,107.445,5.415
Brazil,2011,South/Latin America,396.9225922,1.465153409,0.133995801,249.9366093,270.9085545,87.15860816,17.65466766,109.238,99.741,17.17499436,28.22503202,0.091455134,531.757,475.893,25.08562274,0.508691,110.509,5.505
Brazil,2012,South/Latin America,429.8540442,1.52699309,0.142377732,251.3890044,281.5035949,82.52211268,17.74015987,115.8,105.348,19.70998171,33.07699332,0.093240587,552.624,492.256,25.48357711,0.913822056,108.863,6.616
Brazil,2013,South/Latin America,461.6342685,1.569479751,0.148443585,252.9936603,294.132032,76.75355193,18.00065167,119.815,112.34,21.76998917,38.76597353,0.094581396,571.098,508.512,27.97245604,1.152866934,106.635,8.594
Brazil,2014,South/Latin America,486.9585038,1.605630232,0.1558017,266.9206371,303.2818479,73.19957132,18.18317861,123.595,114.723,23.38698836,42.41098899,0.097034608,590.651,522.392,29.55181308,2.070088766,118.256,7.937
Brazil,2015,South/Latin America,462.7901342,1.556263102,0.153512245,278.2773527,297.3726831,74.07762717,18.22663593,115.171,108.11,24.10597337,42.06598301,0.098641576,581.652,514.399,29.76143923,3.728174235,127.329,8.029
Brazil,2016,South/Latin America,429.7285573,1.499126737,0.147373204,285.1857458,286.652587,80.39883294,18.56405739,109.594,100.845,24.35097678,36.13203671,0.098306034,578.889,513.854,26.74317185,5.799557428,131.91,7.005
Brazil,2017,South/Latin America,436.4368661,1.494909391,0.147719646,294.4493473,291.9487086,79.17373984,18.45435737,110.578372,97.520685,27.5468523,38.46795295,0.098815117,589.401381,520.29717,27.30787591,7.330318759,137.781375,4.818874
Brazil,2018,South/Latin America,411.1259363,1.427227834,0.137343599,296.8120083,288.0590796,82.28162216,19.11719162,103.703355,94.991288,24.76711307,35.50621318,0.096231026,601.371158,530.582039,26.46044233,8.636359478,135.693255,4.837541
Brazil,2019,South/Latin America,413.0677743,1.411197034,0.136440969,312.1507204,292.7073714,82.22933148,19.18287144,104.84877,95.123681,25.93593143,35.79308748,0.096684564,626.33494,538.014256,25.48955472,10.00107083,145.609133,5.409671
Brazil,2020,South/Latin America,385.4370893,1.346575429,0.133173892,323.9868096,286.2350531,84.1006446,19.13704886,100.3192547,97.75725234,23.84824885,33.08496724,0.098898204,613.9769478,529.5056301,22.5454336,10.60427988,155.9791111,5.549466109
