country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Canada,1990,North America,429.7318081,1.439730341,0.367266756,276.260492,211.0646068,62.38737991,22.71522381,76.727,84.929,109.0709081,67.31893245,0.255094128,482.152,441.314,49.373,0.00539249,91.61,68.332
Canada,1991,North America,422.7696024,1.407743254,0.365694051,287.5561567,210.4523625,61.41883548,23.18701435,73.087,82.621,115.0511499,67.68893024,0.259773258,508.572,446.077,51.486,0.006292128,91.996,71.134
Canada,1992,North America,435.4685564,1.40398628,0.370206357,296.5668543,215.5423713,61.6873883,22.9620772,74.858,81.555,126.1960375,70.83397571,0.263682318,520.39,450.927,53.182,0.018063376,96.367,65.614
Canada,1993,North America,435.1444092,1.323986391,0.351691028,318.5788176,222.9124369,61.73031107,22.88163405,75.78,83.994,138.6459112,74.48595107,0.265630395,532.228,460.219,50.198,0.017849493,101.316,69.003
Canada,1994,North America,451.6013111,1.315568629,0.34647378,341.3176618,230.9440033,60.40836008,22.38861966,77.424,85.324,150.0499611,77.48391046,0.263364277,555.784,466.762,52.375,0.017092971,105.28,72.823
Canada,1995,North America,460.9964643,1.313048959,0.341541481,352.1425399,234.2379893,61.01182612,22.40949467,78.556,85.106,159.2048366,81.42704001,0.260113287,560.116,475.829,53.204,0.017139307,110.277,74.981
Canada,1996,North America,476.2124036,1.319651388,0.344585647,360.9390271,238.9507583,63.11322072,22.03330118,80.735,88.948,165.1139242,85.25107612,0.261118694,573.04,483.604,54.002,0.017450789,113.486,75.854
Canada,1997,North America,492.8871889,1.369124195,0.34651313,367.3950811,241.5174349,62.35822566,22.0128781,84.154,91.402,168.0158761,85.83599161,0.253091087,573.711,489.787,57.254,0.017604682,118.985,78.674
Canada,1998,North America,497.7638317,1.417782602,0.347325565,368.3087127,240.3129931,60.41387781,22.42218584,84.504,90.96,173.0260414,83.00108987,0.244978013,561.76,487.532,59.691,0.018513244,124.684,75.138
Canada,1999,North America,509.0674042,1.395129857,0.337955782,366.9228792,247.0617153,61.19114559,22.11379026,87.108,92.814,176.2410602,86.92897175,0.24223966,579.056,497.502,59.49603161,0.036093228,119.858,72.479
