country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Chile,1990,South/Latin America,30.95434962,2.209363976,0.255029956,7.928817436,14.01052518,53.8373612,11.83773422,6.214,6.345,1.679001162,1.36000041,0.115431391,18.372,15.811,3.741329689,0.0,1.102,2.183
Chile,1991,South/Latin America,29.46536129,2.056726887,0.225187785,8.349637664,14.32633641,70.97339813,12.20702905,6.54,6.477,1.473000325,1.14299968,0.109488424,19.961,17.272,2.976548223,0.0,1.005,2.208
Chile,1992,South/Latin America,30.60702061,1.975605104,0.210416295,8.631507719,15.49247901,82.69462952,12.47933587,7.085,6.719,1.685998322,1.357998502,0.106507264,22.363,19.613,2.649448141,0.0,0.866,1.626
Chile,1993,South/Latin America,32.40255549,2.040804197,0.208990271,8.231569623,15.87734656,81.6647919,12.83237849,7.661,7.14,1.611998577,1.274000573,0.102405842,24.003,20.648,2.672775544,0.0,0.85,1.355
Chile,1994,South/Latin America,35.62992975,2.087164556,0.218800137,8.317267388,17.07097298,74.26514222,12.88267538,8.321,7.695,1.768001044,1.367998814,0.104831282,25.277,21.957,3.175033223,0.0,0.84,1.182
Chile,1995,South/Latin America,38.78970413,2.114607449,0.218669618,8.303657673,18.34369029,72.40518072,13.49644692,9.012,8.126,1.70400088,1.358998915,0.103409083,28.027,24.481,3.515900038,0.0,0.635,1.038
Chile,1996,South/Latin America,44.73884624,2.201966144,0.236142223,8.330793201,20.31768125,60.45293333,13.91460873,9.952,8.578,1.723998557,1.39500156,0.107241532,30.733,27.242,4.789314739,0.0,0.564,1.004
Chile,1997,South/Latin America,51.94181017,2.283070046,0.255204837,8.364261088,22.7508614,62.13472685,13.52887791,10.473,8.923,1.700999806,2.351000143,0.111781431,33.297,29.653,6.228466968,0.0,0.441,1.044
Chile,1998,South/Latin America,53.03606647,2.251292697,0.249779323,8.108323317,23.55805024,48.17088625,14.22904478,10.644,9.806,1.501001691,3.348003322,0.110949289,35.509,31.252,5.889426111,0.0,0.422,0.941
Chile,1999,South/Latin America,56.68264837,2.26452351,0.268057968,7.959365921,25.03071755,38.03073717,15.04648151,10.881,9.897,1.759001919,4.696005565,0.118372791,38.39,35.06,6.147230402,0.0,0.419,0.485
Chile,2000,South/Latin America,52.74333898,2.095432797,0.236813658,8.581887203,25.17061824,48.54783173,15.34910069,9.77,9.558,1.902001366,6.195997617,0.113014199,40.078,37.141,4.606628562,0.0,0.398,0.366
