country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
China,1990,Asia & Pacific,2255.393905,2.580049928,1.367078322,880.9262686,874.1667672,20.40793989,5.581827871,142.885,146.419,15.29999229,15.87001138,0.529865065,621.268,507.054,1004.80898,0.010945357,138.306,1039.82
China,1991,Asia & Pacific,2370.184891,2.795373534,1.314487913,886.7622812,847.8955897,18.47113079,6.239489602,152.606,153.017,16.06999563,15.88998484,0.470236946,677.625,581.211,1050.176724,0.011068069,140.992,1040.692
China,1992,Asia & Pacific,2461.985805,2.8076263,1.195452564,904.0853441,876.8922722,17.58468367,6.786413891,160.893,159.223,15.78998741,15.88001849,0.425787636,754.071,644.977,1090.394176,0.017372369,142.097,1072.8
China,1993,Asia & Pacific,2631.209075,2.831688907,1.122023843,933.0055439,929.2013216,18.12526017,7.220806339,175.697,166.304,16.76599625,16.76600456,0.396238386,838.399,715.634,1152.136287,0.017056318,145.174,1112.298
China,1994,Asia & Pacific,2756.524755,2.832845859,1.039752001,986.1947923,973.0585043,18.0884357,7.851877207,175.666,166.008,17.55898898,17.5260012,0.367034443,928.245,797.8,1226.177274,0.017452289,146.082,1202.836
China,1995,Asia & Pacific,2944.451149,2.818832343,1.00103195,1064.585261,1044.564128,19.2141393,7.908040775,189.786,177.652,17.94700881,17.80098069,0.355122912,1007.914,848.435,1342.337945,0.018652385,150.044,1338.746
China,1996,Asia & Pacific,2938.561309,2.73724205,0.908800472,1091.140748,1073.548212,17.55221062,8.845144118,196.585,185.972,20.11399656,18.51299597,0.332013192,1080.24,915.94,1344.193939,0.020643561,157.334,1379.376
China,1997,Asia & Pacific,2967.506083,2.765905465,0.840195621,1080.592839,1072.887747,17.51246602,8.956760387,212.681,197.024,22.70298734,19.63198804,0.303768741,1135.888,952.637,1333.551847,0.029316271,160.741,1335.871
China,1998,Asia & Pacific,3084.756807,2.859900009,0.809915027,1079.266896,1078.624007,18.06115632,9.219028484,217.543,199.071,23.27900645,20.18402024,0.283196973,1167.5,986.454,1313.539004,0.042826552,161.203,1295.638
China,1999,Asia & Pacific,2995.554921,2.72547119,0.730484893,1073.89179,1099.09616,16.68146593,10.07354597,227.934,212.52,25.19799132,21.49397269,0.268021506,1239.927,1043.574,1226.28457,0.050567493,160.169,1263.752
China,2000,Asia & Pacific,3140.310907,2.779680856,0.705847454,1123.707793,1129.737934,16.63949819,10.73678441,241.327,233.31,27.19999486,24.62697915,0.253931113,1355.738,1138.463,1304.074985,0.055541705,163.078,1354.886
China,2001,Asia & Pacific,3274.685894,2.802828733,0.679390361,1176.292128,1168.350337,18.95851917,11.33911468,245.671,235.663,30.32899232,28.3479916,0.242394533,1480.949,1240.951,1377.898903,0.060501746,164.056,1450.443
China,2002,Asia & Pacific,3534.084557,2.836421713,0.67186179,1226.9353,1245.965838,17.6186279,12.04489558,258.375,243.284,32.66098996,29.28599867,0.236869499,1654.164,1380.006,1492.402833,0.062690277,167.145,1538.839
China,2003,Asia & Pacific,4108.377553,2.893023133,0.709806752,1375.185474,1420.098411,15.03704033,12.82080386,281.518,264.101,35.0150009,34.96498916,0.245351219,1910.755,1604.719,1778.789494,0.063796771,169.655,1818.95
China,2004,Asia & Pacific,4835.594708,2.99474632,0.758731446,1534.24457,1614.692596,16.22326642,12.81810832,329.966,306.958,41.45999332,41.36301639,0.253354163,2203.502,1859.266,2042.694299,0.069162633,175.941,2089.273
China,2005,Asia & Pacific,5470.514723,3.06984199,0.770544382,1671.423433,1782.018339,16.17502498,12.99147996,333.998,317.806,49.32000205,46.57401485,0.251004574,2500.466,2126.432,2345.024214,0.089343346,181.426,2317.325
China,2006,Asia & Pacific,6052.144795,3.103783189,0.756275104,1792.636853,1949.925116,15.59278342,13.98143387,353.83,336.65,58.55300403,57.29893915,0.24366235,2865.954,2446.346,2608.758991,0.142919251,184.853,2519.939
China,2007,Asia & Pacific,6513.553853,3.103495753,0.712529827,1916.580573,2098.779689,15.26334714,15.21209319,367.258,352.254,69.2399887,70.48301088,0.229589432,3281.79,2816.826,2820.616314,0.181212082,186.421,2721.845
China,2008,Asia & Pacific,6707.118216,3.112854039,0.669106697,1966.945714,2154.652333,17.73744406,15.62316726,375.393,368.243,80.29999229,81.18807634,0.214949589,3467.185,2988.743,2919.876904,0.435598331,190.559,2844.327
China,2009,Asia & Pacific,7218.073126,3.142744363,0.65820945,2051.665652,2296.742049,17.8637982,16.02814443,382.561,388.297,85.26898872,89.45092882,0.209437795,3715.061,3222.519,3158.006532,0.735142707,189.616,3042.699
