country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Colombia,1990,South/Latin America,46.10629025,1.903281849,0.170071865,48.18129183,24.22462563,76.38419011,12.1200169,8.112,11.101,4.537004925,4.326003769,0.089357162,36.357,26.866,5.055,0.0,22.824,21.375
Colombia,1991,South/Latin America,47.75481213,1.950074583,0.172696056,46.35115401,24.48871061,75.68261692,12.23597509,8.52,11.943,4.492996584,4.460997705,0.088558693,36.99,27.672,5.21,0.0,22.117,19.894
Colombia,1992,South/Latin America,49.48341792,1.976300636,0.171990337,47.8775247,25.0384061,68.66500729,12.82953992,9.075,11.902,4.601997023,4.389002566,0.087026404,32.944,29.008,5.315,0.0,22.787,21.817
Colombia,1993,South/Latin America,51.76599876,1.983066065,0.17072946,48.55742178,26.10402128,73.25397443,13.49832831,9.373,11.993,4.506000486,4.556994587,0.086093682,38.559,31.684,5.922,0.0,23.515,21.139
Colombia,1994,South/Latin America,51.74168436,1.903732097,0.161271855,50.42520563,27.17907863,78.49259823,13.48114574,9.772,11.929,4.647999676,4.508995676,0.084713524,41.409,33.37,5.531,0.0,23.731,22.599
Colombia,1995,South/Latin America,54.27890255,1.965546475,0.160813786,59.24369878,27.61517128,76.4046259,13.69464791,10.362,12.623,4.872998439,4.794993713,0.081816323,42.716,34.847,5.609,0.0,30.291,25.651
Colombia,1996,South/Latin America,53.97578205,1.911552979,0.156694314,64.83667328,28.23661318,82.99202066,13.80576945,10.74,13.811,5.257005766,5.21399485,0.081972258,43.362,36.205,4.715,0.0,32.641,29.999
Colombia,1997,South/Latin America,58.94578944,2.148382573,0.165447163,66.72994149,27.43728709,71.64443448,13.74236696,11.758,14.281,6.559992601,6.559992601,0.077010103,44.605,35.435,4.945,0.0,33.773,32.565
Colombia,1998,South/Latin America,59.98223278,2.100131631,0.167402387,72.70709314,28.56117774,69.74630822,13.61399224,11.604,14.337,7.502998806,7.616995572,0.079710426,44.897,34.484,4.865,0.0,38.342,33.708
Colombia,1999,South/Latin America,52.55108588,2.047979987,0.153099371,75.55101995,25.65996065,79.86081921,13.33252148,10.664,14.933,6.581996023,6.578999087,0.074756283,42.822,32.054,3.976,0.0,42.21,32.718
Colombia,2000,South/Latin America,54.75974757,2.129497109,0.155000414,72.33230873,25.71487293,75.52804248,13.7607144,10.646,14.954,7.338000567,7.338010134,0.072787332,43.131,33.336,4.888,0.013911108,35.51,38.242
Colombia,2001,South/Latin America,55.10078527,2.143558969,0.153391978,72.10150482,25.70528082,74.34174185,14.42461445,10.69,15.584,7.790989387,7.773997844,0.071559486,43.448,35.19,4.905,0.013809611,31.21,44.315
Colombia,2002,South/Latin America,53.05209514,2.104041509,0.144080985,68.34414807,25.21437667,76.50728112,14.6961409,10.263,15.07,7.783002645,7.744995462,0.068478205,45.048,35.402,4.646,0.013319126,29.857,40.096
Colombia,2003,South/Latin America,52.29484036,2.031419864,0.136669327,73.42746961,25.74299941,78.79132919,15.14328052,10.181,15.337,7.450005636,7.454009983,0.067277735,46.547,36.768,4.622,0.012890197,28.028,50.481
Colombia,2004,South/Latin America,52.46336991,2.023283109,0.130167886,75.32009202,25.92982152,81.65346097,15.7371696,10.503,15.671,7.843004636,7.843008602,0.064334984,49.726,38.567,3.857,0.118650203,27.361,54.184
Colombia,2005,South/Latin America,53.42654287,1.970902287,0.126599172,78.61560065,27.10765685,80.17241379,15.70278711,10.33,14.637,8.228996867,8.228991748,0.064234119,50.344,38.926,4.257,0.111234705,27.174,59.064
Colombia,2006,South/Latin America,53.26037193,1.862813649,0.118192655,83.7212339,28.591358,80.60328796,15.79120817,10.559,14.43,8.243993514,8.247001934,0.063448459,53.772,40.625,3.968,0.130179275,27.396,65.596
Colombia,2007,South/Latin America,54.09887854,1.903427206,0.112358388,86.7095485,28.42182688,81.53606605,16.34582925,10.458,14.175,8.245003541,8.161990618,0.059029517,55.232,42.236,4.183,0.103201043,27.451,69.902
Colombia,2008,South/Latin America,54.73806693,1.832144483,0.110099916,92.83129872,29.87650125,84.01286978,15.86190066,10.472,14.171,8.840004162,8.749992774,0.060093468,55.945,43.051,4.084,0.10903566,30.466,73.502
Colombia,2009,South/Latin America,57.97453329,1.86824544,0.115220833,98.47530671,31.03154011,72.88123732,17.63883426,9.596,13.025,11.95798516,10.00800636,0.061673285,57.156,45.10361826,4.943,0.113723844,34.623,72.807
Colombia,2010,South/Latin America,59.94850589,1.965991833,0.114179948,106.3554023,30.49275428,70.70048986,17.72755943,9.695,13.196,12.6729966,10.60101108,0.058077529,60.629,45.87386092,4.266,0.077520658,40.558,74.35
Colombia,2011,South/Latin America,64.67277394,2.068720207,0.114730854,120.897009,31.26221405,81.8917137,16.62706075,11.383,15.059,12.30299422,10.01500121,0.055459822,62.187,48.52707533,5.023,0.078794603,47.3,85.803
Colombia,2012,South/Latin America,64.54427207,2.133123294,0.110201659,125.1049782,30.25810663,78.05914478,17.07192929,11.815,15.09,12.5859961,10.38699552,0.051662114,63.539,49.24496435,4.016,0.099151702,49.092,89.024
Colombia,2013,South/Latin America,72.30315001,1.826668348,0.118057487,130.1144143,39.58198001,69.42338617,16.81201069,12.495,13.093,15.28297797,10.72499205,0.064629952,74.001,61.295,6.154,0.089187984,52.268,85.496
Colombia,2014,South/Latin America,73.85230144,1.841713918,0.115142657,130.72712,40.09976833,69.36064836,17.19099556,12.541,11.862,14.83201438,11.0090038,0.062519296,71.072,64.115,6.341,0.111154885,51.292,88.578
Colombia,2015,South/Latin America,75.12163253,1.852254664,0.113759008,128.7552748,40.5568597,63.6368263,17.79001805,12.827,11.778,13.95601569,11.34400879,0.061416505,78.596,65.447,5.971,0.097969362,52.101,85.548
