country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Czechia,1990,Europe,147.400938,2.960285921,0.64715123,41.16602272,49.79280445,2.316213494,12.07940582,8.817,7.948,0.262000034,6.572994833,0.218611056,62.559,53.037,84.788,0.0,0.22,101.398
Czechia,1991,Europe,135.9143167,3.004437381,0.675136971,39.01934249,45.2378597,2.179156754,12.6041864,7.411,6.837,0.269000244,6.341999908,0.224713277,60.528,49.708,79.201,0.0,0.221,96.864
Czechia,1992,Europe,129.9928874,2.951245833,0.649010542,36.77123073,44.04678389,2.762552072,12.41220359,7.98,7.151,0.183000045,7.26400896,0.219910702,59.293,48.148,73.631,0.0,0.237,86.721
Czechia,1993,Europe,130.3985128,3.055953495,0.650632923,36.1913111,42.67031975,2.983984647,12.67676223,7.531,6.587,0.238000071,7.328993605,0.212906683,58.881,47.773,71.871,0.0,0.257,85.239
Czechia,1994,Europe,125.0769391,3.035744932,0.606437401,33.55895698,41.20139931,3.572097777,13.83493725,7.661,6.929,0.25,7.148006104,0.199765598,58.705,49.312,66.895,0.0,0.27,76.944
Czechia,1995,Europe,126.0725392,3.019960222,0.575462711,32.69035479,41.74642377,4.402846484,14.53635542,7.866,7.26,0.254000298,8.070008132,0.190553076,60.847,52.155,65.807,0.0,0.276,74.901
Czechia,1996,Europe,127.2363251,2.955402599,0.557243495,33.34525207,43.05211247,4.194095585,14.89394601,8.153,7.83,0.235999877,9.290990482,0.18855079,64.257,54.146,65.873,0.0,0.251,77.145
Czechia,1997,Europe,125.1024973,2.883699721,0.551175812,33.77287116,43.38263667,3.984643487,14.91920066,7.847,7.41,0.215999977,9.425993641,0.191134953,64.598,53.163,64.531,0.0,0.463,74.016
Czechia,1998,Europe,119.3372083,2.842902017,0.527509142,31.76829926,41.97724988,3.794999386,15.27555998,8.113,7.09,0.228000301,9.420999762,0.18555305,65.112,52.196,59.083,0.0,0.433,67.529
Czechia,1999,Europe,111.8119877,2.855348662,0.487263523,28.91015168,39.15878616,4.471821189,15.70390407,7.998,6.247,0.230000169,9.518002692,0.170649395,64.694,51.178,51.791,0.0,0.386,59.133
Czechia,2000,Europe,122.555814,2.976581647,0.512228397,30.84321011,41.17334197,3.864372635,15.7350765,7.74,6.131,0.218999819,9.235995052,0.172086123,73.466,52.292,61.50713694,0.0,0.385,65.162
Czechia,2001,Europe,121.863406,2.883394283,0.494937863,31.54633975,42.26387168,4.005519311,15.86654905,8.145,6.308,0.159999774,9.895000543,0.171651122,74.647,53.775,59.51783773,0.001361174,0.366,66.106
Czechia,2002,Europe,117.7607701,2.748614751,0.470500365,31.76076196,42.84367973,4.389113009,16.10570803,7.963,6.389,0.152999951,9.551988488,0.171177268,76.348,53.669,57.845,0.002619584,0.421,63.356
Czechia,2003,Europe,121.8103649,2.723715487,0.469754863,33.80986497,44.72213251,2.751510928,15.893219,8.466,6.744,0.168000088,9.657990459,0.172468404,83.227,54.807,59.344,0.006007666,0.474,63.906
Czechia,2004,Europe,123.6586079,2.703668122,0.454578333,34.80102678,45.73734731,3.894086538,15.39827091,9.286,7.031,0.215000213,9.601005965,0.168133925,84.333,54.91,58.218,0.011857754,0.58,64.076
Czechia,2005,Europe,119.3475552,2.639413253,0.411824176,33.20126155,45.21745699,4.576279396,15.9550829,9.608,8.175,0.201000235,9.493010652,0.156028684,82.578,55.974,56.924,0.025430502,0.589,62.026
Czechia,2006,Europe,120.0186308,2.595027853,0.387577124,33.85343491,46.24945764,5.010609168,16.27290878,9.523,8.219,0.194000232,9.291996865,0.149353743,84.361,57.631,57.231,0.059269094,0.445,62.903
Czechia,2007,Europe,122.913325,2.661570094,0.375866521,33.96537983,46.18075822,4.358375473,16.79597064,9.504,7.797,0.200999995,8.740006833,0.141219847,88.198,57.89,58.508,0.143994195,0.434,62.626
Czechia,2008,Europe,117.7275803,2.60104756,0.350604415,33.14542945,45.26160235,4.881227061,16.94525022,9.562,8.627,0.199000203,8.687000137,0.134793542,83.647,58.586,55.061,0.308439035,0.348,60.2
Czechia,2009,Europe,110.0082801,2.585557545,0.344143303,31.66006776,42.54721782,6.335706029,16.87749158,9.003,7.683,0.224999933,8.227009744,0.133102163,82.185,55.337,51.93,0.458721178,0.31,56.417
Czechia,2010,Europe,113.6746084,2.520574007,0.347707962,32.05425392,45.09869899,7.558525313,16.81269639,8.804,8.201,0.246000073,9.280000629,0.137947928,85.903,56.173,52.12974627,1.206011431,0.272,55.367
