country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Egypt,1990,Middle east,78.40328335,2.371834875,0.213631395,55.67272516,33.05596194,23.50435441,13.14462229,20.523,24.045,8.242,8.242006369,0.090070096,42.256,36.202,1.199,0.0,45.499,0.0
Egypt,1991,Middle east,77.43171217,2.342822506,0.208636081,56.31223121,33.05060967,22.34964782,14.14226916,19.696,24.44,9.08,9.079992737,0.089053303,44.296,37.975,1.307,0.0,45.418,0.0
Egypt,1992,Middle east,80.3535212,2.365574001,0.207239238,57.36934132,33.96787467,21.23560576,13.95475772,20.186,24.2,9.779,9.778998837,0.087606322,45.678,39.009,1.343,0.0,45.869,0.0
Egypt,1993,Middle east,82.11624709,2.333522168,0.205815204,60.60678171,35.18982944,21.93698217,13.95447388,19.699,25.725,11.544,11.54398975,0.088199378,47.796,40.762,1.614,0.0,47.527,0.0
Egypt,1994,Middle east,77.15353923,2.279474921,0.185987142,60.00357918,33.8470665,22.25174428,15.34902228,17.865,26.678,11.97501493,11.97501493,0.081592098,49.304,42.563,1.511,0.0,46.497,0.0
Egypt,1995,Middle east,82.65921798,2.295447412,0.190419063,60.66412546,36.01006826,21.94807692,14.87137138,19.451,27.24,12.594,12.594,0.082955097,52.0,44.555,1.314,0.0,46.588,0.0
Egypt,1996,Middle east,87.05049089,2.281997177,0.191006291,59.51866286,38.14662514,20.955749,15.44646486,20.486,28.335,13.027,13.027,0.08370137,55.14,49.139,1.393,0.0,45.08,0.0
Egypt,1997,Middle east,93.75104747,2.362312458,0.194998643,58.53705509,39.68613346,20.51584857,15.53916207,22.478,29.286,13.353,13.353,0.082545661,58.428,52.63,1.426,0.0,43.796,0.0
Egypt,1998,Middle east,98.94265925,2.332937837,0.194928752,58.04726259,42.41118545,19.41047549,16.11835964,24.066,29.166,13.742,13.742,0.083555056,62.966,56.53,1.434,0.0,42.962,0.0
Egypt,1999,Middle east,103.9541201,2.403374012,0.193112006,60.16609298,43.25340942,21.43660121,16.42155124,23.639,27.978,17.40899904,17.40899904,0.080350376,68.495,60.806,1.277,0.035039054,41.846,0.0
