country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
France,1990,Europe,365.4310078,1.626524053,0.197338826,111.9021915,224.6699071,14.10121426,17.9799513,80.46,78.478,2.857003359,28.23198331,0.121325489,420.751,323.252,31.20898599,0.119548141,3.47,0.0
France,1991,Europe,392.6668842,1.65374388,0.209847086,118.5272027,237.4411714,13.97130972,17.83036194,85.928,81.285,3.237997758,32.03303622,0.126892132,455.555,346.798,33.50417118,0.113487943,3.798,0.0
France,1992,Europe,381.5465103,1.629483499,0.2006944,120.1997695,234.1518098,16.11555542,18.24850222,85.288,80.004,3.153999264,32.46396702,0.123164426,463.639,355.874,29.65870387,0.111293485,3.564,0.0
France,1993,Europe,362.7231188,1.52541502,0.192000291,126.4117752,237.7865133,14.79224974,18.78217835,82.516,82.169,3.422999293,32.80200366,0.125867576,472.707,356.188,23.27113386,0.104927577,3.458,0.0
France,1994,Europe,356.0913801,1.541766423,0.184147093,123.790904,230.9632477,17.45388661,19.25570239,81.843,80.077,3.5330014,32.76102682,0.119439035,476.868,363.239,23.03745772,0.10631873,3.387,0.0
France,1995,Europe,366.5739706,1.528755503,0.185656779,127.8680981,239.7858715,15.88734184,19.17843857,84.092,81.947,3.352997951,33.49102789,0.121443081,494.274,367.887,24.84995002,0.103788587,3.027,0.0
France,1996,Europe,380.6896534,1.518284104,0.190119497,131.7986843,250.7367709,14.16308595,19.17054928,85.248,85.886,2.9110004,37.21702249,0.125219975,513.398,384.181,25.41740808,0.097195548,2.648,13.532
France,1997,Europe,371.9881864,1.523211859,0.181532771,128.7388199,244.2130319,13.9166353,19.28415167,85.402,91.086,2.586002776,36.81302674,0.119177624,504.77,381.618,23.17076584,0.103611546,2.266,12.876
France,1998,Europe,395.0004296,1.569308313,0.186084947,125.4201798,251.7035221,13.45202982,19.41942995,89.012,93.616,2.261997385,37.17698197,0.118577685,511.276,393.307,27.10847039,0.106204868,2.092,11.827
France,1999,Europe,390.0112789,1.547860123,0.17765627,127.1421397,251.9680384,15.20998239,19.75526848,88.085,85.246,2.066999856,39.15197919,0.114775403,525.806,401.037,24.40905104,0.105362054,2.001,10.662
