country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Germany,1990,Europe,952.7624334,2.29820725,0.297736594,186.0512665,351.0939764,3.901348145,15.87141901,119.231,105.785,18.91900908,69.72308415,0.129551673,550.015,481.001,448.7662602,0.013090552,5.52,434.446
Germany,1991,Europe,936.1452452,2.281552219,0.275759486,168.2866286,344.2843272,3.852055282,16.0860591,126.954,104.28,18.91901233,73.3648994,0.120864858,539.634,481.055,368.3154498,0.040027129,4.62,352.645
Germany,1992,Europe,895.7771138,2.217588809,0.258086606,163.2308343,337.9056605,4.378476938,16.38104783,128.031,111.546,19.18400284,71.89804485,0.116381633,537.47,475.878,327.824,0.054886784,4.396,314.16
Germany,1993,Europe,883.9628469,2.192702633,0.25518086,151.9907952,334.5840219,4.619059201,16.17470701,129.566,115.861,19.18897274,74.81001173,0.116377322,526.276,467.164,305.9295022,0.128639725,4.174,286.561
Germany,1994,Europe,869.5403237,2.137809254,0.241796886,145.1192645,332.9739606,5.175750246,16.26678606,127.896,119.36,19.90599767,77.9710585,0.113104986,529.16,465.073,289.426,0.271184519,3.954,264.88
Germany,1995,Europe,868.3180413,2.079335868,0.234060506,144.8915688,336.4704441,5.658459958,16.27687964,127.846,114.268,21.06900865,83.37806994,0.112565031,537.284,472.579,274.485,0.319942526,3.918,251.784
Germany,1996,Europe,894.3255954,2.055286673,0.237242625,143.1190897,347.8680502,5.623618043,16.08802892,129.935,115.408,22.77502992,89.55808084,0.11543043,555.372,479.658,272.61,0.376324338,3.818,240.558
Germany,1997,Europe,863.1515937,1.996387523,0.224458136,143.4538553,344.8757844,4.823643741,16.38186688,128.571,110.964,22.43598973,85.28594075,0.112432147,551.554,482.877,260.474,0.553345638,3.764,228.525
Germany,1998,Europe,860.050108,1.985946895,0.217507028,135.8569516,342.7355263,5.197764889,16.47561211,128.698,117.144,21.86702463,88.62801326,0.109523084,556.393,487.477,247.647,0.831786166,3.87,211.523
Germany,1999,Europe,828.4329937,1.934208008,0.203193559,137.066504,334.9655411,5.837138235,17.05552617,124.161,114.981,23.31499519,89.2248833,0.105052589,556.3,490.652,236.4461911,0.999101204,3.85,205.275
