country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
India,1990,Asia & Pacific,523.0968927,1.711269476,0.33034989,280.4912049,305.6776855,24.76526065,7.391380544,56.449,52.201,12.76599169,12.94400166,0.193043758,289.47,211.766,218.2347405,0.011054686,34.555,225.258
India,1991,Asia & Pacific,562.0481953,1.76487025,0.351236715,290.5136539,318.464315,23.06642042,7.853157377,58.392,52.213,14.44099169,14.49003274,0.199015602,315.671,232.033,236.7176228,0.012354635,32.574,245.007
India,1992,Asia & Pacific,594.4655535,1.800820577,0.352186786,293.7135,330.1081524,21.02590452,8.171420059,60.589,54.435,16.11599169,16.70001817,0.19557017,332.799,247.451,251.1350813,0.026442387,29.518,255.229
India,1993,Asia & Pacific,625.8656134,1.851428911,0.353973055,297.5747275,338.0446367,19.80119407,8.716353335,62.529,55.305,16.34000519,17.09400312,0.191189115,356.428,266.146,265.2466467,0.027775596,29.742,262.291
India,1994,Asia & Pacific,666.5030916,1.898860155,0.353422409,308.2345309,351.0016732,21.50451474,9.125386335,68.05,57.49,17.33800623,18.17698017,0.186123453,385.626,289.569,280.4871796,0.051863723,34.915,271.725
India,1995,Asia & Pacific,724.5713352,1.952099836,0.357160778,322.7639504,371.1753477,17.48965583,9.468679028,76.338,60.033,20.93200935,21.44899093,0.182962353,418.11,309.649,302.1319749,0.1267609,38.375,290.426
India,1996,Asia & Pacific,760.2398819,1.987428884,0.348437409,328.035908,382.5243197,15.99470614,9.440186805,80.817,64.275,21.32398754,22.12801308,0.175320693,436.732,314.976,319.0644169,0.211571398,36.223,307.697
India,1997,Asia & Pacific,794.6462952,1.998094622,0.350031116,338.3721697,397.702034,16.25133102,9.598211898,84.889,66.609,24.54498962,26.22202376,0.175182452,465.808,334.258,332.0948288,0.223053275,37.392,319.208
India,1998,Asia & Pacific,812.8117688,1.995836913,0.337180143,337.1330537,407.2536004,16.93052271,9.972009294,89.281,70.17,25.70599688,28.14197521,0.168941731,496.925,350.923,334.5761321,0.227197263,36.446,315.708
India,1999,Asia & Pacific,873.6068074,2.02803821,0.332948083,344.3547382,430.7644713,15.49678709,9.94489822,97.408,86.941,27.76898595,28.41300623,0.16417249,537.363,360.356,360.5802713,0.281187949,36.417,323.627
