country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Indonesia,1990,Asia & Pacific,144.8653768,1.468297114,0.174505946,168.5729315,98.66216817,20.9171335,3.07007279,30.184,39.437,48.27998384,16.90800266,0.118849206,32.667,28.288,7.32,3.44384241,73.194,10.23
Indonesia,1991,Asia & Pacific,157.2799073,1.519682508,0.17721174,183.174923,103.4952409,20.55704339,3.298031079,31.584,39.987,54.52298909,18.83801637,0.116611028,37.34,31.482,8.101,2.809319764,79.628,13.271
Indonesia,1992,Asia & Pacific,164.9741466,1.529145712,0.174540291,187.4063242,107.8864789,23.83831571,3.53294507,33.206,42.043,57.31206897,20.17800843,0.114142354,41.513,34.964,8.329,2.611230217,75.48,22.008
Indonesia,1993,Asia & Pacific,179.4331999,1.514187194,0.178257432,194.2997454,118.5013323,19.7753304,3.767210225,36.782,42.271,59.00995562,21.38200108,0.117724832,45.4,38.961,8.297,2.400881057,76.549,28.314
Indonesia,1994,Asia & Pacific,190.1777304,1.602723568,0.175684962,207.5327825,118.6590964,15.65676233,4.108911308,37.199,42.643,65.59992315,26.3559919,0.109616509,51.358,44.669,9.288,3.767670081,80.619,30.687
Indonesia,1995,Asia & Pacific,212.1885532,1.621324112,0.181129556,214.5587206,130.8736184,16.4630953,4.344379935,43.143,46.394,65.47902591,28.97602692,0.111717055,59.193,49.749,10.568,3.733549575,80.307,41.828
Indonesia,1996,Asia & Pacific,230.1338501,1.696910625,0.182203136,222.7465139,135.6193111,15.53068336,4.681457852,45.296,49.015,68.95196528,30.21098782,0.107373443,67.724,56.932,11.95,3.472919497,79.986,50.33
Indonesia,1997,Asia & Pacific,249.7094962,1.781388768,0.188827057,227.6780709,140.1768669,10.33942139,5.106294276,48.401,47.73,71.70691277,32.62602801,0.105999914,74.627,64.464,14.083,3.490693717,78.935,54.876
Indonesia,1998,Asia & Pacific,251.7631978,1.836201994,0.219146844,229.139747,137.11084,15.76539635,5.283958487,46.721,47.85,70.11399071,35.86897997,0.119347896,78.038,65.261,15.912,3.353494451,77.437,61.276
Indonesia,1999,Asia & Pacific,270.7398887,1.885012546,0.233815298,237.9456068,143.6276322,14.12326136,5.332142456,50.693,48.86,74.9769213,35.18997256,0.12403912,85.915,71.335,20.099,3.175231333,74.613,73.754
Indonesia,2000,Asia & Pacific,272.207648,1.748524569,0.224059023,237.5084556,155.6784805,15.95606751,5.666864508,51.485,50.339,70.08300513,31.46403281,0.128141764,93.325,79.164,24.61,5.21725154,70.259,79.377
Indonesia,2001,Asia & Pacific,290.5012507,1.824650159,0.230710941,241.7688052,159.2092869,17.47486519,5.902980742,53.222,50.832,67.61198221,33.28998379,0.126441192,101.254,84.52,28.361,5.956307899,66.636,93.604
Indonesia,2002,Asia & Pacific,296.7496456,1.798542029,0.225525827,248.0889364,164.9945572,14.9532883,6.103261629,53.084,48.761,74.47294465,35.1799635,0.125393693,108.217,87.086,29.255,5.764343865,61.945,102.133
Indonesia,2003,Asia & Pacific,325.1826069,1.966865547,0.235859546,254.7952291,165.3303691,13.6385363,6.130798056,54.143,50.085,77.9870197,35.9959704,0.119916456,112.974,90.441,39.273,5.571193372,56.742,117.104
Indonesia,2004,Asia & Pacific,331.6638175,1.883023763,0.229037854,264.7681658,176.1336336,13.60651781,6.531051131,60.353,50.054,74.57603448,34.43800493,0.121633013,120.163,100.097,36.084,5.539142665,53.459,143.714
Indonesia,2005,Asia & Pacific,335.3975817,1.875311479,0.219141502,279.6422306,178.8489995,13.60553286,6.996800207,59.42,47.922,75.14300563,33.47699614,0.116856055,127.529,107.705,41.251,5.178430004,52.447,170.541
Indonesia,2006,Asia & Pacific,353.7516634,1.9339495,0.219082062,313.5347427,182.9167015,12.2587772,7.095986435,57.13,47.157,74.28304011,35.55903122,0.113282204,133.072,113.415,49.491,5.003306481,49.271,233.316
Indonesia,2007,Asia & Pacific,371.5366999,2.039418512,0.216367926,318.1622999,182.1777618,12.9038839,7.540005921,58.442,46.397,71.50705547,30.48202683,0.10609295,142.151,121.614,61.446,4.939114041,46.744,248.832
Indonesia,2008,Asia & Pacific,365.2289385,1.970503215,0.200629291,323.1727415,185.3480551,13.31583247,8.186619226,59.91,48.352,73.72406404,32.6120379,0.101816272,149.326,128.81,55.227,5.564335749,48.304,248.766
Indonesia,2009,Asia & Pacific,382.4650815,1.954819882,0.200802635,348.0182274,195.6523387,13.2330616,8.389504474,59.961,49.524,76.89106843,38.83602875,0.102721809,156.774,136.053,56.295,5.931468228,47.314,291.247
Indonesia,2010,Asia & Pacific,410.4774734,2.035194731,0.202882641,373.7883903,201.6895323,15.85402492,8.677195789,59.664,46.725,85.71498945,43.52599248,0.09968709,169.755,147.297,67.075,5.515006922,47.536,325.0
Indonesia,2011,Asia & Pacific,460.6693749,2.246249587,0.214458848,424.8456893,205.0837884,11.99289052,8.856602008,70.905,47.876,81.45696685,41.03004672,0.095474185,183.417,157.993,79.548,5.112394162,45.284,435.936
Indonesia,2012,Asia & Pacific,467.9273156,2.292297077,0.205449012,429.1875783,204.1303112,11.23681448,9.417451486,75.57,46.067,77.14203378,40.84201556,0.089625823,200.03,173.991,82.18,4.711793231,43.654,470.24
Indonesia,2013,Asia & Pacific,428.4412469,2.1722323,0.178208662,437.0480777,197.2354646,12.27016017,10.83462827,75.216,44.496,76.47706756,41.90596998,0.082039413,216.02,187.541,65.366,4.360244422,41.391,491.076
Indonesia,2014,Asia & Pacific,463.7368296,2.256406251,0.183692846,430.78284,205.5200961,11.47510049,11.33733785,75.658,47.936,75.27107343,42.94895099,0.081409474,227.876,198.602,79.108,4.408099142,40.075,488.052
Indonesia,2015,Asia & Pacific,465.1100794,2.278379948,0.175670548,405.9013271,204.1407008,10.65115563,11.84196775,71.127,46.689,75.03701989,42.94696759,0.077103272,233.984,202.845,86.82,4.298157139,39.686,451.764
Indonesia,2016,Asia & Pacific,466.2089441,2.228843642,0.167647758,413.7286839,209.1707715,12.56695708,12.85459748,67.948,47.75,73.9700297,41.56796099,0.07521737,247.92,216.004,94.46,4.309051307,41.831,463.487
