country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Iran,1990,Middle east,181.2391852,2.615189042,0.355832191,187.8395171,69.30251784,10.29237589,7.717975481,45.625,40.888,22.60200633,20.66801337,0.136063659,59.102,50.12,1.061,0.0,164.304,0.835
Iran,1991,Middle east,200.8170966,2.613929567,0.350825958,200.4701277,76.82574891,11.00333718,7.492832079,48.354,46.628,28.27103338,25.62801098,0.134214006,64.126,54.398,1.512,0.0,171.89,0.858
Iran,1992,Middle east,218.1823915,2.697870782,0.370655912,214.9159166,80.87206881,13.87675462,7.18514423,52.701,47.263,27.57703498,27.19299315,0.137388312,68.676,59.203,1.331,0.0,186.53,0.677
Iran,1993,Middle east,219.6433122,2.522530804,0.369297093,227.8649098,87.07259861,12.89039945,7.83437695,52.669,53.799,31.34701189,31.41800488,0.146399438,76.204,63.095,1.645,0.0,195.774,1.134
Iran,1994,Middle east,248.8075892,2.573772432,0.424752938,231.3408117,96.67039171,9.0927966,7.292222807,57.043,60.033,37.98899787,37.99199614,0.165031272,81.878,66.521,1.653,0.0,193.861,1.112
Iran,1995,Middle east,254.7476853,2.517901223,0.425187998,237.6658842,101.1746144,8.576034643,7.419400752,56.114,61.428,42.13499848,42.2100061,0.168866036,84.981,68.843,1.546,0.0,196.674,1.084
Iran,1996,Middle east,262.1641839,2.686233812,0.416043438,235.2435932,97.59544487,8.134966489,7.845636585,59.216,64.759,41.96501169,41.93200529,0.154879831,90.867,75.081,1.622,0.0,194.47,1.02
Iran,1997,Middle east,276.5588385,2.531834967,0.436781652,237.9802935,109.2325693,7.087403467,7.824688582,60.323,69.446,46.56499644,46.74400346,0.172515846,97.765,79.314,1.66,0.0,193.431,0.976
Iran,1998,Middle east,280.1039278,2.517956027,0.432951648,241.2124141,111.2425812,6.80429908,8.053958989,59.493,72.92,49.09299726,50.81601281,0.171945675,103.464,83.839,1.933,0.0,194.376,1.23
Iran,1999,Middle east,305.925888,2.423994064,0.468853345,244.347401,126.2073586,4.44091357,8.461547582,62.936,79.765,56.9210188,59.0679622,0.193421821,112.657,90.105,1.793494365,0.031067754,191.277,1.04
Iran,2000,Middle east,320.0647421,2.602012293,0.463377207,253.667376,123.0066218,3.049026635,8.57819459,64.859,78.808,58.92705324,62.23895539,0.178084173,121.383,96.042,1.912569336,0.030482028,198.822,1.148
Iran,2001,Middle east,335.4371894,2.513207259,0.481880724,248.3713418,133.4697678,3.925529382,8.763148039,68.16,79.627,61.77798444,66.13997286,0.191739349,130.199,102.914,1.880800076,0.026113872,191.173,1.114
Iran,2002,Middle east,350.7157564,2.540327838,0.469703021,253.9913506,138.0592501,5.7520148,9.070753375,66.922,79.226,70.28902836,74.48505684,0.184898584,141.081,110.833,1.792152687,0.02126438,189.458,1.032
Iran,2003,Middle east,365.5547722,2.562271417,0.45024908,281.1671125,142.6682473,7.229753441,9.474767302,66.507,79.756,79.53506336,82.09693034,0.175722633,153.878,121.645,1.950868884,0.017546368,208.145,1.143
Iran,2004,Middle east,394.9044096,2.538110596,0.466012872,292.6926107,155.5899141,6.394756707,9.440895836,70.053,81.327,90.05907628,92.59106617,0.183606212,166.918,131.19,2.037102368,0.028157538,210.72,1.224
Iran,2005,Middle east,427.0237997,2.47294236,0.48833879,310.674947,172.6784282,9.080342303,9.192315289,75.406,83.506,98.65705356,99.09691484,0.197472775,178.088,137.25,2.353514205,0.03986793,220.078,1.556
Iran,2006,Middle east,460.3208211,2.550581815,0.501350334,322.7431876,180.476791,9.544742114,8.995134767,83.882,86.68,108.5908665,109.149886,0.196563126,192.682,148.685,2.278321457,0.06487373,223.432,1.651
Iran,2007,Middle east,492.6318311,2.579571751,0.49608198,337.3983153,190.9742696,8.887864853,8.750969957,85.76,87.173,122.6319307,123.21596,0.192311759,203.986,156.524,2.392521043,0.07010285,226.14,1.665
Iran,2008,Middle east,501.9572335,2.452683789,0.504207855,337.7781374,204.656318,2.423437281,9.244250269,85.544,87.628,127.6840185,130.1840888,0.205573934,214.53,166.179,1.800297141,0.091362513,223.437,1.59
Iran,2009,Middle east,521.0736619,2.550986073,0.518189826,334.1898535,204.2636247,3.369923657,9.226288746,87.211,89.303,137.4138698,136.4910979,0.203133146,221.37,174.054,2.022034235,0.101639789,211.927,1.152
Iran,2010,Middle east,515.2473063,2.521753288,0.484315408,342.2765501,204.3210606,4.163393559,10.15313644,77.21,88.518,143.8770807,144.420128,0.192055032,232.959,187.931,1.920458061,0.069969394,214.355,1.089
Iran,2011,Middle east,531.2966547,2.549961613,0.486529077,345.6889512,208.3547658,5.122640095,10.02266591,76.218,90.754,150.3859122,152.7810824,0.190798589,240.052,191.455,2.12472578,0.090397081,212.059,1.164
Iran,2012,Middle east,538.069671,2.473882648,0.532363496,297.4280158,217.5000788,4.985527537,10.4546628,80.888,93.285,156.3649253,151.7829855,0.215193512,254.276,201.558,1.680635738,0.081407604,159.393,1.041
Iran,2013,Middle east,561.4110115,2.531209924,0.556537396,297.9717043,221.7955161,5.707720798,10.33286791,87.145,94.62,156.746019,152.8920622,0.219870107,262.434,207.216,2.095555997,0.143274118,158.69,1.105
Iran,2014,Middle east,587.2218471,2.466984455,0.556505871,316.3709595,238.0322445,5.195386896,10.48787888,84.343,92.991,174.6310855,172.4970335,0.225581426,274.609,223.957,2.393453291,0.130367177,162.004,1.075
Iran,2015,Middle east,581.6245966,2.442640014,0.558578233,322.7053112,238.1131044,5.104887878,9.997589112,77.646,88.251,184.0799624,184.0930481,0.228678082,280.633,213.654,2.332239647,0.079106876,160.682,1.206
Iran,2016,Middle east,584.9717735,2.380965691,0.495424504,391.2441346,245.6867714,5.776321888,10.98400447,72.93,86.409,199.8408379,196.7457821,0.208077128,289.094,243.73,2.289016083,0.087860696,213.638,1.335
Iran,2017,Middle east,604.6852989,2.309252696,0.493585239,411.6066592,261.8532394,5.022227434,11.13164239,74.456698,89.481627,215.7180151,206.5484651,0.213742411,307.968291,255.026299,2.502993516,0.127100098,220.19366,1.521267
Iran,2018,Middle east,615.0663772,2.314747846,0.530824353,406.2541998,265.7163623,5.271645137,11.14367453,77.452474,89.991203,225.2541634,208.1282393,0.229322755,309.842764,262.66017,2.614648412,0.175692662,206.860357,1.646009
Iran,2019,Middle east,619.9944103,2.304323028,0.57233653,351.3565558,269.0570735,9.87710442,11.1260275,76.76128811,90.78091524,231.686,211.708339,0.248375129,314.0626976,262.9950724,2.714423892,0.197534312,146.475613,1.710741
Iran,2020,Middle east,619.0628724,2.313864158,0.580179287,338.9256267,267.5450373,6.9366736,11.55923833,69.91374891,77.95218919,234.2609342,220.5305851,0.250740427,322.0798952,269.0834673,2.806118699,0.233048068,132.824881,1.778018692
