country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Italy,1990,Europe,397.8169129,2.710532697,0.209048967,25.51756513,146.7670592,17.70914127,15.78584678,88.028,90.564,17.29598516,47.4049444,0.07712468,216.6,218.778,22.4852741,1.490304709,4.723,0.0
Italy,1991,Europe,398.5428868,2.650305986,0.206257299,26.28215141,150.3761788,22.04800375,15.77658433,86.939,90.906,17.40000424,50.25600171,0.077823957,221.816,223.687,21.17469439,1.4381289,4.489,0.0
Italy,1992,Europe,397.9498509,2.662299768,0.204246409,27.50192895,149.475974,21.81309502,16.06548269,89.259,91.368,18.1499763,49.84604719,0.076718036,226.254,228.069,18.47921853,1.672014638,4.705,0.0
Italy,1993,Europe,392.4774944,2.639415335,0.203170389,28.54289897,148.698649,21.66946437,16.18725035,88.383,92.286,19.55901002,50.99803482,0.076975528,222.802,228.964,16.09860961,1.811025036,4.819,0.0
Italy,1994,Europe,387.9159149,2.642157877,0.196580542,29.74713099,146.817841,22.1355144,16.90997749,87.335,92.461,20.63701662,49.50094105,0.074401512,231.813,236.555,16.80400274,1.612938015,5.033,0.0
Italy,1995,Europe,410.5590936,2.575866247,0.202217526,29.6699357,159.3868059,18.87580801,16.69383433,90.616,90.473,20.38401227,54.38496863,0.078504668,241.489,243.465,17.95009529,1.584751272,5.454,1.014
Italy,1996,Europe,408.2445228,2.563604031,0.198562148,30.51827521,159.2463258,20.9701636,16.7230466,89.916,89.385,20.03397619,56.18401804,0.077454297,244.433,245.954,16.545987,1.699443201,5.655,0.961
Italy,1997,Europe,412.0752852,2.550978476,0.196823075,30.67958963,161.536167,20.34214409,17.05080113,90.212,96.152,19.26698355,57.97992656,0.077155914,251.473,253.674,16.7412586,1.878929348,6.094,0.825
Italy,1998,Europe,422.4428354,2.543957776,0.198186621,30.56918005,166.0573298,20.25442648,17.12148511,90.063,99.694,19.00900262,62.42495427,0.077904839,259.8,260.809,17.46218692,1.996920708,5.819,0.63
Italy,1999,Europe,427.4961676,2.535498975,0.197349005,29.4956673,168.6043543,21.7290819,17.14706032,87.827,94.074,17.4760105,67.84900262,0.077834386,265.667,267.284,17.44403161,2.062732669,5.216,0.267
Italy,2000,Europe,430.665093,2.506519096,0.191557701,28.45392733,171.817998,20.81390389,17.97534022,85.933,94.771,16.63300954,70.74496063,0.076423795,276.642,279.319,18.5811,2.194894485,4.764,0.172
Italy,2001,Europe,429.2571645,2.489866616,0.187276992,27.09943805,172.4016707,22.02903849,17.92340123,84.756,96.082,15.24199348,70.93902887,0.075215672,279.009,285.491,19.85521899,2.338992649,4.223,0.137
