country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Japan,1990,Asia & Pacific,1055.140182,2.396150739,0.261567056,76.18619141,440.3479985,12.35389176,21.07559132,221.497,177.834,2.244998628,60.18005315,0.109161353,870.673,774.858,121.7550219,2.450058748,0.526,7.985
Japan,1991,Asia & Pacific,1061.945403,2.386729741,0.254554659,80.1336804,444.9374327,13.10992578,21.3872427,222.933,187.199,2.351001597,64.44509994,0.106654161,898.388,798.324,122.3812982,2.454284786,0.769,7.931
Japan,1992,Asia & Pacific,1071.25087,2.35505332,0.254625831,81.15246357,454.8732977,11.27394069,21.44858285,226.368,196.867,2.327002258,65.16897269,0.108118924,903.535,806.201,121.5019386,2.420271489,0.801,7.602
Japan,1993,Asia & Pacific,1064.435171,2.326053714,0.254322995,88.53305652,457.6141836,12.91967584,21.4085967,225.027,202.659,2.39800025,66.71301283,0.109336682,911.656,813.677,124.2157191,2.416701036,0.735,7.206
Japan,1994,Asia & Pacific,1116.087774,2.313121075,0.264042117,91.38116231,482.5029636,9.093208171,22.04821476,233.639,211.817,2.384997678,70.01009628,0.114149717,968.767,866.612,128.1232448,2.440112019,0.704,6.742
Japan,1995,Asia & Pacific,1125.246025,2.272615019,0.259103771,99.41226503,495.1327064,10.65855567,21.74772821,238.024,210.363,2.410001316,72.53502599,0.11401129,990.425,884.004,132.8433574,2.650983164,0.706,6.317
Japan,1996,Asia & Pacific,1136.70406,2.246972032,0.253872112,102.8697855,505.8826029,10.18567896,21.91225242,237.852,208.652,2.345999663,75.59293132,0.112984099,1010.723,904.372,136.3112463,2.703213442,0.68,6.166
Japan,1997,Asia & Pacific,1126.79076,2.2036939,0.248978944,107.304284,511.3190903,11.08515797,22.08488579,236.487,214.869,2.442000059,78.0920636,0.112982544,1034.771,915.292,138.5107998,2.604344343,0.681,3.97
Japan,1998,Asia & Pacific,1089.725852,2.172497275,0.243537071,109.7837114,501.6005609,11.25216723,22.74730986,231.402,210.317,2.422997693,80.07600508,0.112100058,1031.268,924.78,130.4739781,2.256057591,0.622,3.698
Japan,1999,Asia & Pacific,1124.910333,2.207302673,0.252035278,105.3452178,509.6312104,10.4556252,22.63411619,237.263,208.011,2.440001089,84.91389789,0.114182473,1048.23,945.888,138.8401667,2.282991328,0.581,3.69
Japan,2000,Asia & Pacific,1138.493374,2.18987442,0.248180053,106.6006781,519.8897997,10.34466612,23.29024085,232.552,206.561,2.636001725,87.57310464,0.113330724,1067.816,986.454,148.5253005,2.230159503,0.598,2.964
Japan,2001,Asia & Pacific,1125.01852,2.19996237,0.244250195,105.2059765,511.3808016,10.234691,23.20849081,226.593,200.921,2.603001693,87.23493697,0.111024715,1050.232,970.012,152.6015453,2.320344457,0.572,2.822
Japan,2002,Asia & Pacific,1166.022247,2.273383736,0.252854071,99.79174611,512.9016404,9.919246488,23.22189045,229.46,202.155,2.8076722,89.45593884,0.111223665,1068.065,987.659,159.8891222,2.305664917,0.582,1.285
Japan,2003,Asia & Pacific,1176.4272,2.309054267,0.251270439,87.10661399,509.4844312,11.29007277,23.26695845,227.047,201.805,2.968996632,92.41506441,0.108819633,1058.886,981.746,166.5850882,2.479209282,0.642,1.355
Japan,2004,Asia & Pacific,1172.740737,2.229731771,0.24507981,98.43124594,525.9559703,10.98875758,23.75154532,225.188,198.82,3.120000398,91.95195846,0.109914481,1088.467,1015.505,170.4156609,2.402553316,0.663,1.272
Japan,2005,Asia & Pacific,1173.238371,2.238882999,0.24117388,103.9692348,524.0284428,9.65529805,24.34752817,222.206,204.549,3.312001614,91.29507114,0.107720627,1108.842,1039.726,176.9786544,2.444532224,0.703,1.249
Japan,2006,Asia & Pacific,1145.788541,2.187569605,0.232233492,105.1773741,523.7723815,10.66318681,24.57496203,213.038,195.906,3.594999903,100.2811312,0.106160504,1112.688,1043.895,175.1212748,2.537368966,0.693,1.351
