country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Kazakhstan,1990,Asia & Pacific,236.2823415,3.216803054,1.026563293,90.97738326,73.4525358,8.429943121,13.92138958,19.167,18.303,7.114005305,13.18298532,0.319125317,87.379,96.535,90.361,0.0,25.82,131.443
Kazakhstan,1991,Asia & Pacific,243.0831892,3.243307331,1.186641094,91.87294059,74.94916897,8.373650912,12.75894295,22.438,18.278,7.884992348,12.55001247,0.365873774,85.984,92.811,89.87,0.0,26.591,130.382
Kazakhstan,1992,Asia & Pacific,249.1483003,3.159842102,1.284317524,89.51808653,78.8483387,8.302197071,11.51072369,21.058,17.659,8.112997347,18.42498674,0.406449905,82.701,88.023,90.809,0.0,25.848,126.536
Kazakhstan,1993,Asia & Pacific,212.4617534,3.237438691,1.206172416,78.89326864,65.62649481,9.850989102,11.16851063,16.529,14.933,6.684995531,13.00700265,0.372569964,77.444,71.1,83.019,0.0,22.975,111.88
Kazakhstan,1994,Asia & Pacific,192.1997884,3.305830262,1.248446981,71.19692072,58.13964212,13.82441978,11.77728575,12.055,11.795,4.487998706,10.02501326,0.377650055,66.397,61.398,79.56503115,0.0,20.279,104.625
Kazakhstan,1995,Asia & Pacific,167.5855305,3.207639054,1.18579888,63.85093712,52.24575699,12.49756229,10.9160564,10.677,10.753,5.915994695,12.47599469,0.369679649,66.661,54.846,65.645,0.0,20.641,84.494
Kazakhstan,1996,Asia & Pacific,146.1789101,3.223067249,1.029184353,63.71043893,45.35397459,12.41742606,11.21760918,9.449,11.018,6.524005305,9.677002653,0.3193183,59.038,48.625,58.71815577,0.0,22.96,77.978
Kazakhstan,1997,Asia & Pacific,123.2115094,3.11946856,0.852979867,65.55473469,39.49759617,12.49807692,11.08455384,8.195,9.472,8.114005305,8.685888594,0.273437559,52.0,41.474,49.19915577,0.0,25.778,72.647
Kazakhstan,1998,Asia & Pacific,125.7620326,3.196805212,0.887499349,64.81142617,39.33991103,12.49567606,10.08470564,8.927,8.807,7.947989528,8.693996101,0.277620715,49.145,38.46,49.3,0.0,25.945,70.825
Kazakhstan,1999,Asia & Pacific,113.0328656,3.146535176,0.776699078,66.12364192,35.92296264,12.91001726,11.34601408,6.865,6.709,9.94600897,8.62325896,0.246842649,47.498,38.162,46.257,0.0,30.13,59.794
