country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Kuwait,1990,Middle east,27.83655975,3.080056961,0.523510341,50.37379678,9.037676932,0.0,20.88864129,3.8,13.274,4.028002905,6.027993116,0.169967747,18.477,14.272,0.0,0.0,46.337,0.0
Kuwait,1991,Middle east,7.597758821,2.896996647,0.242215587,10.04807702,2.622632936,0.0,32.28758302,1.949,2.9,0.834000337,0.834000337,0.083609205,10.78,8.116,0.0,0.0,9.219,0.0
Kuwait,1992,Middle east,22.25754739,2.54397482,0.388147075,59.74816132,8.749122521,0.0,18.93041628,4.484,17.155,4.908004842,4.908004842,0.152575046,16.885,13.196,0.0,0.0,54.859,0.0
Kuwait,1993,Middle east,28.62736592,2.337547354,0.372585972,106.5424769,12.24675336,0.0,18.24390524,4.329,23.745,8.696008,8.696008,0.159391839,20.178,16.074,0.0,0.0,97.868,0.0
Kuwait,1994,Middle east,33.13381963,2.307847814,0.397687977,113.8966903,14.35702104,0.0,19.28916339,5.404,38.958,9.2779905,9.2779905,0.172319845,22.802,17.601,0.0,0.0,104.638,0.0
Kuwait,1995,Middle east,33.06786795,2.24747569,0.378507401,114.8923998,14.71333732,0.0,18.07651869,6.008,42.566,9.278,9.278,0.168414458,23.724,17.656,0.0,0.0,105.616,0.0
Kuwait,1996,Middle east,32.19544029,2.223565949,0.366304654,115.2098263,14.47919289,0.0,20.68719769,5.672,41.05,9.302,9.302,0.164737481,25.475,18.933,0.0,0.0,105.909,0.0
Kuwait,1997,Middle east,33.28477458,2.277281605,0.369558213,115.136251,14.6160117,0.0,21.94176215,6.033,45.668,9.27,9.27,0.162280419,26.724,19.92,0.0,0.0,105.862,0.0
Kuwait,1998,Middle east,39.29640689,2.358416341,0.420891607,117.4205475,16.6622009,0.0,21.32435481,7.322,44.356,9.491,9.491,0.178463658,29.984,22.455,0.0,0.0,107.933,0.0
Kuwait,1999,Middle east,43.25647943,2.421754462,0.4717463,107.6706226,17.86162887,0.0,22.60076419,8.479,46.93,8.688,8.688,0.194795264,31.576,23.489,0.0,0.0,98.982,0.0
Kuwait,2000,Middle east,46.55773136,2.508819686,0.484981235,114.2307425,18.55762358,0.0,21.14124719,8.148,38.685,9.6,9.6,0.193310519,32.323,23.907,0.0,0.0,104.706,0.0
Kuwait,2001,Middle east,50.47968538,2.549323772,0.524715943,111.9158392,19.80120608,0.0,22.42576714,8.705,34.436,9.5,9.5,0.20582554,34.299,25.5,0.0,0.0,102.508,0.0
Kuwait,2002,Middle east,52.41989646,2.620526189,0.528939907,100.7424053,20.00357664,0.0,23.50160522,9.899,37.531,8.71,8.71,0.201844923,36.362,27.053,0.0,0.0,92.146,0.0
Kuwait,2003,Middle east,54.38762545,2.537182983,0.467752302,120.8948157,21.43622506,0.0,19.31279154,11.421,43.748,10.0,10.0,0.184358915,38.577,26.341,0.0,0.0,110.943,0.0
Kuwait,2004,Middle east,58.32738045,2.464663622,0.455038276,131.4743913,23.66545273,0.0,20.25119886,12.048,43.946,10.9,10.9,0.1846249,41.257,28.304,0.0,0.0,120.632,0.0
