country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Malaysia,1990,Asia & Pacific,50.73805979,2.391922391,0.272906355,47.74921911,21.21225169,17.33142162,12.79793525,12.077,10.086,18.35600907,8.184004627,0.114094988,23.016,19.945,2.104,0.0,30.029,0.111
Malaysia,1991,Asia & Pacific,61.25730542,2.328974836,0.300776063,51.96760274,26.30226161,16.60138596,13.05886213,12.958,10.228,21.79697672,11.62299956,0.129145261,26.552,22.388,2.478,0.0,31.219,0.2
Malaysia,1992,Asia & Pacific,64.38976853,2.215327492,0.290357948,53.34942121,29.06557552,14.87431359,13.61003216,13.523,9.526,22.59200188,12.59700321,0.131067731,29.319,25.795,2.602,0.0,31.979,0.084
Malaysia,1993,Asia & Pacific,70.17734015,2.226032275,0.287962576,55.44497415,31.52575142,14.02746193,13.80218582,14.643,10.767,24.58600966,12.09499982,0.129361366,34.739,28.494,2.175,0.0,31.654,0.419
Malaysia,1994,Asia & Pacific,75.33374787,2.386298454,0.283046763,57.35493531,31.56928998,16.68542199,15.2583423,15.179,14.404,25.46898488,14.77199187,0.118613312,39.1,34.098,2.416,0.0,32.794,0.141
Malaysia,1995,Asia & Pacific,82.46220478,2.404905825,0.282102019,63.77743675,34.28916172,13.68615547,15.38407832,17.54,18.075,29.17899838,14.47899575,0.11730273,45.462,39.251,2.647,0.0,35.977,0.135
Malaysia,1996,Asia & Pacific,92.92934989,2.446071157,0.289001971,69.83939377,37.99127005,10.08829936,15.86409258,18.629,19.192,36.38299553,16.51998003,0.118149454,51.416,43.927,2.66,0.0,35.988,0.243
Malaysia,1997,Asia & Pacific,100.1575673,2.261098259,0.290228404,73.92197753,44.29598179,6.691083738,17.05497292,19.853,17.39,41.4309555,19.85301536,0.128357272,57.883,50.986,2.573,0.0,35.935,0.243
Malaysia,1998,Asia & Pacific,100.2828968,2.405219974,0.313676316,74.49635824,41.69385663,7.996903362,18.35073786,18.493,17.798,41.88100649,19.50801796,0.130414814,60.711,53.235,2.746,0.0,35.976,0.35
Malaysia,1999,Asia & Pacific,108.6162505,2.570315659,0.320096077,72.98962261,42.25794218,11.53557249,17.99009046,18.763,18.68,43.42400208,22.96001977,0.124535707,65.233,55.999,3.077,0.0,33.077,0.276
Malaysia,2000,Asia & Pacific,117.9948137,2.434623005,0.319436582,77.12533372,48.46533262,10.05847953,18.07690898,19.015,21.814,50.44398244,27.27199766,0.131205768,69.255,61.205,3.943,0.0,31.319,0.384
Malaysia,2001,Asia & Pacific,123.6005141,2.434219947,0.332889098,78.26671877,50.77623089,9.929097969,18.16827527,19.822,23.448,49.09197918,28.76799409,0.136753911,71.084,65.056,4.764,0.0,33.447,0.546
