country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Mexico,1990,South/Latin America,264.6537022,2.13971822,0.222142281,195.538118,123.6862404,24.69331906,10.23172337,68.6,72.169,25.57898984,25.99602299,0.103818474,115.837,100.194,7.496,4.425183663,150.776,6.933
Mexico,1991,South/Latin America,284.0446973,2.187324489,0.22877614,204.0185418,129.8594235,22.38893037,9.826680984,74.008,74.499,25.45901911,27.70400412,0.10459177,128.568,102.532,7.402,4.229668347,157.982,6.463
Mexico,1992,South/Latin America,286.2226708,2.185893371,0.2226462,203.2829655,130.9408201,25.65555756,10.14339711,74.198,74.327,24.8800174,28.07297969,0.101855929,132.864,106.12,7.349134539,4.371387283,158.276,6.104
Mexico,1993,South/Latin America,296.2725238,2.221454168,0.226075282,206.5278504,133.3687312,25.39635742,10.37721852,77.057,76.862,26.14902403,29.98496272,0.101769051,135.673,109.88,8.91,4.335424145,159.097,6.615
Mexico,1994,South/Latin America,320.942131,2.354035178,0.23336886,205.5938282,136.3370157,19.02182409,10.7227048,84.333,79.535,26.9449752,31.18498937,0.099135672,147.131,118.458,10.118,3.811569282,158.435,8.898
Mexico,1995,South/Latin America,303.9400234,2.30447307,0.235843457,204.0970653,131.8913323,23.65022857,11.53603692,77.112,76.178,26.52201114,31.34402968,0.102341598,152.248,122.669,11.057,3.731411907,154.358,9.32
Mexico,1996,South/Latin America,317.3540498,2.353855024,0.230630896,214.3332217,134.8231079,24.66469234,10.53295398,78.145,75.359,29.83797418,33.06201216,0.097980077,157.691,111.286,12.508,3.640664337,160.903,10.305
Mexico,1997,South/Latin America,330.2211919,2.328683858,0.224603567,225.975617,141.8059351,19.95725194,11.36952525,80.861,75.106,32.87799278,35.13998493,0.096450863,167.493,120.013,12.49,3.274166682,169.313,10.405
Mexico,1998,South/Latin America,352.6181185,2.419955261,0.228060223,226.1449689,145.7126602,17.58655872,11.70803927,85.287,76.383,35.29602255,40.32103258,0.094241504,182.304,129.429,13.083,3.115126382,172.806,11.232
Mexico,1999,South/Latin America,344.6032636,2.29887136,0.216903947,224.7811154,149.9010643,20.90752441,12.4172448,84.006,73.379,35.73998763,38.83303439,0.094352364,191.51,137.219,12.984,2.948671088,166.846,10.326
Mexico,2000,South/Latin America,368.9691268,2.446421661,0.221302787,229.310304,150.8199232,19.8040598,12.91725528,88.029,71.541,36.71999754,41.6889516,0.090459789,205.675,148.338,13.199,2.881730886,169.265,11.344
Mexico,2001,South/Latin America,370.6976564,2.387331939,0.223242305,233.72703,155.2769643,17.10563209,13.40392053,86.709,73.11,36.32002083,42.31301845,0.093511213,213.988,151.303,14.861,2.613697964,175.553,11.345
Mexico,2002,South/Latin America,376.945952,2.401412408,0.227095652,238.9782057,156.9684368,15.05583789,13.57052693,83.1,74.285,37.34297484,47.68905148,0.094567535,218.221,154.976,15.977,2.486928389,178.55,10.984
Mexico,2003,South/Latin America,397.2480728,2.361479985,0.235914681,258.2919146,168.2199618,12.12571491,14.99673895,82.581,77.282,39.19297182,53.62695939,0.099901199,236.217,177.498,19.492,2.670849261,189.538,11.965
Mexico,2004,South/Latin America,404.3885996,2.361023656,0.231094956,264.1676063,171.2768098,14.44842434,15.10961148,85.87,78.433,41.02103267,56.31196037,0.097879136,237.583,186.797,17.401,2.780501972,191.428,13.12
Mexico,2005,South/Latin America,419.6630512,2.322976997,0.234413986,263.5585269,180.6574287,15.19731385,15.23409715,88.235,76.409,42.83104826,55.145931,0.100911024,250.768,194.558,21.55,2.921824156,187.689,13.475
Mexico,2006,South/Latin America,436.9598331,2.37958962,0.233576136,261.9226861,183.6282313,15.33424876,14.82207007,87.938,75.917,47.51295141,61.54395273,0.098158159,257.802,199.077,23.012,2.619840032,183.24,15.043
Mexico,2007,South/Latin America,439.7943781,2.405194822,0.229825021,250.9369067,182.851873,14.09049613,15.30542523,90.754,74.154,50.43903903,64.56096171,0.095553599,265.271,208.381,21.267,2.89326764,172.576,16.217
Mexico,2008,South/Latin America,436.4111843,2.373211712,0.225478515,236.691678,183.8905404,17.54302582,15.30518636,90.247,73.009,50.19299032,66.86392209,0.095009861,269.315,214.61,18.97,2.726918293,156.891,14.46
Mexico,2009,South/Latin America,432.0148871,2.400802283,0.23566368,224.4625984,179.9460498,12.94738061,15.83110868,87.208,73.885,50.61401955,67.45395076,0.098160387,267.753,211.272,19.161,2.749922503,146.049,12.745
Mexico,2010,South/Latin America,445.6886582,2.495659498,0.231285256,222.587401,178.5855236,16.60279163,15.70354221,88.328,69.043,50.95498754,69.97496075,0.092675005,275.538,221.091,23.582,2.862763031,144.762,15.304
Mexico,2011,South/Latin America,464.2602479,2.482530386,0.232409597,223.788811,187.0109025,14.88857106,16.56358403,89.799,67.256,48.96001979,72.68005924,0.093618027,302.749,238.955,26.125,2.707193087,143.396,19.518
Mexico,2012,South/Latin America,466.9567699,2.43477577,0.225544426,218.5979455,191.7863549,13.78813129,17.6960022,89.313,67.647,47.04202052,76.20704328,0.092634578,307.228,253.065,23.342,3.116252425,143.024,15.752
Mexico,2013,South/Latin America,458.4531449,2.386735326,0.218478694,216.3493682,192.0837807,13.29954326,17.17483563,88.481,70.335,45.79799871,72.87601413,0.091538719,297.326,246.503,23.583,3.484727202,141.24,15.187
Mexico,2014,South/Latin America,443.5904458,2.354108529,0.205629239,208.5776949,188.4324535,17.54351633,18.0561094,85.181,66.977,44.79498243,74.99603772,0.087349091,301.496,256.779,22.755,4.194748852,136.337,15.387
Mexico,2015,South/Latin America,451.2800472,2.439898757,0.202534487,189.6504295,184.9585135,15.27813538,18.27744692,83.583,61.316,41.56001009,77.83197334,0.083009382,310.712,261.85,24.45,4.929001777,126.602,10.677
Mexico,2016,South/Latin America,457.2779574,2.472855944,0.199422077,180.4634872,184.9189632,15.33172783,18.84723649,85.966,54.815,36.69903466,80.26803466,0.080644438,320.564,274.21,21.505,5.300033691,120.484,12.567
Mexico,2017,South/Latin America,456.3071316,2.533375891,0.194871162,164.8800866,180.1182104,15.99057452,18.87446288,84.081,48.164,31.56698519,81.50806388,0.076921535,322.062337,275.859317,21.69,5.425135445,108.977,11.776
Mexico,2018,South/Latin America,458.4886023,2.537811785,0.191707981,158.1682704,180.6629652,16.29880084,19.31511501,83.293489,38.861,30.61997563,84.60537031,0.075540662,335.582817,286.959745,20.559085,5.964115558,102.113,12.24198
Mexico,2019,South/Latin America,441.3963095,2.509922327,0.185123952,148.4270384,175.8605455,17.02234726,19.96269798,77.28905517,38.11971449,29.57495248,85.59355684,0.073756845,331.1837422,282.4557655,20.53632861,8.995751491,94.7227107,10.122634
Mexico,2020,South/Latin America,370.5165341,2.450582313,0.169832348,147.0887728,151.1953025,20.47945821,22.20896541,63.81913182,37.78713887,29.31942139,77.662479,0.069302854,321.9124172,274.1410957,13.51409989,11.23132438,94.97750527,6.709131858
