country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Netherlands,1990,Europe,163.3385313,2.455534497,0.315535267,60.56118323,66.51852437,1.119942197,11.21787117,21.439,49.08,76.0870752,44.16494697,0.128499627,71.968,74.074,12.52896839,0.319586483,4.076,0.0
Netherlands,1991,Europe,170.3795416,2.465477624,0.321300059,67.45036884,69.10609936,1.256990751,11.10883074,21.103,52.89,86.02511765,49.31899169,0.1303196,74.384,76.306,11.45356339,0.282318778,3.933,0.0
Netherlands,1992,Europe,168.5895364,2.459284188,0.312591453,67.47800427,68.55227927,1.287909186,11.48099324,21.486,54.593,86.39197336,48.03397243,0.127106682,77.257,78.006,11.43503161,0.459505288,3.563,0.0
Netherlands,1993,Europe,173.5360706,2.47806995,0.317767017,68.7828608,70.02872158,1.434699776,11.40800565,21.185,55.262,88.06502895,49.3670214,0.128231658,77.159,79.381,11.48503115,0.50415376,3.535,0.0
Netherlands,1994,Europe,174.2430882,2.479950519,0.309885657,66.64198273,70.2607116,1.575118635,11.82710825,21.987,55.08,83.53887777,47.70704668,0.124956387,79.867,82.723,12.52482774,0.570949203,4.618,0.0
Netherlands,1995,Europe,179.3944884,2.452219296,0.309406051,66.90334978,73.15597293,1.731233673,11.74288169,22.734,59.419,84.92606213,48.97204784,0.126173891,81.156,83.649,13.865,0.745477845,3.648,0.0
Netherlands,1996,Europe,188.6137683,2.453584705,0.314309876,74.7912377,76.87273558,2.125891153,11.46583081,23.359,60.891,96.11393897,54.27305204,0.128102313,85.423,87.221,13.52096885,0.790185313,3.252,0.0
Netherlands,1997,Europe,183.2872296,2.451784811,0.29275989,66.52046455,74.75665434,2.331199001,12.3481541,23.313,60.201,85.12603933,50.85098023,0.119406845,86.522,90.377,13.56103115,0.825223643,3.144,0.0
Netherlands,1998,Europe,183.6119712,2.438064344,0.280209836,63.9289858,75.31055184,2.555012896,12.81758013,23.306,61.717,81.2000132,50.21596134,0.114931272,91.115,93.656,13.9,0.939472096,2.854,0.0
Netherlands,1999,Europe,178.4803906,2.40915432,0.259324045,59.86431533,74.08424988,2.890913284,13.17162905,23.377,58.164,75.5069273,49.06604317,0.10764111,86.72,95.776,11.89196885,0.954797048,2.761,0.0
