country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
New Zealand,1990,Asia & Pacific,21.62052321,1.585381206,0.253559042,12.33168053,13.63742873,80.0086784,24.51220262,4.149,4.863,4.910003353,4.888000741,0.159935693,32.264,28.871,2.322123717,6.812546491,2.541,2.578
New Zealand,1991,Asia & Pacific,22.16846189,1.60365258,0.262852295,12.78308781,13.82373101,77.19013725,24.58937303,4.04,4.777,5.413992662,5.374999309,0.163908504,33.297,29.316,2.2805627,7.06970598,2.516,2.689
New Zealand,1992,Asia & Pacific,23.71422659,1.661248731,0.278135606,13.14059776,14.27494038,72.57280078,23.76825646,4.366,4.884,5.568993054,5.530994663,0.167425625,32.898,28.781,2.532722138,7.073378321,2.574,3.018
New Zealand,1993,Asia & Pacific,23.42923571,1.567786549,0.258284451,13.64517434,14.94414895,77.02115244,24.03003633,4.359,5.027,5.384000512,5.357994114,0.164744653,34.275,29.93,2.453687859,7.148067104,2.647,3.337
New Zealand,1994,Asia & Pacific,23.98646244,1.566118289,0.2515519,13.25488486,15.31586893,82.05554918,23.28726759,4.721,5.226,5.02400226,5.025002597,0.160621265,34.852,30.519,2.310585395,6.584987949,2.444,3.033
New Zealand,1995,Asia & Pacific,24.38009317,1.588711746,0.244150655,13.1088268,15.34582547,83.85513436,22.77124371,4.929,4.843,4.677994072,4.722999073,0.153678385,36.061,31.145,2.292669114,6.181192979,1.98,3.577
New Zealand,1996,Asia & Pacific,25.86243885,1.64142076,0.249944671,14.03388601,15.75612999,79.06670688,22.70470482,4.95,4.735,5.480002802,5.520999103,0.15227337,36.473,32.004,2.26439352,6.130562334,2.379,3.61
New Zealand,1997,Asia & Pacific,28.22928485,1.73394297,0.267354783,14.64271465,16.28039984,70.09350831,23.18368254,5.085,5.134,5.894002442,5.966997021,0.154188914,37.109,33.04,2.412156149,6.303053168,2.882,3.567
New Zealand,1998,Asia & Pacific,27.36759571,1.704896075,0.257157346,13.5335087,16.05235422,75.64808168,23.48645171,5.063,5.323,5.3199967,5.328999808,0.150834617,37.611,33.201,2.228433586,6.960729574,2.303,3.127
New Zealand,1999,Asia & Pacific,28.96199605,1.734696258,0.25805958,14.02549279,16.69571599,69.52244963,23.05081875,5.189,5.068,6.01699997,5.952004085,0.148763554,37.818,33.93,2.311739046,7.665661854,2.063,3.507
New Zealand,2000,Asia & Pacific,30.0982975,1.74295546,0.26061777,14.46837285,17.26854081,71.50100645,22.33522978,5.409,5.253,6.324008227,6.326996198,0.149526351,39.247,34.697,2.198868618,7.921624583,1.87,3.458
New Zealand,2001,Asia & Pacific,31.90828566,1.844988082,0.267026115,14.53749065,17.29457549,63.55664502,22.80969262,5.349,5.197,6.365998009,6.379996504,0.144730536,39.571,35.376,2.660689243,7.652068434,1.784,3.912
New Zealand,2002,Asia & Pacific,31.97992806,1.847800903,0.255659955,14.81457261,17.30702047,69.47917692,22.32334473,5.607,5.515,6.012004231,6.050002937,0.138359038,40.628,36.195,2.666739509,7.553903712,1.627,4.459
New Zealand,2003,Asia & Pacific,32.53949813,1.903336281,0.248781246,13.50885319,17.09603209,66.00583949,23.56878574,5.828,5.337,4.648005885,4.605003351,0.130707983,40.757,36.369,3.823447566,7.328802414,1.267,5.18
New Zealand,2004,Asia & Pacific,32.28966825,1.839796345,0.2372988,13.4641642,17.55067529,72.26713533,23.84639496,6.013,5.248,4.258005064,4.285001926,0.128981015,42.675,37.867,3.990920822,7.592267135,1.123,5.155
New Zealand,2005,Asia & Pacific,32.98333938,1.925034399,0.234604473,13.06532491,17.1338961,64.35283419,25.4698808,6.055,5.356,4.128994828,4.125994783,0.121870276,42.887,38.408,4.416462632,8.986406137,1.054,5.267
New Zealand,2006,Asia & Pacific,33.10939941,1.932067478,0.228988716,13.4571575,17.13677177,64.72145488,25.73924991,6.133,5.21,3.96800371,3.899000534,0.118520041,43.44,39.257,4.367498748,9.360036832,1.003,5.674
New Zealand,2007,Asia & Pacific,31.94934733,1.842844062,0.214502454,14.32199885,17.3369782,65.50598228,25.77506977,6.155,4.969,4.398999673,4.361996686,0.116397506,43.796,39.553,3.341631812,10.37766006,2.009,4.835
New Zealand,2008,Asia & Pacific,33.03329166,1.877816999,0.224040198,15.17195713,17.59132636,64.27495893,25.65072493,6.239,5.227,4.273005275,4.149997061,0.119308856,43.832,39.194,4.165246678,12.14865851,2.811,4.831
New Zealand,2009,Asia & Pacific,30.2676468,1.709916275,0.205722516,15.48878243,17.70124493,71.71101086,25.91835422,5.965,5.108,4.490996096,4.274002575,0.120311455,43.448,39.28,3.249148717,14.73485546,2.654,4.513
New Zealand,2010,Asia & Pacific,29.99432984,1.617639209,0.200774429,17.04878948,18.54203933,73.18176752,25.9551689,6.021,5.3,4.831997413,4.707000111,0.124115704,44.865,40.69,2.844774342,16.86838293,2.619,5.342
New Zealand,2011,Asia & Pacific,29.28293164,1.587759578,0.191541547,16.25561203,18.44292552,76.09601225,25.99977388,5.998,5.518,4.358999206,4.324995299,0.120636367,44.411,40.342,2.982329476,18.30852717,2.275,4.959
New Zealand,2012,Asia & Pacific,31.11260853,1.60552241,0.19907817,16.21229566,19.37849533,71.80976051,25.38400068,5.96,5.743,4.647994044,4.505002432,0.123995884,44.26,39.88,3.527751184,18.793493,2.032,4.922
New Zealand,2013,Asia & Pacific,31.25057787,1.603215192,0.194940515,16.30506808,19.4924412,74.21219337,24.40997095,6.04,5.519,4.790999007,4.806998888,0.12159348,43.253,39.496,3.108098914,19.68187178,1.779,4.625
New Zealand,2014,Asia & Pacific,31.8993602,1.552592584,0.191859021,17.07128698,20.54586666,79.13776471,23.13276855,6.189,5.418,5.240999137,5.368994119,0.123573321,43.538,39.862,3.15813898,21.96931416,1.989,3.985
New Zealand,2015,Asia & Pacific,31.66858709,1.523132935,0.183879497,16.71219679,20.79174205,80.08095152,23.56545709,6.332,5.809,4.954003766,5.059997733,0.120724523,44.224,40.422,2.947659474,23.30634949,2.061,3.391
New Zealand,2016,Asia & Pacific,31.22167353,1.51900974,0.174907767,16.20230524,20.55396534,84.23569794,22.70364621,6.475,5.695,5.066005241,5.063005224,0.115145915,43.7,39.781,2.515598454,23.597254,1.752,2.866
New Zealand,2017,Asia & Pacific,32.73300921,1.582650948,0.177811692,15.99553256,20.6823932,81.118623,22.33064831,6.728383,5.524,4.990002695,5.169250963,0.112350542,44.192333,39.662983,2.631710627,22.89686992,1.585,2.918563
New Zealand,2018,Asia & Pacific,32.15683529,1.573505875,0.169967636,15.44902598,20.4364253,83.37565791,22.72086175,6.778742,5.514,4.408000635,4.582995309,0.108018431,44.380042,39.543334,2.621948481,22.93871196,1.259,3.238599
