country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Nigeria,1990,Africa,28.32067832,0.42630721,0.092771676,146.3030797,66.43255775,32.58560499,1.141129206,7.086,12.849,4.0,4.0,0.217616953,13.463,7.871,0.075,0.0,88.322,0.09
Nigeria,1991,Africa,33.59143221,0.482521428,0.109644474,152.4868315,69.61645689,41.8648973,1.146529823,8.516,13.902,4.878003848,4.878003848,0.227232342,14.167,8.292,0.073,0.0,92.144,0.1
Nigeria,1992,Africa,40.14598769,0.554750041,0.125238887,157.6720157,72.36770571,40.84535526,1.149743898,10.358,12.723,5.13199761,5.13199761,0.225757328,14.834,8.699,0.052,0.0,95.575,0.087
Nigeria,1993,Africa,36.63981761,0.498298999,0.116675572,160.4593079,73.52978366,38.41433988,1.315524211,9.012,12.432,5.604997658,5.604997658,0.234147715,14.505,9.998,0.008,0.0,96.509,0.028
Nigeria,1994,Africa,30.84990257,0.430108029,0.100054115,161.6838904,71.72593971,35.81224647,1.266052526,7.156,8.004,5.492998887,5.492998887,0.232625545,15.531,9.595,0.025,0.0,96.216,0.025
Nigeria,1995,Africa,33.20078629,0.454977794,0.107756932,164.6169884,72.97232244,34.68499716,1.204604837,8.005,9.15,5.384995986,5.384995986,0.236839982,15.857,9.436,0.02,0.0,97.541,0.02
Nigeria,1996,Africa,36.92934167,0.486235144,0.115031739,177.1252008,75.9495527,33.86074001,1.112922237,9.236,10.959,5.457002334,5.457002334,0.236576357,16.243,9.052,0.008,0.0,108.032,0.008
Nigeria,1997,Africa,41.58412979,0.52587768,0.125835104,188.7734031,79.07566977,34.70248806,1.04492473,9.711,9.947,5.705996437,6.17799931,0.23928588,16.117,8.843,0.01,0.0,117.458,0.01
Nigeria,1998,Africa,37.63156887,0.470257534,0.111009083,184.6254425,80.02331938,38.21719277,0.997953212,8.523,7.263,5.9,6.268992921,0.23606019,15.111,8.521,0.012,0.0,111.375,0.012
Nigeria,1999,Africa,39.46383563,0.477284497,0.115738016,183.1061404,82.68409275,38.21244328,0.978324633,8.817,8.594,6.95,6.640000842,0.24249272,16.089,8.576,0.016,0.0,107.066,0.016
