country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Norway,1990,Europe,27.87981186,1.32300999,0.162718969,119.4831053,21.07301689,99.79236426,47.58718283,8.05,13.767,27.64198114,2.261997623,0.122991489,121.848,97.698,1.277,0.053345151,82.088,0.303
Norway,1991,Europe,26.3861867,1.212537225,0.149393146,131.4781879,21.76113537,99.80181787,49.24074123,7.667,13.279,27.4249963,2.216000158,0.12320706,111.009,99.903,1.156,0.03783477,93.716,0.33
Norway,1992,Europe,29.27201457,1.323253071,0.160012624,147.1551584,22.12125194,99.81787699,50.01150018,7.552,14.792,29.41900717,3.696998115,0.120923675,117.503,100.441,1.159,0.03659481,106.862,0.359
Norway,1993,Europe,31.19473071,1.324723074,0.165805268,155.3507043,23.54811457,99.80434113,49.32415411,7.747,14.849,28.86696969,4.195996027,0.12516221,120.107,101.932,1.239,0.052453229,114.471,0.268
Norway,1994,Europe,32.7032606,1.418387544,0.165458714,170.5433918,23.05664678,99.64624722,48.70648036,7.927,15.388,30.92700043,4.405004196,0.116652684,113.356,102.923,1.403,0.056459296,128.514,0.301
Norway,1995,Europe,32.13713262,1.367063527,0.156107419,185.0184451,23.50814865,99.66477001,47.85245079,8.262,13.819,31.44899522,3.851003126,0.114191781,123.199,104.965,1.523,0.04464322,138.5,0.292
Norway,1996,Europe,33.00589463,1.447778657,0.152652193,207.884073,22.797611,99.50087632,46.71848161,8.812,15.271,41.29399976,3.371996706,0.105438903,104.984,104.141,1.513,0.054293988,156.804,0.23
Norway,1997,Europe,34.75431088,1.438014371,0.152670595,213.3223378,24.16826395,99.58175484,47.23132756,8.653,16.076,46.72703676,4.426997265,0.106167642,111.657,104.894,1.504,0.050153595,156.502,0.386
Norway,1998,Europe,36.41340775,1.445078018,0.155868121,206.5330078,25.19822964,99.61797484,47.84514779,8.75,15.552,47.59795735,4.952997898,0.107861388,117.008,110.455,1.639,0.055551757,149.826,0.328
Norway,1999,Europe,37.73015197,1.429699989,0.158317744,210.1743084,26.39025828,99.56240782,47.2636188,8.81,15.953,50.99005426,5.491001308,0.110734941,122.717,110.224,1.554,0.066820408,149.35,0.404
Norway,2000,Europe,33.02799452,1.262179607,0.134283481,228.036849,26.16742843,99.71604817,47.39518969,8.275,15.756,53.2930198,4.108998017,0.106390153,142.982,110.918,1.571,0.035668825,160.99,0.632
Norway,2001,Europe,34.36042852,1.278155272,0.136861237,226.8508506,26.88282814,99.52252031,47.19027577,8.679,15.209,57.6639801,4.57500342,0.107077161,121.89,113.785,1.401,0.077118714,162.592,1.788
Norway,2002,Europe,34.02167075,1.350303011,0.133580023,235.5563859,25.19558239,99.58456065,46.83483193,8.676,13.875,69.35800874,4.518001659,0.098925961,130.705,110.464,1.21,0.084158984,157.773,2.132
Norway,2003,Europe,36.83423942,1.348538665,0.14331872,235.1637938,27.31418859,99.40245915,43.75910302,9.284,15.8,77.11499265,5.003002539,0.106277057,107.273,104.559,1.176,0.23771126,153.748,2.944
Norway,2004,Europe,37.19713452,1.390655152,0.139205085,229.0585545,26.74792128,99.35362557,45.1290961,8.956,15.075,80.95798968,5.334001061,0.100100363,110.617,109.692,1.347,0.263069872,144.043,2.904
Norway,2005,Europe,36.80301294,1.35829363,0.134206603,224.4089483,27.09503462,99.47467194,46.29122073,8.822,16.345,86.94600249,5.185996991,0.098805295,138.009,114.241,1.153,0.397800143,133.016,1.471
Norway,2006,Europe,37.25025963,1.356195399,0.13265412,215.6417386,27.466735,99.31815565,45.08294977,9.204,18.435,89.27600391,5.372999548,0.097813427,121.582,111.22,1.013,0.560115807,123.757,2.395
Norway,2007,Europe,37.70391596,1.352293893,0.130366171,215.4903516,27.88145103,99.14134935,45.21002607,9.381,18.147,91.57398911,5.427000088,0.096403727,137.192,114.947,1.12,0.688086769,119.53,4.073
Norway,2008,Europe,37.26454205,1.150351399,0.128236088,221.7926615,32.39405114,99.40689772,45.80173722,9.052,15.871,104.6600544,5.635005148,0.111475579,142.134,116.592,1.137,0.671901164,114.628,3.43
Norway,2009,Europe,37.33155215,1.180892392,0.130724321,217.3702341,31.61300081,96.59110743,45.95746834,8.943,15.313,108.8628793,5.959000076,0.110699605,131.773,113.423,0.817,0.745220948,109.976,2.641
Norway,2010,Europe,42.04055496,1.284429145,0.146187894,207.1494417,32.73092573,95.74975736,45.18089992,9.283,15.324,110.3529141,6.727995454,0.11381546,123.64,120.178,1.068,0.710934973,99.648,1.935
Norway,2011,Europe,40.22823904,1.417655462,0.138526322,198.6144003,28.37659792,96.57830154,44.66671647,8.904,16.124,105.7500025,6.244001866,0.097715084,127.539,114.579,1.101968388,1.005966802,94.235,1.386
Norway,2012,Europe,38.79802529,1.25936418,0.130085072,203.5066301,30.80762969,97.98256842,45.62916382,8.766,16.148,119.164066,5.824999596,0.103294245,147.663,118.356,1.132,1.048333029,87.648,1.229
Norway,2013,Europe,38.63947831,1.177230416,0.128227517,194.6825022,32.82235813,97.69079301,45.79661391,8.638,17.02,113.154913,5.765995846,0.108923041,134.072,119.094,1.136031612,1.402977505,83.452,1.855
Norway,2014,Europe,38.91276321,1.34380393,0.126640196,196.8694082,28.95717326,97.66852152,45.92509678,8.472,15.656,112.8770694,6.183006808,0.094240084,141.97,116.57,1.157968388,1.561597521,84.262,1.675
Norway,2015,Europe,39.12605497,1.323291268,0.124877839,207.5631308,29.56722827,97.69969421,46.45376061,8.513,16.623,121.2779403,6.414995592,0.094369125,144.546,119.526,1.13,1.739930541,87.821,1.106
