country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Poland,1990,Europe,355.7266187,3.449998209,0.855896513,103.8794564,103.1092184,2.470820403,12.97072137,12.885,12.812,4.094996243,12.0960144,0.248086075,136.311,109.195,183.6386813,0.0,0.178,215.32
Poland,1991,Europe,353.9862053,3.505498657,0.915969555,99.83476116,100.9802713,2.593642829,12.14869215,12.574,11.57,4.37599748,10.95199197,0.261295081,134.714,102.833,183.1855912,0.0,0.173,209.782
Poland,1992,Europe,345.3481918,3.504039,0.871695014,97.67192431,98.55717698,2.772881356,11.90720739,12.867,12.833,4.203997049,10.5640136,0.248768639,132.75,98.444,174.2438675,0.0,0.218,198.472
Poland,1993,Europe,345.3000222,3.42043969,0.840165438,97.35732477,100.95194,2.716875705,11.23275483,13.569,13.822,5.165999545,10.8170092,0.245630829,133.867,99.335,175.8086649,0.0,0.256,198.584
Poland,1994,Europe,338.3778445,3.516984039,0.78193642,97.43621808,96.21250503,2.834935388,11.41860288,14.0,13.643,4.888999658,11.34001177,0.222331524,135.347,100.003,170.7230862,0.0,0.326,200.703
Poland,1995,Europe,338.9438611,3.406567023,0.732333611,99.3665426,99.49719436,2.819302764,11.68572036,14.457,13.684,5.065991348,11.77400236,0.214977015,139.006,103.81,168.4493242,0.0,0.365,200.713
Poland,1996,Europe,353.4133803,3.413721745,0.719990187,98.96589093,103.5272956,2.823856453,11.69143863,16.458,15.079,5.015002334,12.77998188,0.210910625,143.173,107.293,171.2560034,0.000719393,0.394,201.715
Poland,1997,Europe,342.8916423,3.354818257,0.656170441,100.0497953,102.2087088,2.79221234,12.1183971,17.71,15.586,5.101006471,12.92998264,0.195590459,142.79,108.851,164.6162525,0.001400658,0.403,200.924
Poland,1998,Europe,317.297202,3.32837952,0.580407398,87.37400457,95.33083596,3.187220304,13.10975517,18.26,16.682,5.118006238,12.79600768,0.174381375,142.789,108.661,151.9272253,0.002801336,0.556,178.546
Poland,1999,Europe,308.9186913,3.328755124,0.540013618,83.68115662,92.80306895,3.151384667,13.34706979,18.881,17.559,4.973995044,12.3289862,0.162226898,142.128,107.026,146.2734023,0.002814365,0.615,171.063
Poland,2000,Europe,295.8998417,3.327060393,0.494700717,79.43411344,88.93732206,2.990687679,14.25134647,18.586,18.43,5.224007565,13.34599786,0.148690032,145.184,108.818,141.293,0.003443906,0.898,162.815
Poland,2001,Europe,295.4908242,3.300080902,0.487927737,80.10692403,89.54047884,3.212559059,14.29299195,18.18,18.396,5.461994439,13.63500305,0.147853265,145.616,109.139,140.6201277,0.009614328,1.016,163.544
Poland,2002,Europe,288.8582114,3.257884109,0.467432485,80.02389896,88.66436057,3.048721258,14.27975072,18.121,17.577,5.551999946,13.42199359,0.143477321,144.126,107.657,136.5484642,0.042324078,0.992,161.915
Poland,2003,Europe,301.1691622,3.313374024,0.470589607,79.67295038,90.89500914,2.553567542,14.35850559,19.084,17.974,5.626004662,14.66399912,0.142027312,151.631,111.462,140.6779836,0.081777473,0.958,163.794
Poland,2004,Europe,303.5545058,3.32993536,0.451147513,78.68449575,91.15927878,3.12404725,14.41329379,20.218,18.531,5.939003459,15.53300066,0.135482364,154.159,114.798,139.597,0.232227765,1.096,162.428
Poland,2005,Europe,303.6621628,3.28796266,0.436072588,78.57584852,92.35572122,3.456185961,14.4262313,20.788,18.457,6.056990008,16.23100928,0.132626989,156.936,115.659,137.2409206,0.244048529,1.1,159.54
Poland,2006,Europe,316.7588344,3.264889051,0.428406043,77.57194918,97.0197852,3.257657257,14.46477768,21.988,21.047,5.99499183,16.18498241,0.131216111,161.742,121.279,140.2380312,0.314080449,1.032,156.067
Poland,2007,Europe,314.3215671,3.255405761,0.397169524,72.45712103,96.55372946,3.77601225,14.82828811,22.985,21.716,6.039990271,16.15898484,0.122003078,159.348,124.741,137.3258387,0.438034993,0.944,145.85
Poland,2008,Europe,311.1943514,3.173665741,0.377188991,71.301341,98.05517557,4.637970445,15.06163861,23.32,21.97,5.750004187,16.2880084,0.118849627,155.305,127.35,134.6201328,0.54409066,1.019,144.013
Poland,2009,Europe,299.5247908,3.174426227,0.353086717,67.41787373,94.35556835,6.114553124,14.7481217,23.458,22.006,5.862002803,15.99000886,0.111228516,151.72,122.303,127.52991,0.71513314,0.931,135.172
Poland,2010,Europe,318.0202539,3.156120353,0.361838345,67.38822237,100.7630313,7.266407454,14.48481208,24.52,23.563,6.079007243,17.1550177,0.114646561,157.657,129.424,133.5009705,1.05989585,1.043,133.238
Poland,2011,Europe,313.5172366,3.096395105,0.339672705,68.38700823,101.2523357,8.295423973,15.1297505,24.188,24.778,6.246991524,17.17802233,0.109699407,163.548,132.388,137.0726309,1.964560863,0.904,139.289
Poland,2012,Europe,307.625161,3.136346747,0.328014904,71.73951744,98.08391285,10.67417463,15.33991356,22.907,25.625,6.317004164,18.09698572,0.104585025,162.139,133.278,135.2258456,2.933285638,1.092,144.093
Poland,2013,Europe,304.7768354,3.103978672,0.320516544,71.48729844,98.18908814,10.70907765,15.76655086,21.461,24.893,6.205994117,18.22897778,0.103259905,164.58,134.481,136.882,3.65354235,1.501,142.866
Poland,2014,Europe,291.7762098,3.082869091,0.296989094,67.90238683,94.64437223,12.82165737,16.3553075,21.405,24.812,6.080010382,17.65798497,0.096335292,159.059,136.308,130.475,4.835312683,1.493,137.148
Poland,2015,Europe,296.0080193,3.097809091,0.290157169,68.52334038,95.55399014,14.11751867,16.34785924,23.086,27.486,6.077996623,18.20201713,0.093665284,164.944,138.927,129.098,6.622853817,1.557,135.814
Poland,2016,Europe,306.6235643,3.071659172,0.291627684,67.24783384,99.82343324,13.97605545,15.98650607,25.319,27.016,5.793996081,19.02198637,0.09494142,166.635,143.764,128.173,7.634650584,1.601,131.029
Poland,2017,Europe,319.4739849,3.058677371,0.289552508,64.87522543,104.448409,14.42900256,15.36853007,28.383133,26.691728,5.746653687,20.07665532,0.09466592,170.465352,146.425464,129.670746,8.847547506,1.581141,127.135766
Poland,2018,Europe,320.1513036,3.007035324,0.275959922,63.05235712,106.4674236,12.95851908,15.74637672,28.894769,28.214812,5.678209813,20.290675,0.091771427,170.039461,151.402779,126.717743,7.738687786,1.652761,122.427868
Poland,2019,Europe,301.8927163,2.919734879,0.249015903,60.00850193,103.3973045,14.47815449,15.81745401,29.42340844,28.43539825,5.60946239,20.86452105,0.085287163,163.9904446,149.9139832,112.7901542,9.68166482,1.59221431,112.4088788
Poland,2020,Europe,278.032797,2.85246813,0.235941433,55.37955584,97.4709565,16.67080675,15.93095388,28.66436728,26.69068828,5.534141826,21.53196838,0.082714836,157.5503825,144.6542972,99.767189,11.21195823,1.5222327,100.7725952
