country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Portugal,1990,Europe,39.78780775,2.371020147,0.177453263,3.392967045,16.78088135,35.0794709,15.04636449,10.94,11.428,0.0,0.0,0.074842579,28.501,23.95,4.399,0.021051893,0.0,0.0
Portugal,1991,Europe,41.28946792,2.433777868,0.176443249,3.3941156,16.9651752,33.44603642,15.77273664,10.995,10.192,0.0,0.0,0.07249768,29.872,25.256,4.619,0.023433315,0.0,0.0
Portugal,1992,Europe,45.14523436,2.501169306,0.190841018,2.93971232,18.04965152,19.82850306,15.65418454,12.351,11.649,0.0,0.0,0.076300719,30.088,26.035,4.713,0.033235842,0.0,0.0
Portugal,1993,Europe,43.86310703,2.464146964,0.189288816,3.27588954,17.80052394,30.93635839,15.82967549,11.652,11.264,0.0,0.0,0.076817178,31.206,26.376,4.982,0.051272191,0.0,0.0
Portugal,1994,Europe,45.28253485,2.479709823,0.193546865,3.485803125,18.26122333,37.24109362,15.65635296,11.776,13.744,0.0,0.0,0.078052223,31.382,27.431,5.236,0.162513543,0.0,0.0
Portugal,1995,Europe,48.7105487,2.411989443,0.199648398,3.31735872,20.19517492,28.56155118,16.20929527,12.872,13.346,0.0,0.0,0.08277333,33.265,29.291,5.672,0.177363595,0.0,0.0
Portugal,1996,Europe,46.75499223,2.338097105,0.185145272,3.793070255,19.99702756,46.02415921,16.38842885,12.264,12.341,0.0,0.0,0.079186306,34.521,30.69,5.438,0.20567191,0.0,0.0
Portugal,1997,Europe,48.99303399,2.325770944,0.185829587,3.74775648,21.06528767,41.80893358,16.40896946,13.16,12.984,0.0,0.1,0.07990021,34.208,32.439,5.464,0.263096352,0.0,0.0
Portugal,1998,Europe,53.74041164,2.361167904,0.194485503,3.732406565,22.76009747,36.4867638,16.23975435,14.783,14.019,0.0,0.806000381,0.082368349,38.984,34.412,4.985,0.37964293,0.0,0.0
Portugal,1999,Europe,60.21085288,2.465185892,0.209709444,3.367840555,24.42446757,20.77991083,16.80692403,15.031,13.482,0.0,2.24800232,0.08506841,43.287,36.741,6.083,0.471273131,0.0,0.0
Portugal,2000,Europe,59.7114183,2.427754413,0.200325189,3.84667292,24.59532891,30.29887579,16.98393479,14.66,12.308,0.0,2.280000097,0.082514602,43.764,38.939,6.102,0.56896079,0.0,0.0
Portugal,2001,Europe,59.25451529,2.391240288,0.195002127,4.097106615,24.77982476,34.57825367,17.60697339,15.046,13.061,0.0,2.542999459,0.081548529,46.509,40.541,5.157,0.778343976,0.0,0.0
Portugal,2002,Europe,63.2029637,2.448202206,0.206404947,3.6432016,25.81607171,22.10076561,17.87896592,15.532,12.394,0.0,3.113001221,0.084308782,46.107,42.117,5.689,0.997679311,0.0,0.0
Portugal,2003,Europe,58.73476292,2.339025639,0.193614553,4.33685874,25.11078201,38.49141979,18.57124342,14.415,13.224,0.0,3.017001279,0.082775729,46.852,43.803,5.364,1.257150175,0.0,0.0
Portugal,2004,Europe,60.04913199,2.325799559,0.194468737,3.891627325,25.8187047,27.91708236,18.82196906,14.405,13.293,0.0,3.760001174,0.083613713,45.105,45.498,5.424,2.001995344,0.0,0.0
Portugal,2005,Europe,63.1890172,2.388469291,0.203049696,3.611121455,26.45586336,18.56575416,19.46951766,15.021,13.564,0.0,4.257999788,0.085012479,46.575,47.028,5.459,3.965646806,0.0,0.0
Portugal,2006,Europe,57.88149706,2.301435624,0.183020523,4.36309634,25.15016995,33.00707571,20.8451212,13.089,14.318,0.0,4.1390009,0.079524503,49.041,48.545,5.46,6.147917049,0.0,0.0
Portugal,2007,Europe,56.26578523,2.222107191,0.173561213,4.63020862,25.32091406,35.07713796,20.66956079,13.212,13.188,0.0,4.343997413,0.078106589,47.253,49.676,4.725,9.019533151,0.0,0.0
Portugal,2008,Europe,54.31771593,2.20180267,0.167018865,4.46357589,24.66965668,32.93383217,21.31466332,12.519,12.758,0.0,4.720003162,0.07585551,45.974,49.187,4.145,13.02910341,0.0,0.0
Portugal,2009,Europe,53.80803535,2.210494655,0.170783674,4.91613127,24.34207892,37.87519669,21.75465928,11.701,11.314,0.0,4.744994622,0.077260388,50.207,48.773,4.671,15.77668453,0.0,0.0
Portugal,2010,Europe,48.47149187,2.063331163,0.15121818,5.791884855,23.49186245,53.15585136,22.64373936,11.305,11.912,0.0,5.140004234,0.073288371,54.09,50.613,2.688,17.72970974,0.0,0.0
Portugal,2011,Europe,48.0000851,2.101856701,0.152331307,5.520699395,22.83699221,47.06173875,22.9078916,10.322,10.82,0.0,5.1839987,0.07247464,52.463,49.114,3.721,18.39582182,0.0,0.0
Portugal,2012,Europe,46.50466338,2.167998197,0.153826693,4.716862725,21.45050832,43.78204441,24.26184645,9.14,11.673,0.0,4.490004125,0.07095333,46.615,47.11,4.865,23.16421753,0.016,0.0
Portugal,2013,Europe,45.09032359,2.09085625,0.150537307,5.821121779,21.56548237,59.23789987,23.98504237,9.183,13.941,0.0,4.263996923,0.071997923,51.673,46.273,4.438,24.55827995,0.076,0.0
Portugal,2014,Europe,44.17822416,2.080464911,0.14633296,6.045745408,21.23478455,61.36772532,24.01079942,9.027,12.662,0.0,4.079001377,0.070336663,52.803,46.139,4.529,24.51186486,0.072,0.0
Portugal,2015,Europe,48.22857772,2.189332714,0.156936699,5.368086938,22.02889374,48.66653949,24.25639315,9.124,15.092,0.0,4.735976476,0.071682435,52.42,46.849,5.513,24.04998092,0.07,0.0
Portugal,2016,Europe,47.63142417,2.178333607,0.151925439,6.06593469,21.86599151,55.52387741,24.69820819,9.039,14.915,0.0,5.049004078,0.06974388,60.329,47.36,4.811,22.40381906,0.071,0.281
Portugal,2017,Europe,51.99430623,2.276821554,0.160223327,5.287093595,22.83635541,40.90052179,24.40326573,9.151641,15.477508,0.0,6.282251226,0.070371491,59.431721,47.660588,5.453806,22.64121545,0.070827,0.27
Portugal,2018,Europe,48.12654262,2.180736428,0.144770368,5.935758708,22.06894057,51.37321482,25.44853329,8.59659,13.795726,0.0,5.728976344,0.066386,59.636081,48.897005,4.552338,23.22900293,0.06538,0.221
Portugal,2019,Europe,44.52823965,2.053416777,0.131107762,5.747946086,21.68494977,54.12277252,24.00536603,9.255615958,13.08160137,0.0,6.007052962,0.063848588,52.95584094,48.17622511,2.115979484,28.94146221,0.066,0.197
Portugal,2020,Europe,38.90538033,1.943811809,0.123973988,6.149069422,20.0149933,59.70064134,24.43401699,8.193063469,11.57070696,0.0,5.966754776,0.063778802,53.09929117,45.99130983,0.960874894,26.80374199,0.066625879,0.147
