country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Romania,1990,Europe,163.0139637,2.630011071,0.586431839,40.45642307,61.98223479,17.74401717,10.48767468,17.032,22.618,28.33601412,35.66796765,0.222976947,64.309,60.216,46.953,0.0,7.929,38.183
Romania,1991,Europe,135.5843701,2.654633948,0.560112181,35.65114882,51.07460114,25.68174216,10.74358557,14.336,14.736,24.80702305,29.43298859,0.21099413,56.803,50.881,39.661,0.0,6.791,32.414
Romania,1992,Europe,127.2579183,2.762444287,0.576234606,33.70326131,46.06714383,21.59239782,12.01040812,11.867,12.955,21.78200264,26.48100599,0.208595919,54.195,46.736,43.85352961,0.0,6.827,38.37
Romania,1993,Europe,118.4838429,2.596254473,0.528426091,33.49706878,45.63645212,23.01716057,11.57718053,11.106,13.217,20.73702408,24.95301953,0.203534013,55.476,42.688,44.96530362,0.0,6.931,39.777
Romania,1994,Europe,113.6217118,2.639912311,0.48757048,31.81466497,43.03995678,23.66149158,10.98751624,10.986,14.752,18.5110004,24.01001807,0.184691923,55.136,40.949,43.84502408,0.0,6.974,40.566
Romania,1995,Europe,117.1243122,2.513098938,0.473109416,32.48522501,46.6055317,28.16623359,11.20694835,11.101,14.559,18.04301248,23.96298362,0.188257378,59.266,43.108,45.01086648,0.0,7.04,41.127
Romania,1996,Europe,121.9590185,2.548818718,0.47411175,32.97954926,47.84923212,25.6805216,10.9408744,12.81,13.246,17.24900394,24.18002015,0.186012346,61.35,46.147,45.335214,0.0,6.965,41.871
Romania,1997,Europe,112.5432317,2.507301875,0.459804385,31.60157707,44.88619132,30.65724085,10.82917267,13.139,12.302,14.96500247,20.86797484,0.183386129,57.148,46.739,37.80102387,0.0,6.855,33.807
Romania,1998,Europe,97.99067636,2.385503853,0.408643453,29.05807615,41.07755946,35.31105129,11.41144218,11.48,13.025,14.00400133,18.74199238,0.171302785,53.496,44.029,31.36196399,0.0,6.724,26.235
Romania,1999,Europe,84.02207336,2.316628995,0.351715971,27.96108377,36.26911065,36.06783672,12.07040968,9.533,10.458,14.02699426,17.13501779,0.151822312,50.71,38.996,27.957,0.0,6.435,22.893
Romania,2000,Europe,87.33891903,2.409194837,0.356818038,28.32725326,36.252327,28.45534717,11.96236287,9.725,10.99,13.75001684,17.11999828,0.148106758,51.934,41.3,32.00671654,0.0,6.339,29.294
Romania,2001,Europe,93.63512574,2.538395144,0.363569281,27.76299475,36.8875295,27.70393198,12.56954538,11.169,12.073,13.56799065,16.5649915,0.143228008,53.866,42.299,34.42283336,0.0,6.273,33.303
Romania,2002,Europe,93.30852293,2.441425407,0.342753911,29.30779328,38.2188711,29.32127524,12.31740008,10.602,13.228,13.44399788,17.19001475,0.1403909,54.735,41.516,34.81252961,0.0,7.362,30.428
Romania,2003,Europe,95.89942396,2.409292133,0.344212646,29.44527507,39.80398335,24.05150526,12.56921875,10.122,12.04,13.02900497,18.43401693,0.142868787,55.14,44.459,37.95456535,0.0,7.167,33.082
Romania,2004,Europe,94.23550463,2.434923799,0.306299108,28.36925653,38.70162371,29.23414574,12.61809994,10.324,13.077,12.96498512,17.39498379,0.125794125,56.499,45.438,36.20240258,0.0,5.705,31.8
Romania,2005,Europe,93.13761377,2.412167828,0.289228935,27.92473846,38.61158113,34.02117382,12.48042139,10.324,14.867,12.11999549,17.28499478,0.119904151,59.413,46.521,36.44096351,0.0,6.072,31.112
Romania,2006,Europe,96.28327501,2.408790698,0.276775656,27.9810113,39.97162356,29.28369778,13.04041621,10.093,14.407,11.94201093,18.12798627,0.114902327,62.697,47.499,41.42599197,0.0,5.684,34.932
Romania,2007,Europe,93.55734632,2.351481049,0.2507975,27.74763933,39.78656191,25.94976732,13.31763925,10.104,13.835,11.52299598,16.0830175,0.106655123,61.673,47.324,40.40652428,0.004864365,4.921,35.781
Romania,2008,Europe,92.03538034,2.320734903,0.225709734,29.01500416,39.65786021,26.51641111,13.46906243,9.898,14.015,11.3690075,16.00201779,0.09725787,64.956,47.894,40.48111754,0.007697518,4.834,35.871
Romania,2009,Europe,78.15622709,2.237352286,0.202865035,28.38828075,34.93246352,27.27962216,13.69174123,8.664,12.196,11.25198553,13.25699463,0.090671924,58.014,42.665,35.152,0.015513497,4.647,33.97
Romania,2010,Europe,74.72292322,2.130237352,0.201827187,27.52070242,35.07727584,33.88051624,14.98039406,8.083,10.968,10.85499705,13.57898325,0.09474399,60.979,45.972,33.05006322,0.501812099,4.333,31.13
Romania,2011,Europe,81.59483062,2.275640087,0.216051765,27.62352639,35.85577134,26.5731231,15.27727385,8.489,10.445,10.90099931,13.92701339,0.094941097,62.217,47.25,39.476,2.2325088,4.271,35.513
Romania,2012,Europe,79.14625358,2.262152262,0.205303776,27.24322759,34.98714693,25.73799644,14.92863551,8.876,9.85,10.93499413,13.53299893,0.090755949,59.045,46.861,35.761,4.484715048,4.052,33.947
Romania,2013,Europe,69.56379407,2.176719686,0.174320486,25.97585151,31.95808561,34.81243738,15.07857732,8.228,10.122,10.8539927,12.57099477,0.080084031,58.887,44.952,27.285,8.388948325,4.196,24.722
Romania,2014,Europe,69.06868995,2.182645677,0.167371092,26.45004458,31.64448114,42.02752908,15.62490326,8.407,11.666,11.05600503,11.96599777,0.076682667,65.676,45.808,27.264,11.90236921,4.141,23.567
Romania,2015,Europe,69.43531446,2.175665217,0.161988111,26.54051101,31.91452155,40.08688307,16.21035159,8.587,11.53,11.0919952,11.29898535,0.074454521,66.296,46.798,28.411,13.64335707,4.105,25.497
Romania,2016,Europe,67.91143305,2.131282643,0.151175367,24.94996756,31.86411397,42.20542832,16.04464072,8.994,12.194,9.81099307,11.26998484,0.070931637,65.103,47.142,25.285,12.91799149,3.913,22.987
Romania,2017,Europe,71.08408639,2.12906875,0.147732029,25.55810664,33.38740771,38.32397306,15.97152059,9.413771,12.462137,10.58191605,11.87827063,0.069388097,64.296019,48.860709,27.064689,14.40583125,3.730807,25.759221
Romania,2018,Europe,71.56496468,2.127693152,0.143074529,25.11838227,33.63500259,41.04367032,16.05604392,9.558692,12.584127,10.27768514,11.7705097,0.067243967,64.876464,49.777628,26.16886814,12.47485683,3.673964,23.652908
Romania,2019,Europe,69.0891955,2.084910434,0.132710326,24.56430328,33.13772831,41.82714158,15.78860072,9.596063612,13.26908499,9.95902301,10.99662323,0.063652771,59.622805,49.75086924,23.64040559,14.33620173,3.665046562,21.72927126
Romania,2020,Europe,63.86960683,1.971509219,0.129141319,22.53871846,32.39630138,44.16925872,15.27737575,9.582082459,11.68348343,8.988249772,11.57873986,0.065503787,56.26812052,48.06571623,16.77492732,15.50929116,3.553050466,15.05593239
