country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Russia,1990,Europe,2189.086152,2.4909406,0.724005794,1292.768435,878.8190902,15.33814104,11.26625283,213.74,267.723,628.8923882,471.5494638,0.290655584,1082.152,917.409,388.194,0.002587437,523.679,376.613
Russia,1991,Europe,2189.865781,2.514816087,0.762759663,1217.574741,870.7856579,15.69414031,11.23876633,221.12,278.556,631.7370913,486.0179963,0.30330634,1068.163,898.511,365.58,0.002714941,469.569,337.863
Russia,1992,Europe,2017.213331,2.536184383,0.82207947,1138.50153,795.3732954,17.0465566,11.40884981,196.434,247.236,629.490034,462.3851426,0.324140262,1008.45,838.323,341.7,0.0028757,397.633,323.545
Russia,1993,Europe,1848.850021,2.462067929,0.82497969,1057.249856,750.9337982,18.22562924,11.03155423,173.53,219.93,607.2984567,447.9893278,0.335075926,956.587,781.57,291.703,0.002927073,352.887,288.613
Russia,1994,Europe,1629.321909,2.481131176,0.831546962,991.1814671,656.6851137,20.10151682,11.63426215,134.972,184.303,596.4946116,414.3896155,0.335148327,875.914,706.808,258.713,0.00353916,317.576,257.311
Russia,1995,Europe,1582.822852,2.487066424,0.842734467,967.3837072,636.4216237,20.51923951,11.52330119,133.282,178.148,584.755977,393.2420874,0.338846787,860.027,696.988,263.029,0.003488263,305.107,249.769
Russia,1996,Europe,1564.712208,2.484419586,0.865595625,964.7638428,629.8099633,18.2253421,12.37837076,125.423,172.687,590.8051792,389.0793356,0.348409596,847.183,681.006,263.708,0.003305071,305.107,244.038
Russia,1997,Europe,1471.880144,2.446100988,0.802999794,933.2214721,601.7250113,18.89377221,12.70340844,120.336,171.514,560.8216061,374.423594,0.32827745,834.132,667.926,233.608,0.003476668,303.886,232.45
Russia,1998,Europe,1454.910403,2.475570257,0.83816415,939.55592,587.7071752,19.28579546,12.97836872,116.857,162.449,580.6231232,378.3939315,0.338574172,827.158,649.717,224.625,0.003626877,301.405,220.296
Russia,1999,Europe,1502.131255,2.467654653,0.813316223,961.8852918,608.7283137,19.07658238,12.66180179,121.333,167.986,580.7189903,385.7560555,0.32959078,846.226,669.173,230.567,0.003545152,303.239,238.4
Russia,2000,Europe,1521.661743,2.458227142,0.748991217,977.7707462,619.0077868,18.84978457,12.59251112,118.89,176.803,572.8165838,391.1708083,0.304687555,877.766,692.869,231.98,0.006835535,321.692,242.313
Russia,2001,Europe,1528.098907,2.44207872,0.715660654,1007.997309,625.7369572,19.74308974,12.79805585,119.845,181.824,570.4071933,395.8816375,0.293053884,891.284,700.089,226.379,0.010546582,345.841,250.65
Russia,2002,Europe,1511.18849,2.426326061,0.675970377,1046.057824,622.8299297,18.44180032,13.20308865,116.871,188.73,583.5295318,396.2740256,0.278598325,891.285,699.311,219.912,0.018176004,377.173,239.664
Russia,2003,Europe,1551.72239,2.405564833,0.646879704,1119.236087,645.0553186,17.25389234,13.190619,118.011,190.284,608.2163484,416.8918912,0.268909694,916.286,721.223,222.523,0.036342365,418.582,258.106
Russia,2004,Europe,1549.918136,2.395050754,0.602731216,1172.109265,647.1337336,19.12669754,13.4728004,117.24,193.68,619.7575987,421.8327491,0.25165697,931.865,739.053,215.065,0.043997789,456.253,260.427
Russia,2005,Europe,1547.782117,2.375743585,0.565696201,1203.076147,651.4937584,18.36791223,13.83559071,117.358,205.702,627.7000523,425.4934345,0.238113323,953.086,759.86,213.468,0.04375261,466.448,284.526
Russia,2006,Europe,1609.006212,2.399985013,0.5435051,1226.802121,670.4234416,17.65365126,14.04394035,120.93,216.548,639.9072456,436.4916296,0.226461872,995.794,797.813,219.455,0.046997672,475.827,285.922
Russia,2007,Europe,1589.060546,2.363468637,0.494716845,1238.92611,672.3425565,17.6777471,14.38685423,122.9,223.731,635.1900863,445.4442846,0.209318134,1015.333,820.698,210.197,0.048457009,487.681,290.308
Russia,2008,Europe,1604.294102,2.331780956,0.474771485,1253.758503,688.0123528,16.071547,14.65734843,126.836,229.924,650.7658383,445.6988752,0.203608956,1040.379,843.37,227.4946077,0.045175845,486.17,305.721
Russia,2009,Europe,1506.571435,2.329351244,0.483570077,1190.442855,646.7772682,17.80469364,14.31457693,121.023,227.927,582.5414073,426.3761705,0.207598609,991.98,807.937,203.436,0.047178371,491.247,276.901
Russia,2010,Europe,1609.705215,2.339126914,0.494424236,1279.188343,688.1649751,16.27525216,14.15063709,126.936,246.084,657.2913277,465.7774784,0.211371274,1038.03,850.661,212.39,0.049035192,504.102,299.764
Russia,2011,Europe,1673.984261,2.354301234,0.49296983,1299.197787,711.0323166,15.94383583,14.12931177,126.595,249.86,672.7759874,476.1819775,0.209391144,1054.765,856.239,220.942,0.049963736,512.388,297.071
Russia,2012,Europe,1653.362185,2.270951597,0.469524194,1315.807619,728.0481835,15.67578876,14.4224337,126.95,255.29,658.061627,471.0636411,0.20675218,1070.734,874.739,231.773,0.045015849,518.747,330.523
Russia,2013,Europe,1602.92991,2.268608836,0.447153597,1330.982209,706.5695437,17.29217103,14.87687568,125.684,266.656,674.5040021,465.9161653,0.197104759,1059.092,871.74,207.2606885,0.042394806,521.688,327.509
Russia,2014,Europe,1584.837719,2.241607584,0.439033478,1319.407035,707.0094386,16.71516914,14.20698749,133.56,283.328,646.5459848,464.6360188,0.195856528,1064.207,877.127,199.126,0.06681031,526.126,334.084
Russia,2015,Europe,1592.316017,2.299336262,0.451524998,1334.408759,692.511158,16.00720907,14.18125737,132.665,278.118,638.0260005,445.4462726,0.196371886,1067.544,876.816,221.922,0.088052577,533.713,352.629
Russia,2016,Europe,1571.756812,2.200458019,0.444232357,1373.629499,714.2862068,17.20739193,14.07431081,126.087,269.881,644.2224257,444.0996416,0.201881769,1090.973,898.488,215.09,0.096794329,547.734,367.544
Russia,2017,Europe,1614.581582,2.214485465,0.449016305,1429.196541,729.1001037,17.21190756,13.66807943,133.768064,280.433313,695.1301368,463.0209455,0.202763266,1094.28861,904.877863,214.2602,0.10349628,546.398,388.6001
Russia,2018,Europe,1674.260485,2.203928248,0.455345892,1484.090333,759.6710495,17.44051492,12.94252952,132.713537,277.0841,738.1573725,498.5416172,0.206606496,1115.093189,926.176715,227.399035,0.123592451,555.5206,420.376128
Russia,2019,Europe,1719.273305,2.238746019,0.461396021,1505.350608,767.9626407,17.94045229,12.97329576,134.0586568,275.2497453,750.7754472,501.1458394,0.206095741,1125.193482,929.5612608,229.0923031,0.171090521,560.7161164,424.5908278
Russia,2020,Europe,1619.084595,2.21383902,0.450735155,1401.556999,731.3470314,20.30110701,12.99110159,129.4406281,265.8290794,705.1813846,484.4548872,0.203598884,1091.535164,905.5950044,204.808262,0.336201111,512.3578483,385.5645254
