country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Saudi Arabia,1990,Middle east,155.6998811,2.684029819,0.235274778,368.4425949,58.00974342,0.0,11.96367734,34.342,89.818,23.85597179,23.85597179,0.087657289,69.208,63.633,0.0,0.0,341.817,0.0
Saudi Arabia,1991,Middle east,162.0721703,2.40013034,0.212945242,463.6596814,67.52640372,0.0,12.27676816,35.551,84.816,24.36202155,24.36202155,0.088722366,74.011,67.437,0.0,0.0,435.055,0.0
Saudi Arabia,1992,Middle east,176.7935465,2.298031089,0.223380159,477.2028811,76.93261739,0.0,11.87426921,39.06,88.791,26.99998158,26.99998158,0.09720502,82.19,74.112,0.0,0.0,446.148,0.0
Saudi Arabia,1993,Middle east,187.3742806,2.346140465,0.240022291,471.7603226,79.86490298,0.0,12.72951582,41.092,90.28,28.09197992,28.09197992,0.102305166,91.04,82.198,0.0,0.0,439.821,0.0
Saudi Arabia,1994,Middle east,199.5046153,2.374052088,0.254141042,461.8550104,84.0354836,0.0,12.37560418,42.013,91.518,30.45302751,30.45302751,0.10704948,93.922,85.909,0.0,0.0,428.105,0.0
Saudi Arabia,1995,Middle east,198.6526578,2.350552185,0.252520194,464.2442153,84.51318759,0.0,12.98460995,41.143,89.205,30.33099652,30.33099652,0.107430159,97.846,89.642,0.0,0.0,430.44,0.0
Saudi Arabia,1996,Middle east,211.5321815,2.338266244,0.261982594,469.0658487,90.46539594,0.0,12.14047107,44.921,99.592,31.4710147,31.4710147,0.112041387,101.114,92.229,0.0,0.0,434.189,0.0
Saudi Arabia,1997,Middle east,214.0115084,2.480676228,0.26215957,464.4840229,86.2714392,0.0,12.83247789,45.275,96.662,32.50998679,32.50998679,0.105680688,107.546,97.051,0.0,0.0,428.858,0.0
Saudi Arabia,1998,Middle east,228.9147562,2.489873862,0.27253044,478.6612936,91.93829442,0.0,13.1775608,47.981,97.707,34.19197116,34.19197116,0.109455521,114.623,105.611,0.0,0.0,441.473,0.0
Saudi Arabia,1999,Middle east,234.9453688,2.510159092,0.290647993,442.376973,93.59780005,0.0,13.52273982,50.382,96.176,34.12102472,34.12102472,0.115788674,119.015,110.612,0.0,0.0,405.851,0.0
Saudi Arabia,2000,Middle east,244.1725307,2.494979677,0.285975488,475.8344398,97.86553891,0.0,13.40181194,52.343,99.979,37.67995958,37.67995958,0.114620368,126.191,114.161,0.0,0.0,435.856,0.0
Saudi Arabia,2001,Middle east,248.1728565,2.470422777,0.294222967,464.0135204,100.4576458,0.0,14.12462332,55.427,99.559,39.10703572,39.10703572,0.119098225,133.673,122.943,0.0,0.0,423.089,0.0
Saudi Arabia,2002,Middle east,265.6721428,2.327403554,0.324106488,434.7504899,114.149582,0.0,13.6223049,59.549,99.392,45.69496601,45.69496601,0.139256678,141.736,128.628,0.0,0.0,388.871,0.0
Saudi Arabia,2003,Middle east,276.5760173,2.41500339,0.303310327,506.4447723,114.52407,0.0,14.6367121,63.239,107.407,47.13403001,47.13403001,0.125594162,153.0,142.195,0.0,0.0,458.376,0.0
Saudi Arabia,2004,Middle east,293.9701214,2.54830585,0.298620256,542.6001351,115.3590419,0.0,13.82565564,68.298,115.104,51.20598321,51.20598321,0.117183836,159.875,144.385,0.0,0.0,490.325,0.0
Saudi Arabia,2005,Middle east,310.2381038,2.528207381,0.298507226,570.9331152,122.7107025,0.0,13.9158506,70.483,118.824,56.27504954,56.27504954,0.118070704,176.124,153.284,0.0,0.0,514.015,0.0
Saudi Arabia,2006,Middle east,329.0904929,2.500322204,0.308056894,565.3022608,131.6192338,0.0,14.06868301,74.793,118.229,59.08002147,59.08002147,0.123206878,181.434,163.151,0.0,0.0,506.247,0.0
Saudi Arabia,2007,Middle east,346.3951323,2.506468179,0.318374723,546.4970651,138.2004907,0.0,14.1721877,77.819,114.906,60.70302447,60.70302447,0.127021251,190.535,169.78,0.0,0.0,486.447,0.0
Saudi Arabia,2008,Middle east,378.1936984,2.497017412,0.327154635,572.9647642,151.4581743,0.0,14.09039793,83.693,119.538,66.94593713,66.94593713,0.131018163,204.2,181.098,0.0,0.0,507.439,0.0
Saudi Arabia,2009,Middle east,395.0540205,2.484968971,0.348924875,519.2889818,158.977446,0.0,14.55064676,80.864,115.933,63.97700508,63.97700508,0.140414178,217.082,193.472,0.0,0.0,456.926,0.0
Saudi Arabia,2010,Middle east,434.8179731,2.478835261,0.36562031,531.46107,175.4122107,0.001666174,14.45627422,84.499,117.526,73.33007018,73.33007018,0.147496817,240.071,212.263,0.0,0.001666174,461.099,0.0
Saudi Arabia,2011,Middle east,451.104482,2.454890258,0.344841629,592.6969858,183.7574941,0.001999344,14.43757868,88.925,116.948,74.68804029,74.68804029,0.140471301,250.082,219.662,0.0,0.001999344,520.168,0.0
Saudi Arabia,2012,Middle east,481.7202271,2.553177552,0.349341083,625.0207543,188.6747856,0.008312782,16.46547876,96.226,122.446,81.09203206,81.09203206,0.136826004,288.712,262.746,0.0,0.008312782,546.685,0.0
Saudi Arabia,2013,Middle east,488.6146766,2.604353203,0.345027726,614.500673,187.614597,0.012907155,17.5484043,99.033,116.648,81.95393708,81.95393708,0.132481157,302.158,279.36,0.0,0.012907155,535.818,0.0
Saudi Arabia,2014,Middle east,525.023663,2.540347104,0.357673415,622.4412661,206.6739865,0.012482985,17.3199199,107.104,133.362,85.12589407,85.12589407,0.140797064,336.458,303.481,0.0,0.012482985,541.003,0.0
Saudi Arabia,2015,Middle east,550.7009736,2.54487613,0.360367952,648.6391782,216.3959837,0.035930345,17.10176327,115.166,145.391,87.25495924,87.25495924,0.141605302,359.028,318.947,0.0,0.035930345,565.062,0.0
Saudi Arabia,2016,Middle east,546.7761472,2.545370372,0.351920354,670.5950782,214.8120184,0.035088387,17.71282108,112.902,157.242,90.79391896,90.79391896,0.138258997,367.643,322.432,0.0,0.035088387,583.614,0.0
