country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
South Africa,1990,Africa,251.9443354,2.808246288,0.66530894,114.5365078,89.71589724,1.704878428,23.03475981,15.277,13.083,1.841998621,1.841998621,0.236912604,167.226,140.711,134.175,0.0,4.468,174.8
South Africa,1991,Africa,247.852337,2.688507409,0.67613057,116.9323694,92.18956814,2.248152285,23.27910954,15.227,13.223,1.867998295,1.867998295,0.251489197,168.316,140.172,131.351,0.0,4.468,178.2
South Africa,1992,Africa,244.9342783,2.78738485,0.682761227,115.0428258,87.87242937,1.240406925,22.68462682,15.022,12.293,1.881999921,1.881999921,0.244946882,168.09,140.69,129.694,0.0,5.547,174.4
South Africa,1993,Africa,252.5854499,2.696093972,0.695509832,122.9857839,93.68569959,0.853433769,23.48493426,14.313,13.275,2.099998158,2.099998158,0.257969433,174.706,146.077,133.679,0.0,7.114,188.214
South Africa,1994,Africa,257.6623718,2.624643322,0.687489774,128.2839477,98.17043314,1.426055369,23.86130067,14.97,14.173,2.099998158,2.099998158,0.261936457,181.69,151.597,135.537,0.0,7.083,195.805
South Africa,1995,Africa,273.736886,2.643636452,0.708418541,134.779612,103.5455862,0.965953229,23.27617863,16.374,15.832,2.099998158,2.099998158,0.267971241,186.655,157.042,144.346,0.0,7.524,206.211
South Africa,1996,Africa,284.0790344,2.665115015,0.704873974,134.9946418,106.5916603,1.784191636,26.06937409,16.331,15.266,1.890001263,1.890001263,0.264481634,201.716,183.18,150.166,0.0,7.644,206.362
South Africa,1997,Africa,298.9347618,2.750806525,0.722938482,143.3649646,108.6716783,2.303647997,26.37323727,16.836,21.09,1.686999945,1.686999945,0.262809643,210.362,190.871,156.18,0.0,8.047,220.073
South Africa,1998,Africa,306.6015472,2.768146563,0.737790738,144.9931799,110.7605903,2.067447681,25.68623026,16.699,15.887,1.421001648,1.421001648,0.266528784,205.374,185.539,159.132,0.0,7.828,222.977
South Africa,1999,Africa,289.7393254,2.657561204,0.680873389,144.7620975,109.0245165,1.73043958,26.1740608,16.736,17.431,1.858998487,1.858998487,0.256202336,203.012,182.937,151.925,0.0,8.112,223.514
