country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
South Korea,1990,Asia & Pacific,243.4972163,2.591326659,0.466666757,23.6753661,93.96623751,6.037714362,11.5896777,48.315,42.365,0.0,3.041998901,0.18008797,105.371,94.384,44.776,0.000949028,0.0,17.217
South Korea,1991,Asia & Pacific,267.571976,2.653369118,0.464692435,23.16993401,100.8423495,4.399930326,11.58730854,57.653,57.29,0.0,3.519002894,0.175132978,114.82,104.374,43.257,0.000870928,0.0,15.058
South Korea,1992,Asia & Pacific,290.8593924,2.611010855,0.475755405,20.91782402,111.397236,3.855908695,11.48066315,69.324,70.811,0.0,4.602997855,0.182211194,126.17,115.245,40.144,0.001585163,0.0,11.97
South Korea,1993,Asia & Pacific,317.397007,2.539759056,0.485894713,20.65883444,124.9713063,4.149460688,11.6061624,75.55,75.757,0.0,5.750006599,0.191315279,144.814,127.733,42.068,0.002071623,0.0,9.443
South Korea,1994,Asia & Pacific,342.4745993,2.577346409,0.480087778,20.07785708,132.8787617,2.508011448,12.34607407,81.149,79.548,0.0,7.654007852,0.186272119,163.516,146.54,42.807,0.001834683,0.0,7.438
South Korea,1995,Asia & Pacific,371.8879442,2.552432477,0.475784541,22.09215502,145.6994249,3.116552538,12.70215976,87.999,89.464,0.0,9.254989371,0.186404359,183.857,163.27,44.407,0.001087802,0.0,5.72
South Korea,1996,Asia & Pacific,395.5102963,2.500732187,0.470290183,23.3635132,158.157798,2.730034764,13.32725796,90.76,100.163,0.0,12.228008,0.188060995,205.382,182.47,50.325,0.001460693,0.0,4.951
South Korea,1997,Asia & Pacific,418.4087927,2.428295396,0.469701545,24.80204316,172.3055578,2.440989034,13.81041467,96.762,120.972,0.0,14.85898749,0.193428504,224.704,200.783,53.957,0.00178012,0.47,4.514
South Korea,1998,Asia & Pacific,361.0918185,2.29134617,0.428819749,28.3247644,157.5893784,2.828504422,14.69507269,79.445,113.963,0.0,13.89998776,0.187147518,217.889,193.47,55.905,0.002753696,0.391,4.361
South Korea,1999,Asia & Pacific,394.9374601,2.263443971,0.421363249,32.23409202,174.4851938,2.595335638,14.73773664,86.698,120.349,0.0,16.92601849,0.18616023,237.503,214.215,59.153,0.00463152,0.446,4.197
South Korea,2000,Asia & Pacific,446.530111,2.349002453,0.437374839,36.37663165,190.0935056,1.968455085,16.81185685,89.501,122.0,0.0,18.93198864,0.186195991,290.126,263.122,71.844,0.007582912,0.67,8.3
South Korea,2001,Asia & Pacific,464.0930926,2.399978604,0.434897288,37.25559166,193.3738458,1.954926389,17.59564743,89.272,119.208,0.0,20.87998273,0.181208819,310.958,281.572,77.839,0.00611015,0.572,7.634
South Korea,2002,Asia & Pacific,461.8407458,2.292354849,0.402845417,37.66122271,201.4700062,1.660831259,17.93299665,89.519,111.27,0.0,23.32298509,0.175734318,331.882,300.786,74.89196839,0.006628862,0.528,3.318
South Korea,2003,Asia & Pacific,464.8505024,2.258612176,0.393916285,41.05647983,205.8124487,2.063778998,18.59337524,90.006,110.594,0.0,24.30198412,0.174406341,345.192,318.062,79.61903161,0.009559897,0.499,3.298
South Korea,2004,Asia & Pacific,487.680051,2.298535661,0.393958789,42.15163949,212.1698867,1.678880493,19.53987312,88.339,116.117,0.0,28.64999736,0.171395552,368.162,337.938,80.92496885,0.015482315,0.437,3.191
South Korea,2005,Asia & Pacific,492.7395557,2.302957079,0.383017595,46.63766013,213.9595046,1.429928863,20.43556116,87.698,120.126,0.492000048,30.47701192,0.166315559,389.39,357.627,82.97403161,0.037237731,0.533,2.832
South Korea,2006,Asia & Pacific,495.8563306,2.276600917,0.36647122,47.81758234,217.805557,1.427896075,20.92271063,86.54,122.802,0.438000465,32.20398957,0.160972974,404.021,371.354,86.01596885,0.068560793,0.57,2.824
South Korea,2007,Asia & Pacific,517.0260543,2.280270073,0.362321986,47.10448054,226.7389554,1.396624512,21.23363535,89.435,123.003,0.353999693,34.85198818,0.15889433,427.316,392.656,93.128,0.106244559,0.58,2.886
South Korea,2008,Asia & Pacific,530.3191747,2.286158919,0.361412388,49.60342064,231.9695146,1.538654523,21.59520133,84.387,120.336,0.217000184,35.83098585,0.158087167,446.429,408.042,103.7160312,0.165983841,0.536,2.773
South Korea,2009,Asia & Pacific,542.2892054,2.31424518,0.366973586,49.39021458,234.3266003,1.653450795,21.894015,86.69,116.722,0.500999887,34.4129883,0.158571611,454.504,414.69,107.657,0.294826888,0.691,2.519
South Korea,2010,Asia & Pacific,593.8655748,2.323433193,0.377359654,50.52154197,255.5983002,1.796968217,22.50149498,89.321,120.06,0.540999672,43.16502451,0.162414678,499.508,458.473,120.0550628,0.357551831,0.697,2.084
South Korea,2011,Asia & Pacific,625.5949978,2.347332187,0.38340566,53.02718115,266.5131937,2.047064129,22.79083904,88.869,128.276,0.453000508,46.46002858,0.163336771,523.286,480.958,129.6249372,0.39653268,0.706,2.084
South Korea,2012,Asia & Pacific,630.8408142,2.332008512,0.377956377,53.29715879,270.5139415,2.015644816,22.64597826,92.142,131.897,0.436,50.22203816,0.162073326,534.618,492.568,128.0322445,0.450789162,0.717,2.094
South Korea,2013,Asia & Pacific,628.1581388,2.313634646,0.365756057,51.27522212,271.502737,2.377877328,22.56603558,92.336,127.094,0.463000448,52.55896074,0.158087215,541.996,498.162,126.044065,0.70424874,0.604,1.815
