country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Spain,1990,Europe,205.4938372,2.280856011,0.205500568,34.61267101,90.09505037,17.60694562,17.5540893,43.5,53.084,1.470998763,5.741999722,0.090098001,151.923,129.161,47.563,0.015139248,1.144,0.0
Spain,1991,Europe,214.2438472,2.292566029,0.208931468,34.35819303,93.45154927,18.52427135,17.24806795,45.838,55.079,1.376001391,6.444003029,0.09113433,155.801,132.075,47.72,0.016687955,1.422,0.0
Spain,1992,Europe,224.5717662,2.359190968,0.21698702,33.73395211,95.19016022,13.62382026,17.36246782,47.662,56.979,1.258998795,6.808992282,0.091975182,158.722,134.252,47.222,0.072453724,1.402,35.682
Spain,1993,Europe,210.7366926,2.308169211,0.205741421,32.94511649,91.30036551,16.89200393,17.73963008,45.309,54.492,0.678000088,6.703997581,0.089136195,156.802,134.101,44.527,0.082269359,1.102,33.562
Spain,1994,Europe,218.9457567,2.272610845,0.208780258,32.2515802,96.34106831,18.54213391,17.70097991,48.558,55.564,0.205999765,7.146008039,0.09186802,161.853,139.998,43.196,0.117390472,0.948,33.471
Spain,1995,Europe,231.5308695,2.297336435,0.2148564,31.51108141,100.7823086,15.48267401,17.41645903,51.957,55.782,0.43800004,8.918993401,0.093524134,167.09,145.537,43.395,0.17355916,0.783,31.583
Spain,1996,Europe,221.5907297,2.231545768,0.200303022,32.69655677,99.29920905,24.26873936,18.10024679,50.752,53.775,0.491999911,9.98199925,0.089759764,174.459,151.516,37.046,0.218962622,0.512,29.633
Spain,1997,Europe,240.8269296,2.281818483,0.209918831,31.69868262,105.5416684,20.07646978,18.49649915,53.116,56.68,0.187999891,13.06101016,0.091996288,190.402,163.44,40.967,0.399680676,0.371,28.305
Spain,1998,Europe,249.1984297,2.247692601,0.208075103,32.33681729,110.8685545,19.82982952,18.06265806,57.084,61.577,0.118000094,13.40901247,0.092572758,195.216,169.673,39.519,0.703835751,0.529,26.99
Spain,1999,Europe,270.3597137,2.325949774,0.216042913,30.6601116,116.2362647,14.32145481,18.86922314,59.152,60.703,0.150999965,15.3490162,0.092883739,208.247,181.652,43.398,1.329671016,0.299,26.49
Spain,2000,Europe,286.4753439,2.360492911,0.217510245,31.48743867,121.3625097,16.94718178,18.79992257,60.816,59.682,0.170999839,17.57798457,0.092146112,224.468,194.709,45.736,2.112105066,0.227,26.138
Spain,2001,Europe,286.7431251,2.302218497,0.209475017,33.40665776,124.5507868,22.14535071,19.13264626,63.004,57.652,0.544000079,18.94202121,0.09098833,236.036,207.297,41.613,2.87074853,0.338,24.299
Spain,2002,Europe,303.9427036,2.369417567,0.216137106,31.60586648,128.2773909,15.60148764,19.2947489,63.574,57.803,0.539000474,21.65700056,0.091219509,244.951,211.866,45.908,3.821172398,0.316,23.471
Spain,2003,Europe,310.3074355,2.338321533,0.214273722,32.93417281,132.7052038,22.69836521,19.41410648,65.319,57.855,0.226999802,24.54899585,0.091635696,260.706,224.266,42.48663232,4.639325524,0.322,22.678
Spain,2004,Europe,325.8097236,2.348309539,0.218165511,32.7900062,138.7422391,19.10634878,19.86135372,66.796,59.898,0.357999796,28.49396588,0.092903217,279.975,237.038,44.674,6.674524511,0.255,22.034
Spain,2005,Europe,339.7152706,2.39480109,0.219461984,30.59152477,141.8553182,15.94850451,20.30978538,67.549,60.721,0.167000135,33.63401172,0.091641007,294.084,248.469,43.898,8.915139892,0.166,20.562
Spain,2006,Europe,330.738338,2.340311142,0.205242202,31.36877853,141.3223789,18.70934348,21.19960381,66.249,61.261,0.072999975,36.08801228,0.087698682,299.46,254.04,38.816,7.931276297,0.139,20.487
Spain,2007,Europe,344.4581835,2.402701659,0.206319,30.3199579,143.3628608,20.16101803,21.07703613,66.663,59.724,0.017999995,36.78696901,0.085869588,305.059,257.643,41.489,9.31196916,0.142,19.481
Spain,2008,Europe,315.7315117,2.27804503,0.187449728,30.37790101,138.5975727,20.69206204,22.25931508,63.372,60.406,0.017000018,40.31900101,0.082285348,313.758,260.96,25.613,11.41994786,0.127,18.447
Spain,2009,Europe,280.5173737,2.201770911,0.173055585,30.38955252,127.405341,26.07799878,22.54269726,58.977,57.022,0.01400001,36.03203346,0.078598361,294.62,247.161,18.731,15.11166927,0.105,17.182
Spain,2010,Europe,266.9890169,2.100677757,0.164441672,34.26692003,127.0966078,33.49053319,22.68822401,57.482,57.432,0.050999958,35.82403061,0.078280294,301.527,250.169,14.511,17.11820169,0.123,10.187
Spain,2011,Europe,270.3435999,2.160608587,0.167874928,31.78499822,125.12382,30.57271301,23.38601375,53.664,56.512,0.05199997,33.25002409,0.077697982,293.847,248.835,24.694,17.86235694,0.1,9.445
Spain,2012,Europe,265.4876967,2.134423406,0.169887278,32.79816639,124.3838012,30.44068571,24.21304014,49.451,61.235,0.061000005,32.39702623,0.079593991,297.559,245.503,28.449,20.70681781,0.142,8.43
Spain,2013,Europe,238.2793195,2.056809703,0.154696975,33.89817063,115.8489865,40.46899671,24.18993293,46.751,60.322,0.056999953,29.62799524,0.075212099,285.631,235.181,21.149,24.06671545,0.368,6.621
Spain,2014,Europe,236.0035556,2.084839195,0.151128018,34.22779213,113.1998843,40.92197309,24.5660087,45.417,60.201,0.02400002,27.23100414,0.072489053,278.75,233.306,23.078,23.5644843,0.305,6.181
