country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Sweden,1990,Europe,52.57904013,1.113978441,0.187920205,29.68565603,47.19933364,51.17736189,31.7183746,14.669,18.044,0.0,0.615999354,0.168692856,146.514,130.737,4.878,0.004095172,0.0,0.592
Sweden,1991,Europe,52.79683326,1.08431251,0.190886116,31.42877276,48.69152829,44.46185785,32.0374423,14.643,17.96,0.0,0.63899944,0.176043451,147.396,132.335,4.906,0.008819778,0.0,0.746
Sweden,1992,Europe,53.29856357,1.14562137,0.194958893,29.45886721,46.52371628,52.50537671,29.83503334,15.844,20.703,0.0,0.72300075,0.170177424,146.465,130.053,4.577,0.021165466,0.0,0.746
Sweden,1993,Europe,52.51856172,1.129919803,0.196157617,29.30133837,46.479902,53.10674019,30.05104238,15.524,21.431,0.0,0.804999804,0.173603132,145.812,130.598,4.654,0.033604916,0.0,0.718
Sweden,1994,Europe,55.32282408,1.113077819,0.198737687,31.24240043,49.70256631,43.16931487,29.60683844,16.555,20.441,0.0,0.80700013,0.178547882,143.053,129.613,4.694,0.051030038,0.0,0.686
Sweden,1995,Europe,55.06683848,1.094543575,0.190212589,31.82271549,50.31032091,47.59927469,29.47315168,16.448,20.504,0.0,0.795999238,0.173782564,148.351,132.389,4.734,0.067407702,0.0,0.752
Sweden,1996,Europe,60.49786711,1.175266085,0.205651497,31.95737788,51.47588949,38.41691431,28.9678902,17.763,21.7,0.0,0.816000782,0.174982925,140.662,132.299,5.173,0.103083989,0.0,0.718
Sweden,1997,Europe,55.06834073,1.097311266,0.181567789,32.45166106,50.1847948,48.29245087,29.32863185,16.462,22.718,0.0,0.854999059,0.165466076,149.249,132.04,4.412,0.136684333,0.0,0.645
Sweden,1998,Europe,55.87433761,1.094595768,0.176696211,33.96167239,51.04563641,49.19568598,29.48178119,16.575,22.462,0.0,0.888999128,0.161425995,158.831,132.883,4.462,0.200212805,0.0,0.625
Sweden,1999,Europe,54.45319209,1.086532533,0.165084815,33.20903535,50.11648563,48.28167377,29.94905842,16.279,22.773,0.0,0.876000401,0.151937296,154.86,132.686,4.187,0.231822291,0.0,0.585
Sweden,2000,Europe,50.97740839,1.072570189,0.147364044,30.48706461,47.52827266,57.25703193,30.80906528,14.843,22.708,0.0,0.804999633,0.13739338,145.266,135.408,4.166,0.315283686,0.0,0.541
Sweden,2001,Europe,51.85606457,1.026867496,0.147735404,33.86513114,50.49927548,51.56821374,31.7415145,14.828,21.493,0.0,0.881999519,0.143869978,161.617,138.51,4.555,0.299473446,0.0,0.637
Sweden,2002,Europe,53.30910436,1.030356569,0.148611448,31.78362049,51.73850099,48.5092173,31.07807825,15.215,19.517,0.0,0.887999582,0.144233028,146.735,136.655,5.009,0.415715405,0.0,0.804
Sweden,2003,Europe,54.66842085,1.08060474,0.149055155,30.89651521,50.59058029,43.40689767,31.28176191,14.913,19.385,0.0,0.92600078,0.137936796,135.437,134.617,4.922,0.502816808,0.0,0.806
Sweden,2004,Europe,53.09540203,1.010277594,0.138763192,34.29960135,52.55526039,44.97291384,31.60214589,14.378,20.308,0.0,0.890999397,0.137351549,151.738,135.414,5.097,0.568084461,0.0,0.893
Sweden,2005,Europe,50.3971409,0.977231222,0.128004496,34.54349278,51.57135768,51.31568151,31.88897834,13.767,19.8,0.0,0.838999679,0.130986908,158.435,135.418,4.563,0.591409726,0.0,0.708
Sweden,2006,Europe,51.37801846,1.023430139,0.124754052,32.64124399,50.20178369,49.64648296,32.05024324,13.527,20.123,0.0,0.858000409,0.121897965,143.416,135.357,4.899,0.687510459,0.0,0.621
Sweden,2007,Europe,48.9163714,0.979630165,0.114836859,33.31092472,49.93350875,52.05879588,31.95992213,13.143,17.953,0.0,0.93000069,0.117224707,148.922,135.641,4.610585757,0.959562724,0.0,0.52
Sweden,2008,Europe,47.99321309,0.968520526,0.112943292,32.98156929,49.55311922,54.35289727,32.1099202,12.791,20.879,0.0,0.79700049,0.116614247,150.038,133.256,4.775800833,1.334328637,0.0,0.837
Sweden,2009,Europe,44.11789657,0.972049902,0.108416415,30.09645038,45.38645235,58.45979449,32.50724708,11.701,20.248,0.0,1.238998903,0.111533796,136.735,127.944,3.513510077,1.826891432,0.0,0.702
Sweden,2010,Europe,49.20721524,0.967228226,0.11387526,32.81382953,50.8744616,55.32824407,31.69606171,12.492,20.769,0.0,1.571999769,0.117733599,148.548,136.634,4.637985359,2.353448044,0.0,0.797
Sweden,2011,Europe,44.81784253,0.904031608,0.100645359,32.67778191,49.57552605,55.98883016,31.7665147,11.515,19.62,0.0,1.314999855,0.111329469,150.405,128.961,4.183278319,4.06768392,0.0,0.736
Sweden,2012,Europe,42.02155949,0.839083074,0.09496508,35.5853915,50.08033265,59.09846843,32.38758399,11.048,21.409,0.0,1.178001246,0.113177209,166.561,132.116,3.530678422,4.312534147,0.0,0.472
Sweden,2013,Europe,40.56261585,0.823268353,0.090681532,34.59013052,49.27022361,54.0740112,32.31860252,10.701,17.584,0.0,1.077000602,0.110148206,153.166,129.341,3.565697409,6.44855908,0.0,0.624
Sweden,2014,Europe,39.24044525,0.816536155,0.08538006,34.27982953,48.05720481,55.86901206,32.35990338,10.465,19.799,0.0,0.919999132,0.104563722,153.663,126.845,3.248284415,7.342040699,0.0,0.45
Sweden,2015,Europe,38.95830021,0.878187454,0.08117747,33.80781441,44.36216897,63.3037653,32.691853,10.189,21.367,0.0,0.964000308,0.09243752,162.112,129.275,3.176323945,10.12818298,0.0,0.369
Sweden,2016,Europe,39.03062649,0.817503444,0.079411936,34.75709504,47.7436845,57.20530735,32.6093819,10.348,21.211,0.0,0.921000655,0.097139574,156.01,132.057,3.140062471,10.01346068,0.003,0.424
Sweden,2017,Europe,39.05641306,0.796235121,0.077592975,35.99779206,49.05135683,57.8891933,32.19072718,10.209637,21.132,0.0,1.141000431,0.097449827,164.25,132.003,3.119479376,10.8608828,0.002,0.377
Sweden,2018,Europe,36.58645176,0.735611925,0.071103701,36.30087412,49.73607759,55.80966952,32.8709997,9.131632,21.649,0.0,1.223001359,0.096659255,163.4,131.859,3.225051895,10.42227662,0.001,0.535
Sweden,2019,Europe,36.07282437,0.738465485,0.069232474,36.80445317,48.84835528,58.511529,32.60167633,8.826891781,16.75536141,0.0,1.215067862,0.093751807,169.1077608,128.3168126,3.062210605,12.14440445,0.005,0.535
Sweden,2020,Europe,32.2022888,0.687893043,0.063649825,32.86651908,46.8129299,68.40278071,32.74191651,7.930607086,18.43099921,0.0,1.253523343,0.092528665,163.6837354,123.4699071,2.688657805,17.30028741,0.004,0.535
