country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Taiwan,1990,Asia & Pacific,112.395763,2.361196653,0.671507198,10.63247112,47.60118681,9.080427914,21.51324286,24.734,21.46,1.289998938,1.723998206,0.284392745,90.205,78.81,17.36476944,0.0,0.175,0.0
Taiwan,1991,Asia & Pacific,121.5902692,2.360169056,0.675418548,10.68804973,51.5176101,5.555611571,22.4025912,25.788,23.043,0.987000016,2.755000695,0.2861738,99.179,87.078,19.03577385,0.0,0.108,0.0
Taiwan,1992,Asia & Pacific,128.9307949,2.399333006,0.666304969,10.36262945,53.73609857,7.915284753,22.54146197,26.149,23.139,0.85499894,2.913000734,0.277704248,105.53,93.025,21.9248198,0.0,0.065,0.0
Taiwan,1993,Asia & Pacific,138.0991657,2.400037668,0.666910713,10.25791382,57.54041595,5.833080161,23.3068028,28.026,25.45,0.828,2.808003059,0.277875102,115.205,101.385,23.90437458,0.0,0.059,0.0
Taiwan,1994,Asia & Pacific,146.3257544,2.424636849,0.659743797,10.52251152,60.34955479,7.130363619,23.55644139,29.57,24.929,0.907999839,3.712997675,0.272100046,124.636,108.65,25.09276816,0.0,0.062,0.0
Taiwan,1995,Asia & Pacific,155.1573772,2.445258795,0.657335786,10.61858031,63.45233378,6.670172407,23.86678336,32.014,30.142,0.942000193,3.957000269,0.268820539,133.115,115.837,25.92503115,0.0,0.056,0.0
Taiwan,1996,Asia & Pacific,162.8436178,2.440159691,0.650221134,11.17346728,66.73482002,6.370674049,24.37141379,31.929,32.033,0.901000993,4.120997912,0.266466632,141.963,123.146,29.64703115,0.003325758,0.054,0.0
Taiwan,1997,Asia & Pacific,175.597936,2.488528179,0.657737406,10.9827608,70.5629687,6.661704998,25.08935461,32.426,32.623,0.859999141,4.689001419,0.264307799,150.487,131.766,33.912,0.002016556,0.046,0.0
Taiwan,1998,Asia & Pacific,186.0505566,2.466961643,0.666880191,11.31388833,75.41688262,6.857205888,25.77019044,33.41,33.901,0.878999079,5.848001941,0.270324508,163.186,142.544,36.91203115,0.001895196,0.049,0.0
Taiwan,1999,Asia & Pacific,194.5866962,2.477369766,0.659864859,11.70090376,78.54568133,5.70238327,26.08774851,35.094,35.911,0.855999893,5.729997728,0.266357033,169.473,149.186,38.828,0.000868018,0.042,0.0
Taiwan,2000,Asia & Pacific,212.3211972,2.500304639,0.688402739,11.79012393,84.91813115,5.354060585,27.07169664,36.089,36.816,0.746999012,6.230001772,0.275327545,185.392,163.759,45.88396885,0.000539398,0.033,0.0
Taiwan,2001,Asia & Pacific,220.7331072,2.552025722,0.724808422,11.23559586,86.49329246,5.497252167,25.28542508,38.259,38.478,0.849000663,6.891996892,0.284012977,189.24,166.526,49.445,0.006341154,0.037,0.0
