country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Thailand,1990,Asia & Pacific,80.92269856,1.918573418,0.207360361,26.81036061,42.178578,11.26403477,11.38580799,17.207,11.86,6.384006462,6.386996087,0.108080493,44.176,38.344,12.78,0.002263673,2.751,12.421
Thailand,1991,Asia & Pacific,90.07539634,1.966895091,0.212617344,29.8686723,45.7957299,9.140181329,12.14117669,18.342,12.527,7.899005663,7.903005558,0.108097959,50.185,43.399,15.063,0.001992627,3.18,14.689
Thailand,1992,Asia & Pacific,98.35173497,2.016813062,0.214790754,31.09180621,48.76591531,7.424077901,12.7109624,20.271,15.432,8.463005245,8.467008089,0.106500081,57.098,49.305,16.079,0.001751375,3.567,15.357
Thailand,1993,Asia & Pacific,111.1457149,2.16129389,0.224230245,30.43079459,51.42554439,5.840049206,13.40480315,23.414,18.333,9.494987238,9.500004121,0.103748151,63.407,56.279,16.822,0.001577113,3.677,15.546
Thailand,1994,Asia & Pacific,125.0481342,2.200385936,0.233597061,31.89666407,56.83009157,6.343341248,13.41314458,26.844,21.741,10.57000769,10.57501202,0.106161859,71.177,62.51,18.607,0.001404948,4.239,17.095
Thailand,1995,Asia & Pacific,141.0644069,2.27783666,0.243725246,33.19832351,61.92911431,8.742179988,13.78341823,29.947,24.243,11.1379947,11.14398525,0.106998561,80.083,71.225,20.901,0.001248704,4.105,18.421
Thailand,1996,Asia & Pacific,159.2839865,2.300231199,0.260480926,37.15671647,69.24694637,9.129360433,13.44684312,33.567,32.588,13.07701395,13.08399275,0.113241193,89.842,77.354,24.942,0.00222613,5.117,21.48
Thailand,1997,Asia & Pacific,163.2843475,2.314853,0.274583724,40.04077644,70.53767454,8.093235793,14.12706874,33.251,37.92,15.99002107,15.99901085,0.118618212,93.226,82.429,25.896,0.002145324,5.575,23.393
Thailand,1998,Asia & Pacific,148.5232319,2.245647319,0.270402833,39.69901065,66.1382714,6.105361347,15.14876064,29.705,35.067,17.44497931,17.47599945,0.120411977,90.052,80.434,22.205,0.002220939,5.838,20.163
Thailand,1999,Asia & Pacific,154.7184427,2.191194405,0.26936569,41.54864022,70.60918113,4.888992548,14.19689764,31.458,37.527,18.9870152,19.02700044,0.122930987,90.039,81.45,21.968,0.00222126,6.194,18.266
Thailand,2000,Asia & Pacific,155.4557893,2.150364403,0.259104556,43.95506311,72.29276539,6.811006804,14.94406218,30.514,37.595,19.99002613,22.21099715,0.120493324,95.977,87.932,21.765,0.002083833,7.684,17.708
Thailand,2001,Asia & Pacific,163.7247815,2.200716565,0.26380088,43.12846628,74.39612359,6.636399141,15.1496066,30.014,38.613,19.42201646,25.93801602,0.119870448,102.42,92.29,24.869,0.001952744,8.072,19.617
Thailand,2002,Asia & Pacific,175.3260636,2.13107007,0.266129419,45.98118579,82.27137442,7.484428463,14.6648818,33.959,41.903,20.55600433,28.01901334,0.124880652,109.013,100.173,25.136,0.001834644,9.192,19.602
Thailand,2003,Asia & Pacific,184.6625767,2.071996999,0.261501232,49.3284616,89.12299428,7.224981408,14.41650001,37.198,45.063,21.66400611,29.75101386,0.126207341,116.983,106.959,25.071,0.00170965,10.706,18.843
Thailand,2004,Asia & Pacific,201.5301747,2.09256218,0.268500704,51.27494931,96.30785484,5.823729191,14.30460164,41.136,49.434,22.39901855,31.17802536,0.128311936,125.727,115.044,28.084,0.001590748,10.532,20.06
Thailand,2005,Asia & Pacific,207.7713916,2.094819995,0.265689311,55.19742479,99.18341054,5.544755176,14.91201691,40.514,48.553,23.65198254,33.15695912,0.126831571,132.197,121.229,29.614,0.001512894,12.502,20.878
Thailand,2006,Asia & Pacific,209.7866106,2.075858203,0.255569794,57.35107388,101.0601833,6.917155584,15.34615439,40.449,50.009,24.33901351,34.13102611,0.123115246,138.742,127.811,30.008,0.002162287,14.053,19.001
Thailand,2007,Asia & Pacific,217.5831858,2.065454417,0.251403838,60.4974716,105.3439786,6.91389195,15.72031481,39.909,49.916,25.97598134,36.21399663,0.121718415,143.378,133.178,32.165,0.002092371,14.769,18.239
Thailand,2008,Asia & Pacific,223.505281,2.067127945,0.253865574,65.51261325,108.1235835,6.597886397,15.67695458,37.661,50.451,29.43902406,39.58195611,0.12281077,147.426,135.45,34.428,0.002713226,15.825,17.982
Thailand,2009,Asia & Pacific,218.2077928,2.025638107,0.249572371,64.63367555,107.7229896,6.897179131,14.81417334,39.659,52.913,27.42497926,36.98404499,0.123206791,148.394,135.209,33.355,0.007412699,16.137,17.786
Thailand,2010,Asia & Pacific,235.4252825,1.997452673,0.250447085,70.59220139,117.8627587,5.60988453,15.12255368,42.201,54.468,31.6069623,42.13494815,0.125383239,159.522,149.32,35.689,0.013791201,16.858,18.344
Thailand,2011,Asia & Pacific,235.0371274,1.9978478,0.247951471,68.68725221,117.6451616,8.047900199,14.92026682,43.586,54.18,28.12703664,39.37298055,0.12410929,155.991,148.7,36.883,0.064747325,17.217,21.327
Thailand,2012,Asia & Pacific,252.0441677,1.996371569,0.247935538,75.4633834,126.2511306,8.277625089,15.14299116,46.376,57.448,33.49702438,44.98694926,0.124193082,166.642,161.749,36.216,0.381056396,18.825,18.069
Thailand,2013,Asia & Pacific,263.8694767,1.936538111,0.252775054,78.75791196,136.2583443,8.132919576,14.73198816,49.912,61.173,36.28300518,48.38096703,0.130529346,170.148,164.322,37.673,0.81458495,19.176,17.591
Thailand,2014,Asia & Pacific,259.6103465,1.914615848,0.246270676,79.4183527,135.593961,8.358924643,15.02356644,49.905,58.678,37.04903079,48.35399494,0.128626678,172.259,168.788,36.122,0.981661336,18.695,18.042
Thailand,2015,Asia & Pacific,263.576654,1.934787143,0.242435502,75.76956835,136.2303109,7.879289243,15.26908412,49.656,63.111,32.96901574,48.0979896,0.125303449,176.488,174.053,35.929,1.534381941,19.469,15.151
Thailand,2016,Asia & Pacific,259.9228859,1.865128591,0.231310875,79.18869167,139.3592309,13.49158109,16.37682082,51.137,62.654,32.33303294,47.16898653,0.124018728,187.554,184.96,34.582,1.985028312,19.946,16.979
Thailand,2017,Asia & Pacific,259.7843224,1.874164173,0.222244264,75.23434964,138.6134289,14.19230811,16.12925655,51.315517,64.091938,30.19464996,44.52056075,0.118583136,181.713903,185.368999,35.759001,3.110934225,19.403894,16.259
Thailand,2018,Asia & Pacific,258.2806379,1.901775533,0.212195824,73.29542505,135.8102644,16.49585218,16.14207508,52.035585,65.259439,29.22785619,45.65949648,0.111577744,182.297869,188.048,33.854999,3.389726953,18.939819,14.852
Thailand,2019,Asia & Pacific,259.4933465,1.900646258,0.208286991,74.17547947,136.5290071,16.43731868,16.34963841,52.80759878,58.56126189,29.78595334,46.42682687,0.109587458,191.9310533,194.2458967,33.70077807,4.594275254,18.68393345,14.078
Thailand,2020,Asia & Pacific,257.7943411,2.055985447,0.22154524,64.38501237,125.3872402,15.44948779,17.85502685,45.77678414,54.56456712,25.55020598,42.48125419,0.10775623,181.1439495,187.6866149,34.756173,4.422624681,16.77694285,13.01
