country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Turkey,1990,Europe,132.5291108,2.57612071,0.196126221,24.83429702,51.44522548,40.36633474,9.30001817,22.432,22.884,0.211999927,3.467999227,0.076132388,57.543,46.82,54.451,0.139026467,3.712,47.428
Turkey,1991,Europe,134.1669879,2.652667786,0.197130183,24.62379171,50.57813445,37.84815589,9.570004696,21.807,22.49,0.202999961,4.237001373,0.074313936,60.246,49.283,57.877,0.13444876,4.364,46.108
Turkey,1992,Europe,140.0982759,2.651019618,0.195976312,25.7228989,52.84694046,39.62608773,10.22393565,23.09,23.118,0.197999896,4.633994778,0.073924882,67.342,53.985,59.828,0.103947017,4.276,51.431
Turkey,1993,Europe,145.6167756,2.584148964,0.189218268,25.71196761,56.34999283,46.18063083,10.43697359,26.49,25.568,0.2,5.15,0.073222663,73.808,59.237,54.862,0.105679601,3.892,48.56
Turkey,1994,Europe,143.9996283,2.58701419,0.196279521,25.85157892,55.66248102,39.21808966,11.41706303,25.256,24.849,0.199000039,5.492997477,0.075871065,78.321,61.401,59.493,0.100866945,3.696,54.371
Turkey,1995,Europe,157.8635511,2.592145158,0.199462623,26.06624917,60.90073721,41.56550373,11.40795612,28.289,27.14,0.18199999,7.029007833,0.076948863,86.247,67.394,61.089,0.099713613,3.516,55.073
Turkey,1996,Europe,173.6392957,2.6117855,0.204317531,26.93027526,66.4829848,42.94132529,11.53139025,29.598,26.249,0.205999843,8.214002295,0.078229062,94.862,74.157,66.479,0.088549683,3.5,56.363
Turkey,1997,Europe,182.6125224,2.617842131,0.199740468,27.66802669,69.75688878,38.9105096,12.453023,29.02,26.502,0.252999757,9.799996969,0.076299661,103.296,81.885,72.661,0.080351611,3.449,59.929
Turkey,1998,Europe,183.540041,2.591867061,0.196225675,28.57028362,70.81383291,38.33474447,13.45011412,28.687,27.346,0.565000666,10.35100756,0.075708233,111.022,87.704,78.256,0.081065014,3.223,67.383
Turkey,1999,Europe,181.9628101,2.608583823,0.201364281,27.1442883,69.75540081,29.98282377,14.4491937,28.354,25.653,0.730999802,12.52798457,0.07719295,116.44,91.202,75.898,0.087598763,2.941,67.038
Turkey,2000,Europe,202.8471791,2.659462869,0.2104982,26.38777192,76.27373988,24.93876179,13.95646119,29.737,23.745,0.638999491,14.83499926,0.079150645,124.922,98.296,80.555,0.124077424,2.762,63.268
Turkey,2001,Europe,183.5829836,2.613468206,0.202586215,24.54725487,70.24496533,19.83784885,15.37798096,27.84,25.374,0.311999854,15.94400701,0.077516235,122.725,97.068,72.809,0.158077001,2.52,62.097
Turkey,2002,Europe,193.6764132,2.609093688,0.200811694,24.28772203,74.2312988,26.2488408,14.98212042,29.268,26.037,0.378000413,17.5879923,0.076966073,129.4,102.948,66.426,0.149149923,2.42,53.984
