country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Ukraine,1990,Europe,690.217491,2.738466159,0.943746896,135.7980389,252.0452877,3.588267773,11.01745837,66.852,61.648,27.8859906,113.3430415,0.344626094,298.835,229.737,149.853,0.0,5.252,159.213
Ukraine,1991,Europe,654.8500018,2.59490158,0.977611728,118.6186632,252.3602462,4.279414245,10.94524938,64.321,53.996,23.35198939,115.0519894,0.376743278,278.683,223.894,132.574,0.0,4.933,135.23
Ukraine,1992,Europe,564.6407349,2.571711408,0.933478263,111.6919747,219.5583583,3.20365589,11.87401757,39.269,37.201,20.88198939,106.2940053,0.3629794,252.524,207.964,129.105,0.0,4.474,126.375
Ukraine,1993,Europe,502.6225777,2.583139811,0.968765968,100.3562613,194.5781547,4.887649735,12.58693576,28.436,23.034,19.2,99.25198939,0.375034276,229.906,182.298,116.648,0.0,4.248,108.717
Ukraine,1994,Europe,416.1471048,2.510067674,1.040785413,87.42339482,165.7911893,6.074747933,12.69639665,24.624,20.04,18.3,88.25501326,0.414644364,202.922,158.029,91.992,0.0,4.198,88.598
Ukraine,1995,Europe,415.0638088,2.535257293,1.182319005,81.61512372,163.7166413,5.231473368,12.30441771,25.476,17.155,18.16099436,81.64700154,0.466350697,194.018,148.878,91.475,0.0,4.09,77.875
Ukraine,1996,Europe,350.2649465,2.335247807,1.108597693,73.65998988,149.990483,4.827145246,11.61540902,15.593,13.681,18.4079959,88.81099436,0.474723792,182.986,134.039,68.418,0.0,4.098,57.989
Ukraine,1997,Europe,334.746079,2.33248606,1.092247498,74.74478986,143.5147179,5.635891732,11.70523825,18.028,13.467,18.13100974,79.0829062,0.46827611,178.002,128.952,65.643,0.0,4.133,59.345
Ukraine,1998,Europe,317.6632432,2.340687284,1.056582755,74.58099959,135.7136622,9.210632906,12.19378924,16.542,13.797,17.96699129,70.92700941,0.451398511,172.822,122.335,66.49,0.00173589,3.903,60.215
Ukraine,1999,Europe,314.8917521,2.331147145,1.049463399,75.54861568,135.0801698,8.426098071,11.88653609,12.299,11.652,18.0920041,76.94102029,0.45019183,172.12,117.819,65.858,0.00174297,3.798,63.464
