country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
United Arab Emirates,1990,Middle east,52.12365941,2.556531921,0.25932364,110.2026743,20.38842503,0.0,7.620028452,6.326,10.316,20.11,16.91,0.101435714,17.08,14.347,0.0,0.0,91.693,0.0
United Arab Emirates,1991,Middle east,59.44309879,2.534064336,0.293217128,127.291886,23.45761232,0.0,6.523097239,6.537,11.152,23.81,20.36,0.115710215,17.351,14.575,0.0,0.0,105.433,0.0
United Arab Emirates,1992,Middle east,56.89860196,2.547207873,0.271581543,133.9663195,22.33763587,0.0,7.565639992,6.8,12.113,22.17,18.75,0.106619309,18.689,15.699,0.0,0.0,113.34,0.0
United Arab Emirates,1993,Middle east,60.356952,2.569101064,0.284500429,131.2913117,23.49341287,0.0,8.514961478,7.268,12.23,22.99,19.64,0.11073929,21.73,18.253,0.0,0.0,110.037,0.0
United Arab Emirates,1994,Middle east,66.34052903,2.549072798,0.292531406,133.5706587,26.02535678,0.0,8.450376907,7.114,12.026,26.86,22.70702834,0.114759926,23.736,19.938,0.0,0.0,109.089,0.0
United Arab Emirates,1995,Middle east,70.54307476,2.550373774,0.291563289,137.0368717,27.65989655,0.0,8.512613346,7.17,11.882,31.32,24.77698889,0.114321788,24.982,21.485,0.0,0.0,108.821,0.0
United Arab Emirates,1996,Middle east,73.66401221,2.520763725,0.287776091,140.0230155,29.22289442,0.0,8.61201306,6.709,13.911,33.8,27.13697074,0.114162263,26.572,22.852,0.0,0.0,109.712,0.0
United Arab Emirates,1997,Middle east,77.58966964,2.516915397,0.280165414,147.2518837,30.82728555,0.0,9.138229905,6.806,13.285,36.31,28.98703084,0.111313004,28.4,25.5,0.0,0.0,114.746,0.0
United Arab Emirates,1998,Middle east,79.39482974,2.516860375,0.285848931,150.5050515,31.54518642,0.0,10.82054681,6.919,14.28,36.55,29.90702612,0.113573615,33.392,30.633,0.0,0.0,117.744,0.0
United Arab Emirates,1999,Middle east,81.74292142,2.536658018,0.286002473,142.3358971,32.22465183,0.0,12.49286354,7.0,17.952,37.54,30.90798603,0.112747746,37.126,35.766,0.0,0.0,108.904,0.0
United Arab Emirates,2000,Middle east,80.93406462,2.571556939,0.255449286,153.8884632,31.47278732,0.0,14.08305554,7.382,21.041,36.83,29.88,0.09933643,39.944,37.866,0.0,0.0,120.837,0.0
United Arab Emirates,2001,Middle east,93.86665496,2.34663189,0.292180109,155.1671084,40.0005878,0.0,12.17418108,7.833,28.208,42.74,35.66,0.124510414,43.172,38.406,0.03,0.0,117.226,0.0
United Arab Emirates,2002,Middle east,95.69343147,2.42864996,0.290790092,148.2724946,39.40190354,0.0,13.31554406,8.385,26.918,42.54,35.58496304,0.119733225,46.856,40.821,0.153,0.0,110.618,0.0
United Arab Emirates,2003,Middle east,100.0465651,2.598638677,0.279427152,162.3086747,38.49960598,0.0,13.98422704,9.05,26.009,43.56,36.64496576,0.107528282,49.45,43.066,0.18,0.0,123.566,0.0
