country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
United Kingdom,1990,Europe,556.1623836,2.70027986,0.33819176,208.0091355,205.9647194,2.437315669,16.75639736,73.429,88.736,49.67194124,58.31194145,0.125243226,319.737,284.416,106.681,0.002814813,91.602,92.762
United Kingdom,1991,Europe,564.0565994,2.647327924,0.346764529,214.7452055,213.0663883,2.120325203,16.58749319,74.341,92.175,56.78306036,62.79693314,0.130986617,322.875,290.842,106.0919684,0.003406891,91.261,94.922
United Kingdom,1992,Europe,557.5761126,2.622406026,0.341513423,214.9682766,212.6200547,2.52364948,16.81715461,73.998,92.641,55.62704516,62.06396879,0.130229041,321.043,291.453,100.0572983,0.01245939,94.395,84.493
United Kingdom,1993,Europe,541.347136,2.5198699,0.323402951,223.4111524,214.8313832,2.214470972,16.86245077,73.721,96.796,65.51395563,68.57906665,0.12834113,323.102,295.746,87.34147615,0.067470953,100.233,68.199
United Kingdom,1994,Europe,532.9007441,2.462629559,0.306422031,244.619609,216.3950084,2.578356872,16.71876863,73.124,94.079,69.65203804,71.23791262,0.124428796,326.487,291.782,82.116033,0.104751491,127.077,49.785
United Kingdom,1995,Europe,523.5000468,2.414922492,0.290636188,257.5318731,216.777163,2.521546756,17.38590536,71.646,93.798,75.53908064,75.1789247,0.12035011,334.041,303.805,77.21370325,0.1170515,130.456,53.037
United Kingdom,1996,Europe,544.6467874,2.410611984,0.295025748,268.936258,225.9371442,2.063733188,17.3324844,73.522,97.709,90.0,87.59695965,0.122386245,350.869,319.778,72.15868011,0.139083248,130.141,50.197
United Kingdom,1997,Europe,519.795171,2.369871664,0.271113108,268.2741844,219.334734,2.404567309,17.94547726,71.553,98.053,91.60491657,88.71196101,0.114399911,350.666,321.066,63.51957617,0.190209487,128.368,48.495
United Kingdom,1998,Europe,525.9506349,2.375112216,0.264676582,271.8953759,221.442436,2.832344921,18.1069977,69.736,94.436,95.54906625,92.33005226,0.111437506,362.703,325.35,63.59863401,0.241795629,132.498,41.177
United Kingdom,1999,Europe,523.0882725,2.35600139,0.254510938,281.5783641,222.0237538,3.400225994,18.22189114,70.178,87.863,105.1148676,98.04801618,0.10802665,368.152,332.054,56.50873746,0.231154523,137.228,37.077
United Kingdom,2000,Europe,531.5780838,2.384436881,0.250046419,272.4685814,222.9365298,3.358536501,18.61981509,67.847,87.653,115.3860333,101.812046,0.104866026,377.069,340.297,60.09738632,0.251412871,126.375,31.198
United Kingdom,2001,Europe,544.0556511,2.431376806,0.248523683,262.3673049,223.7644325,3.111047584,18.75421335,67.199,84.079,111.2769884,101.3368885,0.102215207,384.79,342.505,63.85542911,0.251305907,116.805,31.93
United Kingdom,2002,Europe,528.9977301,2.397881964,0.236156153,259.3283944,220.6104129,3.558194124,19.19131478,67.105,84.975,109.2111017,100.0431156,0.098485312,387.247,344.109,59.01329817,0.325115495,116.069,29.989
United Kingdom,2003,Europe,543.4134847,2.420923563,0.234872852,247.4412246,224.4653623,3.353105741,19.07661545,67.913,84.742,108.5201134,100.5180661,0.097017872,398.198,346.616,63.74199413,0.323457175,106.193,28.279
United Kingdom,2004,Europe,543.5280878,2.451129647,0.229474766,225.5536803,221.7459564,4.261195602,19.16530578,68.775,91.322,101.654952,102.7468896,0.093620003,393.927,347.721,61.32652635,0.492223178,95.491,25.096
United Kingdom,2005,Europe,542.2795252,2.433946394,0.221892063,205.3162569,222.798467,4.987498619,19.91478849,69.028,87.09,92.804981,99.91796748,0.091165551,398.356,357.195,62.49503636,0.731004428,84.722,20.498
United Kingdom,2006,Europe,543.2368963,2.479935077,0.216253942,186.8775028,219.0528701,5.527294145,20.06431991,68.083,84.162,83.8889348,94.73904523,0.087201453,397.283,353.863,68.22799284,1.066242452,76.578,18.517
United Kingdom,2007,Europe,532.2737424,2.520957408,0.206861799,176.1858143,211.1395221,5.934027165,20.36889346,65.615,82.368,76.0740054,96.06588649,0.08205684,396.83,351.449,63.82066381,1.332560542,76.575,17.007
