country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
United States,1990,North America,4866.191612,2.547814627,0.495842841,1647.379385,1909.947279,11.96316683,17.41204304,732.070223,754.587,506.6040237,534.0391559,0.19461496,3218.621,2712.555,819.284,0.61343041,413.344,933.561
United States,1991,North America,4813.40725,2.499991829,0.490995902,1636.882105,1925.369193,11.32814789,18.2942341,715.8196108,748.461,503.1795316,535.5711791,0.196399003,3275.84,2854.26,815.864,0.613583081,412.898,903.542
United States,1992,North America,4891.181156,2.490696252,0.481952788,1642.04493,1963.78067,10.47756243,18.08588735,728.9223663,757.387,507.2059157,549.8613371,0.19350123,3291.109,2865.559,825.695,0.633038894,407.476,904.969
United States,1993,North America,5015.042772,2.509737592,0.48091856,1591.775843,1998.233914,11.00284937,18.48609289,738.1441166,772.06,514.3530193,574.2419286,0.191621053,3411.28,2963.142,856.313,0.636945663,396.036,857.698
United States,1994,North America,5095.421146,2.502965261,0.469702887,1652.057793,2035.753842,10.30861381,18.59126744,759.0817442,777.978,534.6175734,586.3703491,0.187658572,3473.435,3047.324,862.457,0.627332885,387.086,937.58
United States,1995,North America,5149.391919,2.496543561,0.46226935,1654.507712,2062.60848,11.39223933,18.86909877,753.244,781.051,528.2752277,609.31413,0.185163743,3582.114,3135.807,871.751,0.52943597,383.262,937.098
United States,1996,North America,5317.304348,2.522172033,0.459989995,1673.24333,2108.224292,12.201314,18.77579151,779.425,802.148,533.6654587,622.0299584,0.182378517,3677.022,3221.305,912.817,0.545604568,382.489,965.114
United States,1997,North America,5583.432826,2.621719195,0.462446283,1670.570149,2129.683773,11.59192888,18.84094219,826.809,819.393,536.6686631,643.8180081,0.176390471,3697.728,3270.628,937.437,0.515397563,380.852,988.769
United States,1998,North America,5619.949889,2.616688937,0.445505865,1683.380021,2147.733271,10.22177586,19.47693578,854.362,832.476,535.7114934,629.8949917,0.170255569,3830.489,3373.86,944.018,0.503251674,369.785,1013.81
United States,1999,North America,5653.420728,2.562733881,0.427823702,1665.268823,2206.011623,9.626331424,19.54436472,871.531,833.662,534.5458607,634.3930018,0.166940354,3897.518,3459.621,947.212,0.544141169,354.176,996.102
United States,2000,North America,5817.094292,2.564230274,0.422760364,1662.458756,2268.553784,8.812616482,19.55430608,865.998,848.818,544.3347156,661.2615469,0.16486833,4052.667,3589.779,982.804,0.517683787,353.002,971.591
United States,2001,North America,5795.679144,2.603712803,0.417040521,1683.836631,2225.928734,7.422489339,19.65726592,880.264,844.188,556.4721099,629.9562184,0.160171476,3865.307,3554.396,961.748,0.564948657,349.879,1021.417
United States,2002,North America,5650.421771,2.504407976,0.399627915,1656.04925,2256.190615,9.203825115,20.19568987,843.88,837.35,536.3942329,651.1444856,0.159569814,4051.12,3631.904,970.257,0.656657912,348.062,992.717
United States,2003,North America,5707.884202,2.523915628,0.392462777,1634.578508,2261.519418,9.494620463,20.13511485,859.615,851.226,541.2216731,630.6998792,0.155497582,4081.764,3662.327,995.129,0.689824301,338.43,972.278
United States,2004,North America,5787.054153,2.507225258,0.383343542,1645.923095,2308.150867,9.216198116,20.02861997,888.491,869.869,526.8043834,633.9043709,0.152895533,4174.856,3716.318,1005.558,0.753247537,325.916,1019.129
United States,2005,North America,5802.541717,2.501555999,0.371324054,1631.750867,2319.572986,9.120923032,20.63196216,886.863,865.279,511.4855338,623.1717483,0.148437235,4294.368,3811.487,1018.202969,0.84822726,309.989,1038.591
