country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Uzbekistan,1990,Asia & Pacific,119.2441322,2.516079164,1.632822979,38.65524807,47.39283801,11.80292943,10.26749568,10.956,7.89,40.72898624,40.0919889,0.648955328,56.325,45.62,8.94,0.0,2.8,6.4
Uzbekistan,1991,Asia & Pacific,120.0706752,2.499265821,1.652270092,39.64681454,48.04237879,11.13449645,10.22136869,10.405,7.677,41.82695674,41.17299424,0.661102184,54.165,45.578,9.29,0.0,2.832,6.75
Uzbekistan,1992,Asia & Pacific,111.5267727,2.473220968,1.728264694,40.77172458,45.09373574,12.33721593,10.79547909,8.287,6.447,43.14395075,41.43601741,0.698791057,50.911,42.704,6.712,0.0,3.293,5.531
Uzbekistan,1993,Asia & Pacific,111.9947794,2.390255815,1.776373714,42.92405139,46.85472522,14.97080307,10.42176287,7.316,6.273,45.26100934,43.9720319,0.743173054,49.149,41.582,5.193,0.0,3.944,4.657
Uzbekistan,1994,Asia & Pacific,108.8319733,2.349354956,1.820894254,46.22043383,46.32419337,14.9707113,9.645874249,6.374,5.726,47.41803627,44.60202014,0.775061363,47.8,40.434,5.238,0.0,5.5,4.65
Uzbekistan,1995,Asia & Pacific,99.73058162,2.325296236,1.683770589,48.91756684,42.88940913,13.04027143,10.03782649,6.54,6.631,48.62601283,42.00100293,0.724110142,47.453,39.211,3.04,0.0,7.663,3.054
Uzbekistan,1996,Asia & Pacific,101.0168677,2.278221566,1.676978568,49.34557307,44.34022976,14.3662344,10.34916704,6.395,6.591,48.98698831,43.59500119,0.736091078,45.419,39.788,3.409,0.0,7.843,2.837
Uzbekistan,1997,Asia & Pacific,103.0898108,2.286217815,1.626797953,51.5614997,45.09185876,12.54397012,10.16100178,6.918,6.861,51.24500515,44.26604028,0.71156735,46.054,40.293,2.8,0.0,8.245,2.947
Uzbekistan,1998,Asia & Pacific,113.0261721,2.391174386,1.710064872,54.67981184,47.26805906,12.61129857,9.566447665,6.706,7.39,54.78999182,48.51006102,0.715156904,45.935,40.137,2.938,0.0,8.469,2.952
Uzbekistan,1999,Asia & Pacific,114.3720031,2.303249983,1.659086331,55.31861454,49.65679105,15.55839633,9.34342806,6.584,7.136,55.58101296,49.55198433,0.720324039,45.371,40.529,2.905,0.0,8.355,2.955
Uzbekistan,2000,Asia & Pacific,121.1323947,2.379730831,1.692254952,54.90092659,50.90172095,7.528487901,9.265966986,6.657,7.19,56.40098709,52.88797335,0.711111916,46.862,41.905,3.146,0.0,7.734,2.501
Uzbekistan,2001,Asia & Pacific,121.9406362,2.380269818,1.635448876,55.55101528,51.22975357,9.082758189,8.401395031,6.625,6.871,57.41399879,53.68099892,0.687085499,47.959,38.289,2.738,0.0,7.416,2.711
Uzbekistan,2002,Asia & Pacific,124.5826839,2.350344457,1.607028521,57.57971025,53.00613856,12.19507258,8.197884393,6.517,6.812,59.68800971,55.20498088,0.683741703,49.397,38.349,2.895,0.0,7.442,2.736
Uzbekistan,2003,Asia & Pacific,117.4003987,2.289645435,1.452886834,56.08978237,51.27448855,16.75967338,8.358377171,5.858,6.22,58.06206072,52.95304405,0.634546647,48.742,37.321,2.205,0.0,7.382,1.913
