country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Venezuela,1990,South/Latin America,93.59039095,2.362993262,0.305407314,144.8438182,39.60671088,62.34385799,14.88108275,17.714,50.537,17.55601471,16.77298404,0.129245952,59.321,47.148,0.646,0.0,115.187,2.189
Venezuela,1991,South/Latin America,93.08503506,2.250169378,0.276823594,160.5097252,41.36801255,70.32540221,14.98495447,17.431,54.014,18.02901829,17.6029825,0.123023448,63.337,50.448,0.0,0.0,129.152,2.175
Venezuela,1992,South/Latin America,95.05250295,2.054264998,0.266522104,161.6830911,46.27080879,70.09341637,15.83618752,18.616,48.393,17.95000056,17.79098222,0.129740858,67.44,54.048,0.005,0.0,130.071,2.45
Venezuela,1993,South/Latin America,100.6117264,2.33457147,0.281335104,170.6566658,43.09644307,68.42985212,15.65362643,19.173,50.539,18.76200155,18.62601904,0.120508242,69.382,55.511,0.039,0.0,137.065,3.815
Venezuela,1994,South/Latin America,100.6282374,2.014600756,0.288151413,177.8841529,49.94946868,72.00685191,15.5794456,18.661,52.006,19.7920009,19.46999707,0.143031522,71.221,55.927,0.076,0.0,142.535,4.278
Venezuela,1995,South/Latin America,106.8643636,2.280538004,0.294375968,192.4673883,46.85927771,70.05146638,14.88406283,20.153,53.586,21.1310122,21.1310122,0.129081807,73.446,57.454,0.007,0.0,155.739,4.064
Venezuela,1996,South/Latin America,114.9023477,2.300834883,0.317145386,217.1387934,49.93941484,71.23749802,14.52947532,20.225,56.171,23.79402109,24.42202653,0.137839264,75.588,58.679,0.022,0.0,176.552,3.639
Venezuela,1997,South/Latin America,119.5134585,2.403171898,0.31011541,229.1779174,49.73154795,73.35938,15.15937624,21.754,58.035,24.27501436,24.48397382,0.129044206,78.065,60.085,0.047,0.0,186.129,5.146
Venezuela,1998,South/Latin America,115.951483,2.214572938,0.299990602,226.663301,52.35839425,71.59649947,15.26045331,20.004,57.808,25.03998342,25.21897646,0.135462055,80.902,61.167,0.049,0.0,181.456,7.456
Venezuela,1999,South/Latin America,115.5795368,2.001654673,0.318015268,209.8638355,57.74199634,75.16465525,15.37251286,23.245,62.51,21.95300178,22.13199342,0.15887619,80.623,60.345,0.05,0.0,172.101,6.979
Venezuela,2000,South/Latin America,122.5649916,2.089631868,0.325244069,219.3115614,58.6538679,73.74840215,15.85922101,24.749,65.623,22.90497897,23.08400517,0.155646587,85.271,63.21,0.181,0.0,179.242,7.885
Venezuela,2001,South/Latin America,127.8129867,2.338059596,0.328036071,227.5306098,54.66626553,67.06798788,15.94236368,27.331,64.954,21.3960112,21.61201281,0.140302699,90.119,65.71,0.067,0.0,186.85,7.585
Venezuela,2002,South/Latin America,134.6239696,1.998119036,0.379087309,209.8814215,67.37535013,64.81513739,15.37335316,28.918,62.711,25.5180067,22.06500822,0.189722085,91.852,67.062,0.025,0.0,166.848,7.369
Venezuela,2003,South/Latin America,129.4271831,2.055181068,0.395094451,197.8320949,62.97604876,65.83572609,16.13643178,25.532,53.871,23.7379903,23.45997418,0.192243135,91.944,66.47,0.059,0.0,157.391,6.807
Venezuela,2004,South/Latin America,133.9776332,2.206582777,0.345757937,218.5911632,60.71724776,71.10459453,16.43618667,27.377,66.294,23.40698463,23.08700364,0.156693844,98.552,71.628,0.0,0.0,175.481,6.748
Venezuela,2005,South/Latin America,142.1173769,2.237123968,0.332461224,224.061526,63.52682235,73.28342063,15.07555726,30.141,58.336,20.30300162,23.92398931,0.148610997,105.384,73.101,0.051,0.0,182.196,7.195
Venezuela,2006,South/Latin America,140.2033185,2.168111246,0.298513853,223.4307891,64.66610915,73.89831736,16.77696706,30.124,62.773,20.94701715,23.24000406,0.137683827,110.422,77.367,0.339,0.0,180.132,6.983
Venezuela,2007,South/Latin America,136.0231484,2.057058105,0.266302634,218.4514573,66.12508808,72.72225822,17.52269115,30.929,60.137,21.32601167,21.59298516,0.129458003,114.214,78.17,0.19,0.0,174.259,6.097
Venezuela,2008,South/Latin America,143.483545,2.188356835,0.266825735,222.9887622,65.56679545,72.79395123,17.75291174,30.866,63.404,19.41601136,21.81001287,0.121929719,119.297,79.94,0.193,0.0,180.696,4.922
Venezuela,2009,South/Latin America,144.6850593,2.289264322,0.277961263,204.354767,63.20155253,71.88660311,18.22453705,31.088,61.855,18.57899006,21.29698731,0.121419471,119.58,82.738,0.325,0.0,166.165,3.282
Venezuela,2010,South/Latin America,156.6603808,2.079272631,0.305516112,201.183412,75.34383823,67.49057284,16.52519099,34.839,56.977,22.01202121,23.45599656,0.146934129,113.767,83.51,0.273,0.001757979,164.577,2.73
Venezuela,2011,South/Latin America,150.8712245,2.243195925,0.282430702,202.9803223,67.25726579,70.93071556,17.02566402,34.534,59.806,22.17100877,21.29197792,0.125905499,117.963,86.715,0.281,0.001695447,165.66,2.1
Venezuela,2012,South/Latin America,162.3695907,2.361587455,0.287766033,199.1236277,68.75442631,67.42051328,16.36522885,37.511,56.529,23.34498069,22.86097406,0.121852795,121.687,89.663,0.289,0.027940536,161.526,1.2
Venezuela,2013,South/Latin America,159.2643995,2.091903363,0.278521921,198.9163017,76.13372696,67.85409989,18.38608665,36.998,54.524,22.49802442,22.53602377,0.133142824,123.235,99.018,0.288,0.060859334,161.377,0.947
Venezuela,2014,South/Latin America,156.8801237,2.375591278,0.285469584,191.3592271,66.03834809,62.30000097,14.98808626,36.126,55.248,22.57699042,22.27700157,0.120167803,103.313,74.197,0.27,0.073562862,155.351,1.2
Venezuela,2015,South/Latin America,142.0094592,2.208584331,0.275552017,184.0386147,64.29886203,61.05668613,19.70767746,31.291,50.402,22.95700425,22.9639736,0.124764091,122.799,84.273,0.18,0.063518433,146.61,0.802
Venezuela,2016,South/Latin America,130.2441349,2.214742859,0.304632163,169.1247429,58.8077909,58.37786277,19.30833227,27.675,42.06,24.47599903,22.69297919,0.137547418,107.981,73.42,0.202,0.07223493,131.988,0.9
Venezuela,2017,South/Latin America,124.1061229,2.222989152,0.344218205,148.9769524,55.82848788,58.37958592,19.65854889,25.275156,36.647685,24.00755269,22.80357619,0.154844753,103.777449,70.153699,0.112222,0.075160838,113.22011,0.5
Venezuela,2018,South/Latin America,113.2495533,2.70164625,0.390781978,115.3127484,41.91872022,58.3805318,20.31922233,22.891802,31.411686,23.70998143,23.82848132,0.144645872,99.738223,66.530345,0.044889,0.077432701,84.860873,0.2
Venezuela,2019,South/Latin America,101.2002058,2.793623718,0.537237189,81.89506861,36.22542476,58.37703986,21.29236316,20.82505794,29.02376135,19.59998465,21.19794322,0.192308357,96.46374798,64.42727824,0.029469014,0.073940761,56.9001088,0.29820421
Venezuela,2020,South/Latin America,85.04835596,2.91647834,0.601990076,51.3976297,29.16131926,60.94418357,23.78754419,17.91015344,25.40593147,14.62158855,17.81366564,0.206409925,92.81646686,61.94491102,0.019346004,0.07684631,32.22908796,0.195766979
