country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Brazil,1990,South/Latin America,-1.6200339550290992,-1.3901756105652723,-1.5440488029626316,-1.3224865845070986,-1.5174579015509584,1.25125422405148,-1.7290273947399002,-1.7961255432106267,-1.682445835850746,-1.1779074723660374,-1.2309160337813452,-1.2166117929781033,-1.5081609930358468,-1.5422295777247925,-1.7630009172406538,-0.5308021036416973,-1.3597003246171644,-1.156901355135389
Brazil,1991,South/Latin America,-1.5578734151174083,-1.2323584885688543,-1.372156209694056,-1.3139076471413782,-1.4688347588644257,1.2717533734258344,-1.4765907712554636,-1.7668823807655079,-1.8180215220842204,-1.1890002852539658,-1.2296981928382782,-1.0765382925407085,-1.4204522785914389,-1.4773839466128624,-1.133874076621963,-0.5308021036416973,-1.370209803413798,-0.5729640895001871
Brazil,1992,South/Latin America,-1.5019986255514555,-0.9679402897194949,-0.9491492592115365,-1.3147182475291606,-1.4419790304035363,1.2379827421570868,-1.3397810494383129,-1.6574651205386963,-1.6924109026759595,-1.1508208198275356,-1.2091452179129383,-0.5044671150818788,-1.3646286722623784,-1.4297220843951035,-1.3276546477567175,-0.5308021036416973,-1.358164934767782,-1.0229798237249548
Brazil,1993,South/Latin America,-1.4138842795861208,-0.7451776079985415,-1.099440662556957,-1.3018195604438283,-1.3754010659825022,1.374704720497116,-0.9979985225541311,-1.548047860311885,-1.6606115493037819,-1.10219321455546,-1.1809049737024377,-1.3045578463529321,-1.2868778873222162,-1.3312202865727076,-1.2767014458098405,-0.5308021036416973,-1.3411432852306648,-1.156901355135389
Brazil,1994,South/Latin America,-1.3203613255043194,-1.0435766323360403,-1.3310186323368978,-1.230227645699904,-1.232178807158921,1.3993613360680124,-1.2334842694705745,-1.3505749808265373,-1.4154201279929621,-1.0802665994278366,-1.1770986416103169,-1.3304486817095027,-1.225665462435218,-1.247786621581706,-1.0974412171988082,-0.5308021036416973,-1.30601462436635,-0.6261388152072707
Brazil,1995,South/Latin America,-1.121025828381785,-0.21938285823809522,-0.8679925003375607,-1.210592199259499,-1.1341608889071106,1.1951060503562365,-0.9235093273617873,-1.1076066980576118,-1.482446309951084,-1.0364120450224859,-1.1538821612103183,-1.6924902342475647,-1.1075668472781575,-1.1120810402448857,-0.8651157368192668,-0.5308021036416973,-1.2710183246959477,-0.5621322009302254
Brazil,1996,South/Latin America,-0.9007752590689905,0.28797306542098083,-0.017222911788454708,-1.1176225627553078,-0.9769108577308817,1.097489658414416,-0.9495771881166404,-0.8181646162355698,-1.1935863155463369,-0.9581187039631835,-1.099759961959721,-0.5511086873698695,-0.9885802155418312,-0.9962568947469137,-0.7486889904017914,-0.5305844237097235,-1.149007776147623,-0.9501107551633952
Brazil,1997,South/Latin America,-0.6982669227934432,0.6271560649766161,0.5016537970654901,-1.008415812438509,-0.8197261416979088,1.0020116821379539,-0.8185437559715164,-0.48377068433525006,-0.8276716005950358,-0.8781488024893565,-1.0559146687593213,0.06508305356008817,-0.8617987716097272,-0.8326507854206322,-0.6174778952328912,-0.5303903562657358,-1.067843892040623,-0.12097892098997119
Brazil,1998,South/Latin America,-0.6092261686901801,0.7069473731776682,0.9062450864311961,-0.9072987750526091,-0.7415528535833239,0.9930919705451363,-0.6439643469495386,-0.2981472647254331,-0.48352770042747995,-0.8381634656387338,-1.0352101619519125,0.8687458373832255,-0.7573164106680762,-0.720762277314551,-0.8175946158325424,-0.5303094401964211,-0.8870914456340359,-0.2499768666867867
Brazil,1999,South/Latin America,-0.5000449714848494,0.928676768899745,1.38902142711553,-0.7953971846571921,-0.6658088549893073,0.5206243807085732,-0.5273129106572836,-0.2068846815556286,-0.3014272117552713,-0.785149908002229,-0.9726386984773101,1.5846121825981154,-0.6588907781901352,-0.6436200889993183,-0.43689763548333904,-0.5306126733516383,-0.7230165096603939,-0.10817759813456214
Brazil,2000,South/Latin America,-0.3748314353678523,1.6464056248153076,1.2653990686513927,-0.7077915752062556,-0.6521855183747924,0.4315427341749712,0.19539366125406887,-0.14703947365214168,-0.1649629208367467,-0.7352340969934428,-0.804639437224424,0.0207301716041896,-0.5511599463431354,-0.49731785017775904,-0.006553048465248045,-0.530620379326927,-0.5291867772952752,1.0203082474268907
Brazil,2001,South/Latin America,-0.29923141861772146,1.7317627167650023,1.393312534139537,-0.6509697330507132,-0.5919250334354069,-0.42048838765341584,-1.109905565565922,-0.15198580782036855,0.0029198928746488216,-0.7200142487469094,-0.6062693726268635,0.1602313955594194,-0.7060087860882737,-0.701832415774681,-0.15179929023246988,-0.5274244247506034,-0.4503259779623485,-0.11408590099090504
Brazil,2002,South/Latin America,-0.3230704270650739,0.9877086780041872,0.7576139147937535,-0.4274089606997799,-0.4980924365164197,-0.18302375181198963,-0.8724550338894445,-0.2745570556154302,-0.0727384488811107,-0.44682521644570533,-0.3903141989821388,0.01607964594301484,-0.5757435848067423,-0.5691663290433358,-0.5327947481025288,-0.5252075795313081,-0.22981222890451702,-0.6162916437800331
Brazil,2003,South/Latin America,-0.3818598548085174,0.2750316564177746,0.2909958188254264,-0.27177925875564046,-0.43923867214325374,0.05029997145248975,-0.11528115715144203,-0.4333833022039759,-0.03275123805382222,-0.3471222431047802,-0.3563668327019024,0.20844142931705026,-0.4340556061594412,-0.4031119945789058,-0.33835364394630896,-0.525494231857399,-0.1628109925461294,-1.1066807808564763
Brazil,2004,South/Latin America,-0.18122488238747222,0.2862551791429799,0.27595725171202756,-0.2121311817792271,-0.2341001529201998,-0.13490984866102887,-0.2012893063215058,-0.2730894619611212,0.3106310009551185,-0.27992177878050367,-0.0808090540742005,0.1518708392836463,-0.2586229975000395,-0.24445776704148287,-0.028937729942681255,-0.5258108796930936,-0.18417408924356882,-0.35829575238640293
Brazil,2005,South/Latin America,-0.139706131513313,-0.012941733854735427,-0.05937354743233208,-0.03788468455152805,-0.13604126487707316,0.043920187144898294,0.24131559855722756,-0.20943938162053738,0.31666081846082067,-0.24096869432694246,0.01160110921257577,-0.10191570210614781,-0.14037258463712138,-0.10545401070723256,-0.15889085391700758,-0.523486694838089,0.026677292658667192,0.47772910178608724
Brazil,2006,South/Latin America,-0.09318668102285539,-0.47696903218043135,-0.4852148238598902,0.12763565730395993,0.0025225022352796285,-0.017785686320839246,0.3657941623640188,-0.12187296024677009,0.3775937111500222,-0.2216192987577202,0.05940564851004938,-0.2767979091813954,-0.01662709482216575,0.03104608897630713,-0.15493898429544048,-0.5128844385491528,0.1633269892536883,0.11042960755011676
Brazil,2007,South/Latin America,0.08539556902341494,-0.6826635536657477,-0.6946680620923152,0.2732989816686703,0.2366716380972693,0.22234704827573026,0.24416549757880818,0.0892431046915982,0.5153274373329059,-0.2512845485331021,0.10667663828690194,-0.4085686212667781,0.17926784458681427,0.21889424646296843,0.07421842135165242,-0.48486617340082977,0.21489491040190603,0.19216113039619076
Brazil,2008,South/Latin America,0.30108699225987584,-0.7355583240262449,-0.6524367919494264,0.44212286254021765,0.48160054486441284,-0.42392930784515764,0.25688712766860666,0.2628539984642936,0.5506177376820685,0.154753760528711,0.4339184549529421,-0.20202460481073634,0.31527858903504846,0.3680419695960352,0.007302835264401547,-0.47349903526280895,0.3022003539064351,0.8292731217384772
Brazil,2009,South/Latin America,0.03379994738322111,-1.3812358988561992,-1.6212956043014266,0.4766572621625103,0.3318634823295442,0.3502019680716514,0.586309878503822,0.2159453568469373,0.5833691675025148,-0.13894015946991115,0.04052859482570873,-1.4337551844531538,0.33845809871947385,0.34925068683757027,-1.106136972484993,-0.44660091432191756,0.4773936301687071,-0.05992645814109738
Brazil,2010,South/Latin America,0.5585562699221048,-0.9047826493515598,-0.8412806912060817,0.7050864341307286,0.8011323209840956,-0.34899193619568253,0.057240527570687,0.7155794631583378,0.6361776744998228,0.26890690819473717,0.592022580630389,-0.3527677160881149,0.7150985664928651,0.7074860753539117,0.3680326787641907,-0.3969825262110869,0.6183318294464853,-0.34943329810188856
Brazil,2011,South/Latin America,0.7958356827930205,-0.1291275019305837,-0.6457332918140877,0.7373495256983684,0.8703352269937924,0.04948236210534201,0.24646282195774982,1.0258939880638849,0.768833659625273,0.5306145700383114,0.6152410172553144,-1.3127991264120207,0.8366278098023024,0.8607080146602742,0.8009279672313692,-0.36953332199152383,0.6994427690759207,-0.2608087552567484
Brazil,2012,South/Latin America,1.1874449193621486,0.7592464960431847,0.3309615158985373,0.7579331633557989,1.0645964013853346,-0.7094495318714829,0.3409633768468262,1.3825736013814884,1.124719835988143,0.8575874674670333,0.98457552984107,-0.5707709768744205,0.9950059462086256,1.0118789880018488,0.9059903992534001,-0.2410958387064486,0.6558694640400035,0.8332119903093719
Brazil,2013,South/Latin America,1.565364161311112,1.3695996589763233,1.0377780155151561,0.7806746719235826,1.2961401170445703,-1.6536852707830376,0.6289032914198016,1.6008102133092816,1.5685144044078305,1.1232955420737887,1.4176244770720297,-0.013535350311662654,1.1352214871091093,1.1620614327027374,1.5630699367747296,-0.16531215817195052,0.596889316032699,2.78098249861701
Brazil,2014,South/Latin America,1.866511054333927,1.8889287825312258,1.8951738488920202,0.9780506091700226,1.463902949001342,-2.2354240532619567,0.8306631606781284,1.806273324912534,1.7197676161561304,1.3318626224161014,1.6950854717190078,1.006011151771241,1.2836265142406003,1.290292998429136,1.980030031102923,0.1254719275492046,0.9045232029235819,2.134023335847487
Brazil,2015,South/Latin America,1.579109309394878,1.1797324552314319,1.6283977550549675,1.1390002838755378,1.3555577940625125,-2.0916981309284948,0.8786995941027925,1.3483841047681435,1.3000288459960343,1.424600210210186,1.6688233876701362,1.673861546828481,1.2153251364900621,1.216448985111333,2.035372640192542,0.6511297895076165,1.1447058253967752,2.2246173129780744
Brazil,2016,South/Latin America,1.1859526733139505,0.3589251647679117,0.9130531084532597,1.2369074307431436,1.15900371032573,-1.0570018419021663,1.2516752745944162,1.0452444821725508,0.8389064862178551,1.4562017386547428,1.2171274591761174,1.5344114412518344,1.1943542834258614,1.2114139560536326,1.2385312549966319,1.30781418900703,1.2659751512591912,1.2162669588289228
Brazil,2017,South/Latin America,1.2657255204947537,0.2983397855053829,0.9534218614975856,1.3681930682937153,1.2561086540441522,-1.2575330902753339,1.1304161240666333,1.09875033775327,0.6279063516760799,1.868418659025538,1.3949389528377734,1.7459845918478143,1.2741420493708095,1.2709397325191483,1.387616643646379,1.7931068614694246,1.4214035922405146,-0.9364487895252451
Brazil,2018,South/Latin America,0.9647368517949104,-0.6739571993574525,-0.25563500493118213,1.4016771787340092,1.1847918993211226,-0.7488145925330061,1.8630934571767033,0.7250565850693395,0.4673610642079659,1.5098766765066178,1.1694893569477987,0.6720452257783865,1.364991283782046,1.3659573733808839,1.1638889009608622,2.2071570324743104,1.3661263809940993,-0.9180670746220205
Brazil,2019,South/Latin America,0.9878285058380097,-0.9042518201644051,-0.36081292088940947,1.6190605147133441,1.270018815868092,-0.7573738729164164,1.9356939834119562,0.7873159845341646,0.4757642813556763,1.66063558492369,1.1913264189548427,0.8605340646808867,1.5544635256382633,1.434620545047192,0.9075685255201865,2.6398073782465006,1.6286218711477696,-0.35468085575546326
Brazil,2020,South/Latin America,0.6592541247651056,-1.8325902698619652,-0.7415052866816527,1.786803969213998,1.1513481825787781,-0.45106510662699467,1.8850430616911453,0.5411127285573025,0.6429216978656523,1.391357861666385,0.9851825099207745,1.7805152643777757,1.4606677823900784,1.3560128778038782,0.13030221472523826,2.831040933732756,1.903138407579775,-0.21702221545422418
