country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Kuwait,1990,Middle east,-1.3114678980146475,2.086395626453914,0.9949900817009364,-2.101922275106436,-1.5745928791041863,-0.40247621371246195,-0.2456200732043033,-1.574484565364562,-2.4186388535906627,-1.7368614102376594,-1.1729548856125795,-0.2749074135065501,-1.3600986555635672,-1.3221656032518743,0.0,-0.40247621371246195,-2.119779736546428,0.0
Kuwait,1991,Middle east,-2.126597866776097,1.2905064891835607,-3.267122391854852,-3.179552758538201,-2.293477369192689,-0.40247621371246195,4.120777790197944,-1.9596382875649023,-3.3849971316546457,-2.4522726316515198,-2.006761358211957,-3.7760620381503642,-1.7566317877458022,-1.7824360900382084,0.0,-0.40247621371246195,-3.22524949338259,0.0
Kuwait,1992,Middle east,-1.5361660007668858,-0.24432228494731936,-1.056002538231998,-1.8514096729451146,-1.606928945816101,-0.40247621371246195,-0.9957238725089114,-1.432158716642232,-2.0571161548084844,-1.5397534720965984,-1.3527497971250289,-0.980043629692288,-1.4421151225551376,-1.4026157403184913,0.0,-0.40247621371246195,-1.865972600715894,0.0
Kuwait,1993,Middle east,-1.279617700420935,-1.141804509432334,-1.2917807397642829,-0.6009178969656159,-1.214976441081894,-0.40247621371246195,-1.2586939279105411,-1.4644109192035788,-1.4432448368557516,-0.6912945531417336,-0.744650847866308,-0.7036766857345075,-1.2724667395129003,-1.1874340540009034,0.0,-0.40247621371246195,-0.5850536726549408,0.0
Kuwait,1994,Middle east,-1.0981175470895332,-1.2709288442017266,-0.9114410174608946,-0.4043901080341588,-0.9784950223990334,-0.40247621371246195,-0.8583047460927148,-1.240726288536174,-0.02612429664104455,-0.5609387371076836,-0.6512235374931515,-0.17954847622486866,-1.1372838190443824,-1.073263645728855,0.0,-0.40247621371246195,-0.38342561473746606,0.0
Kuwait,1995,Middle east,-1.1007737909572781,-1.5334080054990185,-1.2020606292990335,-0.37778160814305595,-0.9385654057950396,-0.40247621371246195,-1.3228118339051596,-1.115046737910023,0.30996792113945043,-0.5609366092425804,-0.6512220124310601,-0.3378809751231695,-1.089784332507807,-1.0691514175330705,0.0,-0.40247621371246195,-0.3542982527517513,0.0
Kuwait,1996,Middle east,-1.135911343509783,-1.6373601004181138,-1.3869538043788132,-0.36929897039511533,-0.9648041656963853,-0.40247621371246195,-0.3227836314950821,-1.1849611899139747,0.16874957242680308,-0.5555609500349288,-0.647369223989903,-0.4869532583057518,-0.9995765223933345,-0.973672955605496,0.0,-0.40247621371246195,-0.34557195718752365,0.0
Kuwait,1997,Middle east,-1.0920377450246999,-1.4038211854146625,-1.3376566376163297,-0.37126513458460825,-0.9494719371843604,-0.40247621371246195,0.15778094260283132,-1.1098447697549672,0.5989252547190217,-0.5627284956451312,-0.6525062752447793,-0.5865676541154509,-0.9352306886794705,-0.8998771514375115,0.0,-0.40247621371246195,-0.3469717383872465,0.0
Kuwait,1998,Middle east,-0.8499156116905022,-1.051072664303213,-0.5598650301789804,-0.310221523801045,-0.7201712994048218,-0.40247621371246195,-0.0787187390412877,-0.8416312916802838,0.47670990279884207,-0.513227633774671,-0.6170285150157903,0.06953446102408094,-0.7672823957193449,-0.7103408155045428,0.0,-0.40247621371246195,-0.2852920178633038,0.0
Kuwait,1999,Middle east,-0.6904212909969311,-0.7756982733305449,0.2106734114094122,-0.5707702838961431,-0.5857606601092875,-0.40247621371246195,0.4102135953517041,-0.600884205464296,0.716483009386146,-0.6930882314306869,-0.7459363949428408,0.7316516824422084,-0.6852659287277745,-0.633030925423797,0.0,-0.40247621371246195,-0.5518758799636457,0.0
Kuwait,2000,Middle east,-0.557461369506783,-0.3971658404865265,0.4112060582080798,-0.3954631791183227,-0.5077659023937324,-0.40247621371246195,-0.14885864673433813,-0.6697582638372364,-0.05155477764272796,-0.4888131815399191,-0.5995304341788681,0.6714570369239131,-0.6467820714145187,-0.6017779911358361,0.0,-0.40247621371246195,-0.3814003993846761,0.0
Kuwait,2001,Middle east,-0.39950229529969267,-0.22106671032517178,1.013257081882332,-0.45732470018040333,-0.368407205562827,-0.40247621371246195,0.3431804651435994,-0.5538584133425903,-0.447357392207396,-0.5112117615718015,-0.6155837193503563,1.1788419769297842,-0.5449827380129212,-0.48267290902884613,0.0,-0.40247621371246195,-0.4468625074057412,0.0
