country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Russia,1990,Europe,3.0602710623013123,1.1366670973774204,0.6781201466486984,0.5944251057839445,2.6524220271094894,-1.7336501604941974,-1.7174993674992964,2.9252771551044523,0.998857376236361,-0.04604419162547897,0.9099826832993615,0.5875601213234137,1.0105063788065096,1.2747239305075713,3.2469367496724524,-0.7181457843545457,0.8834308948276176,1.3026995159656245
Russia,1991,Europe,3.064628061688978,1.370343965673554,0.9243826938782256,0.1478499888880403,2.5385711996004074,-1.4816609301511285,-1.7424374559772837,3.199495918103642,1.2638351540848267,0.014131029017258835,1.3051062440965626,0.8138009007452748,0.862670802035493,1.0660093272611113,2.7519586747489493,-0.7162171299495707,0.28771543838046365,0.6173493790245471
Russia,1992,Europe,2.099750384064349,1.579482170481897,1.3013320708032483,-0.3217655675129981,1.4698175766888302,-0.5243714952022074,-1.588123269999297,2.2822378715727476,0.4977404432739737,-0.0334019345543608,0.6597127112179986,1.1863859661511893,0.23162456601235348,0.4012768402149736,2.2292702326700056,-0.7137854528767777,-0.5042525356535877,0.36411471423171266
Russia,1993,Europe,1.158842800360814,0.8540812243175443,1.319761600116206,-0.8043190089563446,0.8400153525128025,0.31021900008777087,-1.9304378810408442,1.43119362391239,-0.1701708649444537,-0.50282985497175,0.266575010186256,1.3819547643206895,-0.3164629683414411,-0.22551858141939557,1.1349296112872185,-0.7130083732342035,-0.9968765203917944,-0.2537085369586287
Russia,1994,Europe,-0.06800208298650808,1.0406591926963977,1.361493514188299,-1.1966989669903456,-0.49568902903372575,1.6380404517843496,-1.3836100406339678,-0.0015065202234849108,-1.0416158286117039,-0.7313682084760131,-0.6510051221276153,1.3832495532385156,-1.1690142218154713,-1.0512102507977332,0.4128403439428161,-0.7037498065321552,-1.3856273701904538,-0.8073299559658448
Russia,1995,Europe,-0.3278646110299574,1.0987493235993164,1.432584828411482,-1.3380337896844285,-0.7828657946513315,1.9337197635703987,-1.4842832525046095,-0.06430187381002014,-1.192168604634718,-0.9796805638495798,-1.2285264847765833,1.4493912504667734,-1.3369078388117632,-1.1596649763708216,0.5073094945296129,-0.7045196860908358,-1.5229028465615415,-0.9407212006835115
Russia,1996,Europe,-0.4290769374290702,1.072843891189615,1.57785669795557,-1.3535931562808006,-0.8765670893954262,0.3100157519530177,-0.7084914786703848,-0.356318846494388,-1.3257459742304414,-0.8517192039812899,-1.342207766131895,1.620408489406675,-1.4726430699252768,-1.3361744900275543,0.5221715318902335,-0.7072906898064542,-1.5229028465615415,-1.0420822751302035
Russia,1997,Europe,-0.947874013991962,0.697807772423175,1.1800897346619437,-1.5409231986448109,-1.2745906123860733,0.7831548933816886,-0.41358967514793904,-0.5453365764912551,-1.3544378355261353,-1.485974542244952,-1.7424438513821219,1.2603736897097477,-1.6105658744458675,-1.4806335338662502,-0.1366610521372464,-0.704695074689042,-1.5363452522596006,-1.247032917372093
Russia,1998,Europe,-1.0427103414577543,0.9862327369441695,1.40354262088205,-1.503302932091428,-1.4732531740748898,1.0606432068944884,-0.16412234425560548,-0.6746058280460221,-1.5761699093926864,-1.0671045868694806,-1.6340172441524894,1.4445159188990724,-1.6842670190881621,-1.6817386354915438,-0.333282085436876,-0.7024229793075881,-1.5636594279654854,-1.4619940932271085
Russia,1999,Europe,-0.7788140225047581,0.9087602416860643,1.2456457720179186,-1.3706888617972208,-1.175338917249944,0.9125545801765114,-0.45133876357217095,-0.5082910335765949,-1.4407335615714962,-1.0650766691247862,-1.4329637751907591,1.283860728969545,-1.4827566339377054,-1.4668613299161852,-0.20322284243716543,-0.7036591701819653,-1.5434682960652066,-1.141798509248237
Russia,2000,Europe,-0.6696668201087564,0.8164902391387944,0.8368907177002554,-1.2763451970794784,-1.0296569129599031,0.7520188420403242,-0.5142051474027435,-0.599065618672397,-1.2250676271775212,-1.2322396517032188,-1.2850913902634966,0.8385019666854577,-1.1494423090139902,-1.2051563220567234,-0.17229492080159015,-0.6538880911020539,-1.3403129214982252,-1.0725914102585485
Russia,2001,Europe,-0.6336923763588471,0.6584405758634673,0.6250907205187032,-1.0968297337778432,-0.9342902515031773,1.3843327292283059,-0.327717502088716,-0.5635806703439112,-1.1022527630976584,-1.2832065188437711,-1.1564425720221547,0.6304503060117788,-1.0065842543431343,-1.1254166969408674,-0.29489031293241774,-0.5977539530074101,-1.074448339022854,-0.9251394336991221
Russia,2002,Europe,-0.7281971683998757,0.5042643690092607,0.37287774239604055,-0.8707884525070586,-0.9754890161291843,0.4632327522553797,0.03976267191986455,-0.6740856298506309,-0.9333303469782542,-1.0056240834092243,-1.1457267801278177,0.3719331916876464,-1.0065736863556607,-1.1340091385392244,-0.4364408219326071,-0.4823495864956645,-0.7295036581616041,-1.119442829942598
Russia,2003,Europe,-0.501671247122368,0.30106772883090305,0.18802024510715803,-0.43618297410797635,-0.6605079689899475,-0.37761171801162213,0.028449145825617205,-0.6317266339401869,-0.8953191343154169,-0.48341329948881007,-0.5826700587975709,0.1986658052191374,-0.7423634315231367,-0.8920071073011883,-0.3792909256902236,-0.20756109229142747,-0.2736178452615817,-0.7932692241240856
Russia,2004,Europe,-0.5117544194686906,0.19816314498982068,-0.09252255982445352,-0.12216933293737561,-0.6310524064332933,0.9480279130204777,0.28446809039994647,-0.6603746917006714,-0.8122521599248144,-0.23927629858506833,-0.4477393485240173,-0.10987462706097713,-0.5777247546687744,-0.6950877837810071,-0.5425325672741751,-0.09176341363388138,0.1411150499485596,-0.7522189617282079
Russia,2005,Europe,-0.5236916786971703,0.009197835608517444,-0.3278626011138475,0.06174288381116761,-0.5692615786895749,0.41093207497978124,0.6136222879054991,-0.6559901640538005,-0.5181911569437138,-0.07126618258220062,-0.34776908200207945,-0.35208349216710616,-0.3534614924872217,-0.46528967023729406,-0.5774879040413475,-0.09547204676191962,0.25335528425790604,-0.325993079143872
Russia,2006,Europe,-0.18153746890594122,0.2464562830724887,-0.46887657466285515,0.2026513702664168,-0.3009876932166407,-0.09464781594076543,0.8026547859200431,-0.523265310201076,-0.25289539597773303,0.18695779525789896,-0.047417542531552684,-0.5604531228544438,0.09787611654391451,-0.046126513447534476,-0.4464436953844527,-0.04638650340079243,0.3566118960859946,-0.30130278775884606
Russia,2007,Europe,-0.2930049163053647,-0.11094092458254831,-0.7789029090962947,0.2746557035675541,-0.2737897520016504,-0.07759190406749106,1.1137753971208106,-0.4500659927067125,-0.07719749343129774,0.08717370823509128,0.19707200208459064,-0.8670444955221474,0.304364023794532,0.20662159192315166,-0.649083963255762,-0.024312241154956286,0.4871166275723106,-0.2237299954846901
Russia,2008,Europe,-0.20787135384943164,-0.4210781820821343,-0.9056462584896141,0.36274523987655555,-0.05171539959144119,-1.2145187493836653,1.3591907207299405,-0.3038159857738115,0.07428477170445014,0.4166542481468265,0.20402465912962855,-0.9691450245797103,0.5690498380633766,0.4570172679102264,-0.2704717513459742,-0.0739438715512229,0.47048151290419693,0.04887133769396367
