country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
United Arab Emirates,1990,Middle east,-1.4178704796349306,0.5208138686589528,-1.5976536059996418,-1.763716682444935,-1.401462122078987,-0.3536362955403675,-1.6324594908745254,-1.1483179362359393,-1.1504534253840042,-1.8701191923552896,-1.445807063717105,-1.5893545765030492,-1.2630392311266945,-1.2672340915601468,-0.7801404704992405,-0.3536362955403675,-1.6601264735709318,0.0
United Arab Emirates,1991,Middle east,-1.2707888730853631,0.27484813425694576,-0.10729261639591754,-1.3025186069841712,-1.2520037638668247,-0.3536362955403675,-1.9235742448543924,-1.095539986636889,-1.095600543515773,-1.5893446160481557,-1.2773899537772841,-0.22245822322372732,-1.2566203672350853,-1.2613348767950805,-0.7801404704992405,-0.3536362955403675,-1.1468979943946245,0.0
United Arab Emirates,1992,Middle east,-1.3219196581341879,0.41873808641891447,-1.0586503483370957,-1.1223911710889949,-1.3065425800539874,-0.3536362955403675,-1.64689365316711,-1.0297551489849923,-1.0325459747653296,-1.713796049870777,-1.355984605082534,-1.092984363465345,-1.2249287071355537,-1.2322527829532608,-0.7801404704992405,-0.3536362955403675,-0.8515488251917819,0.0
United Arab Emirates,1993,Middle east,-1.2524253084325088,0.6584155952708183,-0.4905824137669581,-1.194583409728214,-1.2502604061240352,-0.3536362955403675,-1.3949530687717855,-0.912693156509374,-1.0248691958435794,-1.6515703329594664,-1.3125378723734207,-0.6984636019704177,-1.152900053650744,-1.1661712280849272,-0.7801404704992405,-0.3536362955403675,-0.9749253657099289,0.0
United Arab Emirates,1994,Middle east,-1.132187394461905,0.4391545062179125,-0.13744511408258364,-1.1330691358013911,-1.126963864037194,-0.3536362955403675,-1.41209317862985,-0.951213555742804,-1.0382543488353488,-1.357895303146329,-1.1628161190034707,-0.3134559098441887,-1.1053862493460653,-1.1225739610711678,-0.7801404704992405,-0.3536362955403675,-1.0103358896006962,0.0
United Arab Emirates,1995,Middle east,-1.0477386893800107,0.45339704796324876,-0.18001505584166658,-1.0395241091026415,-1.0473676688969862,-0.3536362955403675,-1.395576239907214,-0.9372061378397385,-1.0477026921236567,-1.0194481111652973,-1.061767778852618,-0.3554110881325997,-1.0758736869514343,-1.0825472714152116,-0.7801404704992405,-0.3536362955403675,-1.0203464596457654,0.0
United Arab Emirates,1996,Middle east,-0.9850245291478767,0.12923860156304703,-0.34654533915465097,-0.9589350335041984,-0.9712553064157422,-0.3536362955403675,-1.3691965335556735,-1.0525172030774737,-0.9145729106515974,-0.8312532600188944,-0.9465615983635072,-0.3706868684037892,-1.0382131940080448,-1.0471778565737817,-0.7801404704992405,-0.3536362955403675,-0.9870650495332405,0.0
United Arab Emirates,1997,Middle east,-0.9061397988302324,0.08710871431705035,-0.6812012502038274,-0.7638446946327154,-0.8931272413734958,-0.3536362955403675,-1.2295437590181724,-1.0282543542096638,-0.9556469585577132,-0.6407818582537843,-0.8562480403180067,-0.6435259495491332,-0.9949154700454562,-0.9786641693023066,-0.7801404704992405,-0.3536362955403675,-0.7990306853284715,0.0
United Arab Emirates,1998,Middle east,-0.8698657300384803,0.08650635644733216,-0.4312862216724011,-0.6760492623535935,-0.8581680566606974,-0.3536362955403675,-0.7830734005206365,-0.9999893859409783,-0.8903615309753087,-0.6225694533041328,-0.8113370414148541,-0.4270545694229115,-0.8766757337099843,-0.8458542158413996,-0.7801404704992405,-0.3536362955403675,-0.6870467711675858,0.0
United Arab Emirates,1999,Middle east,-0.8226816386497663,0.30324268124253356,-0.4245346885440979,-0.8965157387225315,-0.8250805403102196,-0.3536362955403675,-0.3392569901015026,-0.9797286564740443,-0.6494287771234593,-0.5474432828868184,-0.7624736283111372,-0.5061380571319704,-0.7882327899045655,-0.7130442623804929,-0.7801404704992405,-0.3536362955403675,-1.0172461711616583,0.0
United Arab Emirates,2000,Middle east,-0.838935336704513,0.6853014887914,-1.7680163040351815,-0.5847388501517585,-0.8616936318699048,-0.3536362955403675,0.08276432479452372,-0.8841780557781337,-0.4467486908902453,-0.6013216475295388,-0.8126563634505894,-1.7903776206078916,-0.7214860797696776,-0.6587093895443533,-0.7801404704992405,-0.3536362955403675,-0.5715143340429628,0.0
United Arab Emirates,2001,Middle east,-0.5790594001331772,-1.7770839817739958,-0.15289230985555274,-0.5502311902438914,-0.44642048674304274,-0.3536362955403675,-0.4238321802694196,-0.7713683151659458,0.023503228188241243,-0.15284117564435987,-0.5304966836093822,0.6202304228615068,-0.6450281733412115,-0.6447375651007746,-0.7545389992348491,-0.3536362955403675,-0.7063955595382791,0.0
United Arab Emirates,2002,Middle east,-0.5423509570477711,-0.8791844157198135,-0.21401399528627718,-0.7363007803119472,-0.4755742522622083,-0.3536362955403675,-0.12092567238027972,-0.6332951958357295,-0.06113818043618284,-0.16801817976907002,-0.5341597293896342,0.16277679817605625,-0.5577695217667166,-0.5822524613392142,-0.6495729670508447,-0.3536362955403675,-0.9532233463211787,0.0
United Arab Emirates,2003,Middle east,-0.45487624012138406,0.9817810426042698,-0.7136640313996373,-0.3574969265952377,-0.5195128911246285,-0.3536362955403675,0.056536213019843795,-0.4669571082368272,-0.12078084744362583,-0.09061545873304912,-0.4824140497865185,-1.0059430105711615,-0.49632844082636923,-0.5241658949024839,-0.6265316429128925,-0.3536362955403675,-0.4695783428004489,0.0
United Arab Emirates,2004,Middle east,-0.3319938219749249,0.3142621671973263,-1.1010123030196983,-0.1479344367090262,-0.35711911507071364,-0.3536362955403675,0.3597730042752781,-0.43769161011792285,-0.13475652189091453,0.021694371789804184,-0.3394286395864516,-1.0909425175933962,-0.4260525398433274,-0.4634660798198252,-0.6060504659013796,-0.3536362955403675,-0.2301837778047468,0.0
