country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Uzbekistan,1990,Asia & Pacific,0.884034271312608,1.487065922132003,0.9078582884802651,-2.2486781844047212,0.18083271995802674,-0.17750756210728957,-0.1214312051203096,2.81479614849944,1.7058654570730725,-2.079792525322703,-1.7782192281366334,0.7281465464878256,0.7685002720365054,0.6355312266452916,2.5001060666290296,0.0,-1.078265918400834,2.529242778124206
Uzbekistan,1991,Asia & Pacific,0.995061102053299,1.2539495995036327,0.9466907078353468,-2.0878093017114447,0.38019605868145934,-0.4464359506621844,-0.14247841564176758,2.5270480601703693,1.5592992496320557,-1.930501362189368,-1.5623531524269645,0.7846346108424287,0.3762533791649567,0.6273232257727865,2.690153477605519,0.0,-1.0627686852357774,2.8603945106359214
Uzbekistan,1992,Asia & Pacific,-0.1526135098331549,0.892838763023566,1.0984383864540974,-1.9053071430157718,-0.5248299862600815,0.037450125156487164,0.11948150091378071,1.4209673867021821,0.7129310094797062,-1.7514295496110386,-1.5098300265665352,0.9599039548995629,-0.21465930111468046,0.06566145178272823,1.2903185476129742,0.0,-0.8395116699516808,1.707040333687974
Uzbekistan,1993,Asia & Pacific,-0.08974769321331821,-0.25746973741324,1.194503526786342,-1.5561198524093394,0.015669937685632906,1.0970123653067174,-0.05104087563026894,0.9138831874870682,0.5932008681898614,-1.4635728728401076,-1.0034130130306402,1.1662991820037456,-0.5346310720589711,-0.15360942866850522,0.465512783975008,0.0,-0.5242398327500609,0.8801071502158611
Uzbekistan,1994,Asia & Pacific,-0.5145971414940781,-0.8245584979542766,1.2834031119944231,-1.0213242778347627,-0.14716602915715418,1.0969754437918366,-0.40506985405246665,0.4219436244998004,0.2168078378131662,-1.170281696720507,-0.877610591821471,1.3145934279346654,-0.7796037843199525,-0.37796145251700497,0.48994745110055715,0.0,0.2293131299008158,0.8734841155656271
Uzbekistan,1995,Asia & Pacific,-1.7371574602676838,-1.1581316804882646,1.0095915872305299,-0.5837492015074506,-1.2014032302163804,0.32030807552221585,-0.2262265926412117,0.5086336111833318,0.8395421933724155,-1.0060329981623908,-1.3970080056917946,1.0776485056606544,-0.8426175212766306,-0.6169706207806933,-0.7035502898317993,0.0,1.2768292341513598,-0.6365677846877975
Uzbekistan,1996,Asia & Pacific,-1.564374838083154,-1.8108200815601851,0.9960291315724318,-0.5143107058654371,-0.7561033297457229,0.8537782894029879,-0.08416551083820281,0.43291043004410246,0.812018022960957,-0.9569511245858111,-1.078702317142431,1.1333649712050207,-1.2119833453973394,-0.5042083230798365,-0.5031860194023002,0.0,1.364001170704803,-0.8418818588450611
Uzbekistan,1997,Asia & Pacific,-1.2859231390199695,-1.6999524116565403,0.8958273851653481,-0.15480516399452585,-0.5254060871163153,0.1206328417598368,-0.17002313649391815,0.7060361109807706,0.9978061732383018,-0.6499283398950966,-0.94470244716391,1.0193191699311126,-1.0966700227244528,-0.4055168840175607,-0.8338685145013925,0.0,1.558685162340826,-0.7378056000556648
Uzbekistan,1998,Asia & Pacific,0.04879593092974979,-0.2447337875433664,1.0620965849696387,0.3511007989720106,0.1425343577298629,0.14772087018476462,-0.441311283082375,0.5953235978668633,1.3618133269298407,-0.16791613350479134,-0.09721347696673995,1.03601212795715,-1.1182799209891352,-0.4360037444011544,-0.7589355353163764,0.0,1.6671657944962222,-0.7330748610197831
Uzbekistan,1999,Asia & Pacific,0.22957702839542926,-1.4638020892281849,0.9603015225240084,0.4547383056037627,0.8757070845321249,1.3334167817038816,-0.5430725420946679,0.5316116799428218,1.1870348448170793,-0.060360906789996095,0.11084830385677395,1.0600415109027386,-1.2206999430167063,-0.3593957362577639,-0.7768542912084456,0.0,1.6119569013457087,-0.7302364175982541
Uzbekistan,2000,Asia & Pacific,1.1376784265247324,-0.40339821611033566,1.0265333483020442,0.3869738179331124,1.257813010722975,-1.8972292197162397,-0.5784171317090404,0.569734384930158,1.2241924748725486,0.05113106098777564,0.7770123196218958,1.017201207464012,-0.949940629465096,-0.09048599338708944,-0.6459930739360625,0.0,1.311213720236329,-1.1597875220563085
