country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Algeria,1990,Arab States,-0.4101830670074665,0.2664461064658769,-0.44797219782761755,-0.32360057134405645,-0.45784970738325714,-0.9141541709809946,-1.2676648750922035,-0.47367349020003185,-0.3825802026120688,-0.0976572583928126,-0.3877803235654105,-0.579933518989057,-0.444969153412063,-0.438596947919353,-0.308772908304378,-0.5003830688187187,-0.13608737500582027,-0.32079715689832344
Algeria,1991,Arab States,-0.40674582013592836,0.3506218517038581,-0.3627273181357958,-0.317430073008327,-0.4549695915607044,-0.8828443520877045,-1.3200173608004717,-0.47078945996288335,-0.38228301594646913,-0.06829879002288869,-0.3791652599921701,-0.5051087876783131,-0.4434197748117457,-0.4380986911116624,-0.3082249418038657,-0.5003830688187187,-0.14255781336909887,-0.32079715689832344
Algeria,1992,Arab States,-0.40665307892826574,0.2587044217814048,-0.37869870694320784,-0.3133892830574055,-0.45372400722136613,-0.9047373774782914,-1.2521067496700848,-0.47157672227086167,-0.3821047039471093,-0.0519864653915614,-0.37563732143983625,-0.49884535285165943,-0.44231855367199974,-0.4366353176929109,-0.3084977389794454,-0.5003830688187187,-0.14399568856093853,-0.32079715689832344
Algeria,1993,Arab States,-0.4050563020325354,0.38686130165416716,-0.32281164179889155,-0.31158600609373666,-0.45353101928263884,-0.8778053365298439,-1.279395948952872,-0.4712571405418804,-0.3820749852805494,-0.046523807837882,-0.3682240165148747,-0.4702130637562868,-0.44088181357781536,-0.4366162064728899,-0.308594997102913,-0.5003830688187187,-0.14323495226758154,-0.32079715689832344
Algeria,1994,Arab States,-0.4074072376287181,0.3321027697556698,-0.3644590044407774,-0.32235359158512944,-0.45548709978229973,-0.9141189501795197,-1.158802054712392,-0.4777111325320397,-0.39316004790741677,-0.07841544501724453,-0.37231406071275064,-0.5021988339742818,-0.4402539138202235,-0.4360688065280024,-0.30876579185631936,-0.5003830688187187,-0.14894465433750306,-0.32079715689832344
Algeria,1995,Arab States,-0.40701066843469835,0.18762332392846884,-0.3931981743632411,-0.30711316050486753,-0.4532222992979073,-0.908717554993878,-1.107723483935534,-0.4786153149847673,-0.3882490382583823,-0.027716271510900895,-0.3666048956931754,-0.4963098872337036,-0.44053311352159547,-0.4353084529885952,-0.30886542212913976,-0.5003830688187187,-0.14525800922354198,-0.32079715689832344
Algeria,1996,Arab States,-0.4075574972851458,0.2743054309952535,-0.4429656205610837,-0.29230043801224304,-0.4549512907658944,-0.920697365127743,-1.0335361530010958,-0.48034573312705636,-0.39289257990837706,-0.002263981366443277,-0.36716709328348324,-0.5761839957140118,-0.4393791679747235,-0.43449622613770233,-0.3094394822725336,-0.5003830688187187,-0.12075561278585531,-0.32079715689832344
Algeria,1997,Arab States,-0.4059832489070978,0.3128565563615418,-0.42173086427128953,-0.2698911329648527,-0.4536465692488435,-0.9320479613860522,-1.01399071619936,-0.48022881298230713,-0.37530655897151716,0.0655561478153328,-0.3576660381891474,-0.5617399526526309,-0.4381473340991425,-0.43391469901420593,-0.30971939589617187,-0.5003830688187187,-0.11059016956912825,-0.32079715689832344
Algeria,1998,Arab States,-0.40481242601690665,0.2692749660698526,-0.4458618072339273,-0.2562910975549606,-0.45175907464174075,-0.9114786520430707,-0.9680906676872436,-0.47971436434541037,-0.37729027996439485,0.10091924861218209,-0.3532858547419481,-0.5782308693346597,-0.43536132849532383,-0.43179744885330706,-0.30901723968772327,-0.5003830688187187,-0.09948843552980786,-0.32079715689832344
Algeria,1999,Arab States,-0.4017177571004869,0.25165205012722514,-0.4178276538020452,-0.2316207186323722,-0.4479836570322321,-0.9151274996285084,-0.9930784872651797,-0.4753259615791547,-0.36002373469305454,0.1683426217493936,-0.34315409971317185,-0.5417383649107872,-0.43354593129541613,-0.42999962908418793,-0.3089887738954889,-0.5003830688187187,-0.08123076448923883,-0.32079715689832344
Algeria,2000,Arab States,-0.4009073274887683,0.25060221390681187,-0.43858083306810436,-0.2185341563061775,-0.4470407571501759,-0.9371991349224932,-0.9557073333722734,-0.47228603781567396,-0.3537902443821016,0.1804268811549783,-0.34270255061824423,-0.565227080039974,-0.4325741246095249,-0.4283342227680714,-0.3091690572463068,-0.5003830688187187,-0.051219299729329246,-0.32079715689832344
Algeria,2001,Arab States,-0.39966055311900006,0.3417167916816272,-0.44446722809216516,-0.23211852586979817,-0.44691750745973646,-0.9354799698884829,-0.8951733498269243,-0.47122596183661397,-0.3463457184088301,0.1433086918679336,-0.3379986777113256,-0.594396408041783,-0.43111581543969807,-0.42684491269357716,-0.3091192421098965,-0.5003830688187187,-0.06177765070196591,-0.32079715689832344
Algeria,2002,Arab States,-0.3947660512199066,0.42530318670758815,-0.4141999380512229,-0.21624997732845272,-0.4426832159524469,-0.937357382527169,-0.9497552412670318,-0.4645147455280063,-0.3496147717304263,0.1604607659891418,-0.33168451570777285,-0.5808767470391506,-0.4300038097621309,-0.42550985746639536,-0.30820122031033703,-0.5003830688187187,-0.025914368300848294,-0.32079715689832344
Algeria,2003,Arab States,-0.3921117950458118,0.35104353604991867,-0.43853221515948393,-0.18587888336480635,-0.43860268086006343,-0.9121633717863341,-0.882906526925775,-0.4622153160146042,-0.34689551374018945,0.19468693107669166,-0.3139432618998309,-0.5900014344332579,-0.42754134029294916,-0.42265273007325455,-0.3084075973040365,-0.5003830688187187,0.0421924293033256,-0.32079715689832344
Algeria,2004,Arab States,-0.39121566069318936,0.36000950740134663,-0.4641639661767426,-0.17945502721181222,-0.43774445300522796,-0.9154572068914979,-0.9232988486515393,-0.4574605634614675,-0.3695114189923237,0.18559254086485202,-0.31741154082556683,-0.620770538399467,-0.42551504546453733,-0.4214036753361672,-0.3079118180892873,-0.5003830688187187,0.07182770578630049,-0.32079715689832344
Algeria,2005,Arab States,-0.38762496567022725,0.42670712735527133,-0.46562512101056797,-0.1575624306510158,-0.4348513902619293,-0.8849095850750726,-0.8254751718587551,-0.45696170417720394,-0.37249814498160033,0.232080340643871,-0.3038711187784043,-0.6377441335272677,-0.42211072635896785,-0.41698625333702555,-0.30828187338833457,-0.5003830688187187,0.10032605769898345,-0.32079715689832344
Algeria,2006,Arab States,-0.38506471354708577,0.293869987902692,-0.44623101926151204,-0.1618668973312238,-0.42969233142781565,-0.9222291885524705,-0.8637168612497271,-0.4547791948085511,-0.37161401465144134,0.22095597767069258,-0.2938328670599981,-0.5847355881173625,-0.420373217487769,-0.41706406330425394,-0.30847638963526963,-0.5003830688187187,0.09736670992042969,-0.32079715689832344
Algeria,2007,Arab States,-0.38176355402626305,0.24057645073921358,-0.4336535297771124,-0.16347527501146666,-0.42492115318672924,-0.9226766482047548,-0.933984925088053,-0.4457997276918078,-0.3608038496902536,0.2140662154659884,-0.2857204971345148,-0.55702951593972,-0.4177669541809709,-0.4145809697886672,-0.30816563807004405,-0.5003830688187187,0.09836987865892252,-0.32079715689832344
Algeria,2008,Arab States,-0.37800698334872285,0.40921243498912,-0.4077763638359805,-0.16909146343673104,-0.4239438570285571,-0.9188081419617867,-0.9041532127182949,-0.43556531768808904,-0.3413901307599557,0.21574422308159202,-0.2852521302427046,-0.5699194555506225,-0.41458791208766715,-0.41237635405052947,-0.30816801021939694,-0.5003830688187187,0.07871613112395105,-0.32079715689832344
Algeria,2009,Arab States,-0.37375161290938497,0.2580026745171557,-0.3695386140849016,-0.1915225453975032,-0.41610078521427524,-0.9153278801854786,-1.1040445238926515,-0.42749782770039,-0.3418804887581951,0.18988022685764533,-0.27463465973381285,-0.48818806080658395,-0.4169389413326961,-0.41561843601837906,-0.30947032021412085,-0.5003830688187187,0.03014604470192451,-0.32079715689832344
Algeria,2010,Arab States,-0.37339753521631075,0.18575688973605461,-0.40024537268381566,-0.18823509739430003,-0.41410593836603604,-0.9307257130304535,-0.8997602813434076,-0.4266482079818787,-0.31868506950814157,0.19940919899816484,-0.2763474598306097,-0.5039929391901959,-0.4078260068737536,-0.407471595940852,-0.3097953046754636,-0.5003830688187187,0.002500386216960344,-0.32079715689832344
Algeria,2011,Arab States,-0.3674299260005857,0.3219936126363711,-0.35739170557751543,-0.2001068663453222,-0.4103386302277145,-0.9095540396004989,-0.8809434069470974,-0.421059425062864,-0.3274372168100516,0.17812264929453836,-0.25708933331920175,-0.4915779848813843,-0.39880653840926167,-0.4011894649025178,-0.3099613551301643,-0.5003830688187187,-0.015422895244110987,-0.32079715689832344
Algeria,2012,Arab States,-0.35864354804581855,0.35374525347032615,-0.2907014164772573,-0.20586411424553636,-0.4012257910277965,-0.905605511904103,-0.8589925139945641,-0.4093596159116211,-0.34861919640066746,0.20444474998396006,-0.2220071803106312,-0.4254176124277731,-0.39115670624806653,-0.39423707607630376,-0.3099732158769286,-0.5003830688187187,-0.05510657859098876,-0.32079715689832344
