country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
China,1990,Asia & Pacific,-1.2551894985559684,-2.348237841410375,2.5040732912955357,-1.2775767895888284,-1.186377849337706,0.2521123651453236,-1.5169944450999369,-1.3815381743729858,-1.2474359721057897,-1.021684813364669,-0.8528914688810215,2.8138248300893762,-1.131125324797878,-1.1292244963684008,-1.2610223088581782,-0.6264630428919176,-1.6669152219478747,-1.2667102497608727
China,1991,Asia & Pacific,-1.2136558826959372,-0.904354658068213,2.291557484141104,-1.268632907813982,-1.2160869065145667,-0.28175130529301723,-1.4016609091789491,-1.3140437603096529,-1.2046874976102204,-1.0076866007471568,-0.8526796362901171,2.1959856439786827,-1.1066930971451898,-1.0924673513954062,-1.22081706981657,-0.6264185836580479,-1.554901075928202,-1.265869917636301
China,1992,Asia & Pacific,-1.1804405229317498,-0.8221919862391583,1.8105402463279423,-1.2420847426239638,-1.1832956812894404,-0.5260923263738744,-1.3057472971225983,-1.2565058311518666,-1.1644787930452758,-1.0127769872358843,-0.8527853364413358,1.7354223061752225,-1.0735517646552168,-1.0608606776309881,-1.185176058632403,-0.6241345010248531,-1.5088193069960572,-1.2349279636732986
China,1993,Asia & Pacific,-1.119212245906946,-0.6608367394081543,1.5138176269691055,-1.197763582673738,-1.1241414032030541,-0.37708737052008795,-1.22956829104141,-1.1537193579707554,-1.1186009591709007,-0.9950337145133381,-0.8433888310430127,1.4292465475506475,-1.036993379831754,-1.0258383656124752,-1.1304597312856317,-0.6242490080439201,-1.3804993042773175,-1.1968643876912792
China,1994,Asia & Pacific,-1.073870590645281,-0.6530786325857486,1.1813602979395512,-1.1162493053771922,-1.0745450138348838,-0.387237698043924,-1.1188979704306963,-1.1539345957894946,-1.1205187446287195,-0.9806175681643088,-0.835328532159908,1.1266487014850504,-0.9980427982592176,-0.9851114271730687,-1.0648440466879663,-0.6241055455684116,-1.3426330181321715,-1.109614399280219
China,1995,Asia & Pacific,-1.0058751588580073,-0.7470482649348196,1.0248940705838032,-0.9961133268620688,-0.9936820733378177,-0.07694782191640465,-1.1090486169073746,-1.0558972409315313,-1.0450772112812796,-0.9735635934631717,-0.8324121812716675,1.003226887384688,-0.9635042113070729,-0.9600133509873064,-0.9619015784711504,-0.6236707441738449,-1.1774058973094061,-0.9786401572498314
China,1996,Asia & Pacific,-1.0080062177552367,-1.2941636238827838,0.6521902379854262,-0.9554161672634981,-0.9609050952684135,-0.5350432248714743,-0.9447096612147128,-1.0086907270732244,-0.9911718903047506,-0.9341690172473794,-0.8248607584573014,0.7637745814005594,-0.9321490061469626,-0.9265533799609436,-0.9602567825026802,-0.6229493301356116,-0.8733913312321843,-0.9394856913996761
China,1997,Asia & Pacific,-0.997533434426488,-1.101957002117135,0.37496069057927256,-0.9715811856645616,-0.9616519895577278,-0.5459984594560819,-0.925135618263325,-0.8969336970595009,-0.9195659278729481,-0.8871026715309844,-0.8129930605527106,0.4711185508123167,-0.908024148464389,-0.9083639042664848,-0.9696878851989658,-0.6198071595070354,-0.7313093522712653,-0.9814107476834815
China,1998,Asia & Pacific,-0.9551098374210004,-0.47166316704400696,0.2525979822948467,-0.973613237040219,-0.9551650752836595,-0.39475700902510635,-0.8791419021012411,-0.8631760752946696,-0.906303404791343,-0.876630979325688,-0.8071383708200062,0.2579633379507804,-0.8943195229421507,-0.891601948260285,-0.9874234185487655,-0.6149123102451537,-0.7120425855322153,-1.020182631132886
China,1999,Asia & Pacific,-0.9873848182031528,-1.3730948062236317,-0.06837611470057024,-0.9818507642503673,-0.9320139103231075,-0.7750560150933367,-0.7292859525740624,-0.7910297470843937,-0.8191672675541631,-0.8417449511429412,-0.7932454037805,0.10072211791280314,-0.8629205316508958,-0.8632894744431479,-1.064748960158466,-0.6121077246602854,-0.7551634444243752,-1.0509106473302294
