country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
India,1990,Asia & Pacific,-1.3233568335697596,-1.9688539352545842,0.622557996891896,-1.4288228587122387,-1.3283492190420156,2.5164593832361595,-1.6151869698948962,-1.4347924042581635,-1.2874230048377864,-1.8606242086097367,-1.6161010347826001,1.5607341871550537,-1.2954947154407894,-1.2096577122378767,-1.301023259644743,-0.8453084167345813,-0.9702569501152967,-1.3886136693797095
India,1991,Asia & Pacific,-1.2563752753440125,-1.729200324450294,1.2850729468679993,-1.3289164298714873,-1.2664280457053014,1.9296913439717678,-1.4486770276493723,-1.3974049158938768,-1.2872618999758665,-1.671190607136647,-1.5203572580398277,1.7647366693847975,-1.2330548463427555,-1.1480506921276157,-1.230057322976859,-0.8447393016273205,-1.5860204411130376,-1.2769815601401224
India,1992,Asia & Pacific,-1.2006296385909503,-1.5684633605559855,1.3152085103650242,-1.297019515585268,-1.2100410147093759,1.2249108162991826,-1.3339161799592811,-1.3551299226173263,-1.257430649710392,-1.4817570056635572,-1.3834956164131276,1.6470382364796856,-1.1922369356557159,-1.1011835171110862,-1.1747007811661236,-0.838571711598369,-2.5359312076395866,-1.219201246167412
India,1993,Asia & Pacific,-1.1466333714549752,-1.3421892030244265,1.3718676683356046,-1.2585297761546457,-1.171607397779722,0.8019040280663,-1.137421245977991,-1.3178001606890113,-1.2457505472212098,-1.456422268897234,-1.3590966197947594,1.4973782495836734,-1.135926425869164,-1.0443550155587435,-1.1205187309746822,-0.8379880353287337,-2.46630424045963,-1.1792829740802195
India,1994,Asia & Pacific,-1.0767522267817589,-1.1301200845908135,1.3544015763304993,-1.1522700296756665,-1.1088610029579564,1.3902195813037055,-0.9899299550787933,-1.2115642763559047,-1.2164160369466546,-1.3435536532070314,-1.292029201659319,1.3243315956294026,-1.0663443756449589,-0.973154481091746,-1.0620019544778583,-0.8274423008565966,-0.8583564671475096,-1.1259568654890875
India,1995,Asia & Pacific,-0.9768967359474091,-0.8920809512432509,1.4729799313953418,-1.0074369239772314,-1.011166955003181,0.0035141990419044586,-0.8661436531255715,-1.0520853759116395,-1.1822752316248268,-0.9370909936684518,-1.0893976557880747,1.2163461481568225,-0.9889314254605941,-0.9121158979855123,-0.978895697157315,-0.7946524645461752,0.21713150804289053,-1.020248623305204
India,1996,Asia & Pacific,-0.91556028047252,-0.7341217784992505,1.1962809895189142,-0.9548846528890114,-0.9562078539824219,-0.5128314130467682,-0.8764175301742642,-0.9658998070060093,-1.125324662936194,-0.8927603427845098,-1.0473466608410669,0.9553015514868923,-0.9445531482061538,-0.8959230427959253,-0.9138827523632758,-0.7575225958620015,-0.4517847123645492,-0.9226235203290072
India,1997,Asia & Pacific,-0.8563942186989382,-0.6864343584707168,1.2468322204207658,-0.8518500558548504,-0.882707493467133,-0.4241948979672664,-0.8194360031066781,-0.8875457912471956,-1.093989767292802,-0.5284821192819948,-0.7938096850330216,0.9505791395910149,-0.8752618374205182,-0.8373101962095508,-0.8638518442699075,-0.7524958527663786,-0.08841897739414988,-0.8575570759795774
India,1998,Asia & Pacific,-0.8251564513736249,-0.6965287670700281,0.839208671401743,-0.8642018926643401,-0.8364525989547416,-0.18960663640604186,-0.6846501533811093,-0.8030342889847422,-1.046181899518115,-0.39717836608903717,-0.6749094860889213,0.737391625834245,-0.8011065988142235,-0.7866524279094819,-0.8543247580728801,-0.7506816229965123,-0.3824685798595035,-0.8773409831312587
India,1999,Asia & Pacific,-0.7206119009733399,-0.5525540345665129,0.7049707956501218,-0.792214226914222,-0.7225976763345144,-0.6848093186329155,-0.6944260083901759,-0.6466533739376207,-0.8210244295800991,-0.1638652620115925,-0.6581248730206989,0.5744709262393013,-0.7047383904791865,-0.7579782767918971,-0.7544805851989317,-0.7270446071951376,-0.39148278543190745,-0.8325784800643546
