country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Indonesia,1990,Asia & Pacific,-1.6059366168062768,-1.652739198105233,-1.0690864571634733,-1.4609553609679093,-1.8621965406375616,1.8546971155832614,-1.3571416541816137,-1.8782330795549944,-2.5078047129196066,-2.8776702510110495,-2.3335284234329703,0.8524047585035738,-1.3738413430873055,-1.3157829768961948,-1.1194219271777717,-1.0577213786631698,0.9847161668164383,-1.1601933833372542
Indonesia,1991,Asia & Pacific,-1.5073793116663277,-1.4790226344799189,-0.9449764953720771,-1.3099189536329816,-1.7389842552109303,1.7420422841833214,-1.2912135399904832,-1.7804635343608375,-2.331528896956915,-2.075779162189758,-2.0781315665793625,0.7292497152014062,-1.315479429098856,-1.2717013258409269,-1.0996503997785372,-1.6868705841707283,1.3871879792824249,-1.1448390279727456
Indonesia,1992,Asia & Pacific,-1.446295770044686,-1.4470307560141173,-1.0675111130546002,-1.26615125008099,-1.62703591508482,2.7685941658411983,-1.2232737581484536,-1.6671905327144636,-1.6725778467400223,-1.7175320981202935,-1.9008117068500803,0.5934117017060826,-1.2633621025262478,-1.2236448734381584,-1.093878430192077,-1.8832826143796584,1.1277143892748227,-1.1007249198439353
Indonesia,1993,Asia & Pacific,-1.3315072705421964,-1.4976004245835053,-0.8970124618330987,-1.194848813540438,-1.3564253904874284,1.4974819848416001,-1.1555216270125557,-1.417459180132817,-1.5995035084863976,-1.4994447956206465,-1.7414885181641064,0.7905364313831074,-1.2148166799555002,-1.1684807033480191,-1.0946885311866679,-2.091850437336733,1.1945845116755285,-1.0688852076017152
Indonesia,1994,Asia & Pacific,-1.2462078731083595,-1.198289016226383,-1.0150070887002995,-1.0579722524416446,-1.3524034201167747,0.20898063851184673,-1.0566978109623437,-1.388337822742843,-1.4802769565989051,-0.6529876766027422,-1.0832850997818082,0.344378498380029,-1.1404061763083397,-1.0897023488635267,-1.0696007160104306,-0.7366360348770108,1.4491788972422932,-1.056903660321222
Indonesia,1995,Asia & Pacific,-1.0714668807622574,-1.1354068947962848,-0.7652732385588394,-0.9852991209183461,-1.041011629616269,0.4612433423877275,-0.988597622119091,-0.973236268004221,-0.2780758917333577,-0.6685164829286829,-0.7365783870329228,0.4599603839977926,-1.0425534915021124,-1.0195912695395566,-1.0371966762267941,-0.7704675921535589,1.4296620794789443,-1.000651482381074
Indonesia,1996,Asia & Pacific,-0.9290015573736458,-0.8798745679490851,-0.7160300320250067,-0.900608283779248,-0.9200269732360866,0.1695366084927269,-0.8911108779398322,-0.8228806745734922,0.5619584966997546,-0.222430179730456,-0.5731571996274181,0.22095449440911127,-0.9360083410130343,-0.9204558595426908,-1.002210439522899,-1.028890530308351,1.4095822765878063,-0.957723916018347
Indonesia,1997,Asia & Pacific,-0.7735931087021993,-0.5942826601900844,-0.4122025484031109,-0.8495984847496146,-0.8038385983763942,-1.4545589324352743,-0.7682433814478594,-0.6060417904107361,0.1501140903141951,0.1314327042390214,-0.25357725545119736,0.14537649146574252,-0.8497955671499345,-0.8165037631906943,-0.9482121451021988,-1.0112668308832613,1.3438381244426785,-0.9347706442370065
Indonesia,1998,Asia & Pacific,-0.7572890450682501,-0.40897776086523463,0.9785121941431647,-0.8344795671121589,-0.8820025745118265,0.24296698489441693,-0.7168608831764974,-0.7233652446437253,0.18857426834241992,-0.0731722822938442,0.1755594564902158,0.8798450195303364,-0.8071949917990676,-0.8055040525172289,-0.901909810130112,-1.1473042280420072,1.2501323776173676,-0.9024563152883529
Indonesia,1999,Asia & Pacific,-0.6066356220026098,-0.24396586347480695,1.6513281089832614,-0.7433957291516267,-0.7158662663142787,-0.2707778675659659,-0.7029255346337914,-0.4459790778500164,0.5122807667466325,0.5514532865661961,0.0857070593824727,1.1379781505235684,-0.7088177616499095,-0.7216743879869545,-0.7959131581191075,-1.3240577289107534,1.0734801552978237,-0.839453472066275
Indonesia,2000,Asia & Pacific,-0.5949832762935151,-0.7053853544027335,1.203825114492051,-0.7479174237923991,-0.4086471029948319,0.30261879644411815,-0.6061201332450066,-0.39066944942589305,0.9863024609444849,-0.07715226621007638,-0.4073429619958311,1.3637248513996283,-0.6162729761471469,-0.6136232777453476,-0.6817142335378699,0.7006696767434667,0.801120461254164,-0.8110623046165439
Indonesia,2001,Asia & Pacific,-0.4497527995217275,-0.44803059132064876,1.5089367707450763,-0.7038502910608948,-0.31863423742329006,0.7777773520929273,-0.5378326491363162,-0.26936537799571364,1.14430969234377,-0.3945460822446175,-0.16571662605608994,1.2701514098331166,-0.5172463089067414,-0.5397030137966895,-0.5867552075781665,1.433467353897071,0.5744876703675815,-0.7392285611864668
Indonesia,2002,Asia & Pacific,-0.40014762413517524,-0.5362933110009329,1.2711048070316415,-0.6384777074421887,-0.1711470351204575,-0.011102463031504813,-0.47990915248980026,-0.2790026617362804,0.48055111987334925,0.48671933738218637,0.08438257010510919,1.212513105505231,-0.43028418455374057,-0.5042886379019439,-0.564123011041783,1.2431289629216198,0.2810473109833817,-0.6961646687484878
Indonesia,2003,Asia & Pacific,-0.17442212908915114,0.03275133083413257,1.7450941315156998,-0.5691108436178635,-0.16258599042199287,-0.4224249647595716,-0.47194530650887306,-0.20504698433584312,0.9048950841180796,0.9380893675522292,0.19236397788011203,0.9111298554191182,-0.3708731798794299,-0.45798496248227466,-0.3105107684226657,1.051614160447031,-0.04442064678169917,-0.6205743845781296
Indonesia,2004,Asia & Pacific,-0.12296866085042292,-0.25068926329064667,1.432195243620809,-0.46595528913430867,0.11282780603320552,-0.43244200630684076,-0.35618759245640774,0.22863078398966846,0.8949595381274557,0.4999608473144587,-0.01380009342301581,1.0055828666030537,-0.28108850201446905,-0.32471870619246074,-0.3912423956648662,1.0198348741250651,-0.24978511061847755,-0.48621746374630614
Indonesia,2005,Asia & Pacific,-0.09332680386839547,-0.2767618759514054,0.9782671660974628,-0.31210467842419354,0.18205218087693784,-0.4327501496662552,-0.22148769449857725,0.16347436565670515,0.2116503751593525,0.5727862085943903,-0.14096946175599492,0.7427322491174754,-0.18909324020430043,-0.21971770392931803,-0.2604364006945151,0.6621769000317852,-0.3130896605431867,-0.35076488519856736
Indonesia,2006,Asia & Pacific,0.05238380763402558,-0.07852664385589984,0.9755407589397561,0.03846416440382541,0.2857524328395186,-0.8540850533497129,-0.1928019160850905,0.003551323874833808,-0.03353325977057152,0.4623267968901362,0.1345442366886404,0.5460822174128941,-0.11986574411228776,-0.1409117466576901,-0.051835394587355414,0.48853640657470115,-0.5117608567495863,-0.0338067602373602
Indonesia,2007,Asia & Pacific,0.19357684503931713,0.27802826226386357,0.8510481644345379,0.08632952675695925,0.2669142207297939,-0.6522622748138847,-0.06438646120292497,0.0951753547996438,-0.2771143872826521,0.10576176828940204,-0.5372908682744074,0.15049576822061236,-0.006476525815447999,-0.02775412079603051,0.2508132738605928,0.4248875787823645,-0.6698345698520962,0.04453529100753166
Indonesia,2008,Asia & Pacific,0.1435003669115468,0.04504905077707487,0.1291449491495891,0.13815527247290932,0.3477363197934131,-0.5233834319631421,0.12262141640728319,0.1976937064746598,0.3494660130938194,0.3905283742638944,-0.2554285532438108,-0.08482709898629855,0.08313330360186917,0.07156070731721531,0.09337520869306536,1.0448146110703167,-0.5722504810353508,0.04420204949024866
Indonesia,2009,Asia & Pacific,0.28033581188361373,-0.007970971117696915,0.13709593034652062,0.3951457609844669,0.6104293109746474,-0.5492784458658468,0.18129812369665912,0.20125531133530422,0.7250937518361354,0.7973184532244897,0.5681861661436579,-0.03500020923637028,0.17615267774823581,0.1715242009281435,0.12041232938753715,1.4088380370819247,-0.6341788450921315,0.2586934570008348
Indonesia,2010,Asia & Pacific,0.5027224624450781,0.26374909334621455,0.2325021087865176,0.6617006908960373,0.7643389379499961,0.27069459066111773,0.26450170427414177,0.18051420067625823,-0.17198990067217398,1.9307186909386704,1.188804553045907,-0.20198467153334154,0.33827465623829805,0.32670707020348205,0.3933151019403504,0.995903524111776,-0.6202918786066716,0.42911619840769455
Indonesia,2011,Asia & Pacific,0.9011892874039255,0.9772538748947524,0.763482149565412,1.1898143395846568,0.8508706486789354,-0.9372681741160401,0.316388010952075,0.965533813195916,0.19690730691520042,1.3837913310842689,0.8585184526528223,-0.43379844939324363,0.5089017627887358,0.47432677580371513,0.709077280238239,0.5967002810470586,-0.7611632683600759,0.9892446978214176
