country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Iran,1990,Middle east,-1.6286444485985305,1.0936190780403792,-1.9500693655113894,-1.7572145267261876,-1.5643540268236227,1.2066592325229948,-1.1556724681701052,-2.0409662124188865,-2.491599578441416,-1.297198053085853,-1.3791169438123125,-1.806227683858995,-1.4372951896874284,-1.37506345564547,-2.2962874821812056,-0.9890578719373901,-1.1696325711136983,-1.404981972618665
Iran,1991,Middle east,-1.4943098204094472,1.0810508267561607,-2.0317098285215214,-1.544224106539051,-1.4463456769741143,1.4622690555127213,-1.3310167918684135,-1.8105535408660043,-2.1045482882128557,-1.213145174531286,-1.3011786122772282,-1.8673550939310466,-1.3786908332372265,-1.3143053696736473,-1.1799989988237956,-0.9890578719373901,-0.8569497998044262,-1.321690281122028
Iran,1992,Middle east,-1.3751571495180424,1.9186968961284685,-1.7083276315623286,-1.300624272359564,-1.3828756692182278,2.495340382383405,-1.5706476996091272,-1.4435312311406907,-2.0617298963495916,-1.2234348702264695,-1.2765874513931899,-1.7624504958490421,-1.325615629843831,-1.2460625919516723,-1.6279994766235544,-0.9890578719373901,-0.2535124452080963,-1.9771596794216504
Iran,1993,Middle east,-1.3651329832503252,0.16898618041477534,-1.7304869302419867,-1.082264955457785,-1.2856150264063224,2.1407190071342668,-1.0650176380574523,-1.4462330286818021,-1.6210038975806247,-1.1675386099731773,-1.210198232920893,-1.4646504251260888,-1.2378024142074617,-1.1907866521194295,-0.8508052775676191,-0.9890578719373901,0.1275104308771816,-0.32218998316238234
Iran,1994,Middle east,-1.1650211211035573,0.6803243625275568,-0.8261261339270539,-1.0236507023819863,-1.1350653868446074,0.7753780161025592,-1.487253647196957,-1.0769310772811762,-1.200641921398596,-1.0690599758064774,-1.1068986044497762,-0.8489047921276885,-1.1716158858439174,-1.1421290545178715,-0.831004151477022,-0.9890578719373901,0.04865963447398594,-0.4018602967678606
Iran,1995,Middle east,-1.1242629122886516,0.12278777445304591,-0.8190312784065085,-0.9169907876594865,-1.064412779998436,0.589588108530243,-1.3882059711057624,-1.1553676371465584,-1.10657632037615,-1.0075885305856453,-1.0406194074562178,-0.7221733503072285,-1.1354197636176084,-1.109150962973558,-1.0958442129387578,-0.9890578719373901,0.16460698956138242,-0.5032588777202885
Iran,1996,Middle east,-1.0733743082113107,1.802572032080418,-0.968158598773725,-0.957837963955581,-1.1205551324181577,0.43101217147698173,-1.0562485021794896,-0.8934621380050993,-0.8819651970745236,-1.0101088711819652,-1.0449877400645076,-1.1843900408901515,-1.066760280722328,-1.0205560727696705,-0.9077335150780854,-0.9890578719373901,0.0737616391836287,-0.7350270627544095
Iran,1997,Middle east,-0.9746048054746054,0.2618320555399949,-0.6299647126794906,-0.9116888928391568,-0.9380168269746566,0.05438491709580007,-1.0725630527558603,-0.7999968293172867,-0.5659182637467778,-0.9419063461041196,-0.9693749800979398,-0.6015542760510983,-0.9862959394019671,-0.9604370970990943,-0.8136781661477498,-0.9890578719373901,0.03093572310264656,-0.8943676899653676
Iran,1998,Middle east,-0.9502800323523508,0.12333466140465607,-0.6924235115189885,-0.8571855321948582,-0.9064880615692261,-0.04739877108317941,-0.8940045691301625,-0.8700747030398561,-0.3316645734586211,-0.9044244741646825,-0.905389946295824,-0.6203973112194202,-0.919817789041756,-0.8961710056959857,-0.13796473830612432,-0.9890578719373901,0.06988710972105688,0.0254622943887991
Iran,1999,Middle east,-0.7731016116460284,-0.8143080565075911,-0.1069471331863278,-0.804320140468494,-0.6717526572718261,-0.8970998172084678,-0.5765697895547426,-0.579378173850932,0.1298974616658553,-0.7883608643034181,-0.7757239226526075,0.08934726428163092,-0.8125825484273639,-0.8071784468602115,-0.4832608219291012,-0.49759986861440053,-0.05784870734820784,-0.6625995049312468
