country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Malaysia,1990,Asia & Pacific,-1.6721088948045177,-0.7665644961808914,-1.5183098225325167,-2.203368986820619,-1.7786743786440795,1.6412692788149223,-1.9742006135936538,-1.969302082548165,-2.091877687892973,-2.021441188464294,-1.869333873714776,-1.0044707583423502,-1.5316767201026227,-1.5431519346126596,-1.0299741096487112,-0.4442569639102726,-1.3016508532156994,-1.0273041455641319
Malaysia,1991,Asia & Pacific,-1.5033606110551858,-1.2640211277135514,-0.38973144750787525,-1.9278941884881882,-1.552931976944978,1.459119036602561,-1.8858871734970575,-1.7914278997565571,-2.0657908002675636,-1.8170997501644257,-1.5888174497905871,0.38603260670061484,-1.4566853197956564,-1.485740719087604,-0.9986813406783445,-0.4442569639102726,-0.8324813476883226,-0.9517327331158626
Malaysia,1992,Asia & Pacific,-1.4531100710152156,-2.1621437780511754,-0.8116109769783617,-1.837656742645625,-1.4303787543587367,1.0281994695860983,-1.6993378941455228,-1.6773542183975807,-2.1947555545847286,-1.7698872793703504,-1.509368649745755,0.5636507139730956,-1.3980028524174393,-1.405675221218646,-0.9883061980250677,-0.4442569639102726,-0.5328436802926881,-1.0502303043967527
Malaysia,1993,Asia & Pacific,-1.360266647417801,-2.0775469213111784,-0.9086110976591909,-1.7008100084045683,-1.3212697300155687,0.816902620077486,-1.63430147190435,-1.4512258588895206,-1.9667708535767492,-1.651473373983496,-1.5503167169875338,0.40599867174824567,-1.2830556268337978,-1.3422479307142967,-1.0240335037746573,-0.4442569639102726,-0.6609782091131897,-0.7657761114734921
Malaysia,1994,Asia & Pacific,-1.277548267824092,-0.8110088714385482,-1.1076759837163057,-1.5760830486202642,-1.3193387909299095,1.4800867564795115,-1.1414500337246154,-1.3430072868392349,-1.2986158515090447,-1.5990379997544055,-1.3319563380484458,-0.5870202093486948,-1.190567646986886,-1.210552289370698,-1.0038689120049826,-0.4442569639102726,-0.2115217080197381,-1.0018306357501086
Malaysia,1995,Asia & Pacific,-1.1631945478279588,-0.6639601083954298,-1.145933207234194,-1.1566718607919657,-1.1987122325240833,0.7317436918716451,-1.0988933585738816,-0.8663206289834053,-0.6242146932493408,-1.3787193069291683,-1.3558558276979884,-0.7081056329263764,-1.0556425087649066,-1.0894552801195263,-0.9845410252879916,-0.4442569639102726,1.0434081542438236,-1.006925337712913
Malaysia,1996,Asia & Pacific,-0.9952820534157798,-0.3386421926694971,-0.8665210004070512,-0.7608054498500175,-1.034523392246843,-0.1659526780313327,-0.9364274961222169,-0.6464511794260145,-0.4190100912945355,-0.9509108272013352,-1.1893741600406182,-0.6298763163377239,-0.9293702244245006,-0.9795679105758667,-0.9834533087195029,-0.4442569639102726,1.0477450152192878,-0.915220702382429
Malaysia,1997,Asia & Pacific,-0.8793279892739634,-1.8004304188192524,-0.8168568359236428,-0.4941988449023161,-0.7549088546374308,-1.0135875023287082,-0.5333615507171104,-0.39932518653506327,-0.7500563694705056,-0.6511383487387838,-0.9175007872092839,0.31322985049035457,-0.792218248806528,-0.8136793430804233,-0.9907326426778501,-0.4442569639102726,1.0268492305193302,-0.915220702382429
Malaysia,1998,Asia & Pacific,-0.8773174707660728,-0.6614774781592077,0.13266177484475186,-0.45668983099281335,-0.8703133415387174,-0.6877741567213785,-0.09479631202663932,-0.6739096230805651,-0.6751024951665128,-0.6244121263620991,-0.9456419850873277,0.503327337407517,-0.7322420949411151,-0.7608271843756135,-0.9762576452664239,-0.4442569639102726,1.0430138941551461,-0.8243651840457459
Malaysia,1999,Asia & Pacific,-0.7436349630831386,0.6432267846302997,0.39262874103709705,-0.555084792243538,-0.8452960962244374,0.19515454675401878,-0.21686120835274078,-0.6193965364134429,-0.5130698551269977,-0.5327815240950434,-0.6640645992560857,-0.03984673438158841,-0.6363396310870141,-0.6958723748335529,-0.9485627080225968,-0.4442569639102726,-0.09994610292373132,-0.8871998415870034
Malaysia,2000,Asia & Pacific,-0.5931853491373292,-0.4291136832809083,0.3659226199885082,-0.28500879064753176,-0.5699977670986581,-0.1733929847928293,-0.18747656938685509,-0.5685176555241297,0.06267877739436228,-0.1159008586812817,-0.31233956292758064,0.5764040316704189,-0.5510411548328803,-0.5735298500593246,-0.8761040504601971,-0.4442569639102726,-0.7930553388204767,-0.7954952062565194
Malaysia,2001,Asia & Pacific,-0.5032594785012098,-0.43229893606781056,0.9106796245209188,-0.21047246487755877,-0.4675092191879108,-0.20567480877107608,-0.1565526899507339,-0.4055840964857333,0.3628616955628059,-0.1961894050541342,-0.19031217500675268,1.0890001494444665,-0.512251768192201,-0.4830302221481541,-0.8074105656348736,-0.4442569639102726,0.04593012988730342,-0.6579382532607932
