country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Saudi Arabia,1990,Middle east,-1.3943519894973435,2.486804880640446,-1.5789843634338605,-2.1073853677807666,-1.5129681762050102,-0.38732405595715214,-1.327038636662357,-1.4345151499614373,-1.1420632526426708,-1.3400016855099857,-1.3400016855099857,-2.1511046251997823,-1.2629961336451134,-1.2865711447487327,0.0,-0.38732405595715214,-2.307381702824524,0.0
Saudi Arabia,1991,Middle east,-1.3465035378236543,-0.6924600201113488,-2.0971599705750323,-0.9094429802061643,-1.3337493267149156,-0.38732405595715214,-1.167854990991606,-1.3886542904917858,-1.3824861987437314,-1.3198936329724547,-1.3198936329724547,-2.086530849876821,-1.2173425381323915,-1.2443213884266258,0.0,-0.38732405595715214,-0.7350986779095995,0.0
Saudi Arabia,1992,Middle east,-1.2359631910867392,-1.8358244469877611,-1.8550089714704054,-0.7390536773994917,-1.156610420958723,-0.38732405595715214,-1.3724960923808114,-1.2555477926596879,-1.1914263805206775,-1.2150734293720278,-1.2150734293720278,-1.5722422176573498,-1.1395993031337337,-1.1701843948803416,0.0,-0.38732405595715214,-0.5480361540954757,0.0
Saudi Arabia,1993,Middle east,-1.1565142319503576,-1.2970687893422252,-1.4688143432782417,-0.807527433147148,-1.1013892789561885,-0.38732405595715214,-0.9376661177193021,-1.1784681678107785,-1.1198570549020288,-1.1716825185817197,-1.1716825185817197,-1.2630291918213783,-1.0554780621827466,-1.0803758960316143,0.0,-0.38732405595715214,-0.6547290764944623,0.0
Saudi Arabia,1994,Middle east,-1.0654295816054504,-0.984498848603036,-1.141176887152865,-0.9321478535224322,-1.022848421464187,-0.38732405595715214,-1.1176041468844957,-1.1435319795795553,-1.060352135415201,-1.077865521250605,-1.077865521250605,-0.9753896443543134,-1.0280840038301202,-1.03915905961959,0.0,-0.38732405595715214,-0.8522973203424993,0.0
Saudi Arabia,1995,Middle east,-1.0718267876937724,-1.2476638851932274,-1.1787900241425255,-0.9020888596221,-1.0138522445716878,-0.38732405595715214,-0.8079695216881296,-1.176533590612307,-1.1715273202076348,-1.0827144625051703,-1.0827144625051703,-0.9523097353748038,-0.9907855010626997,-0.9976978765621702,0.0,-0.38732405595715214,-0.812921949107849,0.0
Saudi Arabia,1996,Middle east,-0.9751166027041165,-1.3852487132161329,-0.9592070975195698,-0.841427068345747,-0.901759567226429,-0.38732405595715214,-1.2371520329186558,-1.0332231463804271,-0.6722723939477951,-1.0374154676846201,-1.0374154676846201,-0.6727389617735073,-0.9597224258731148,-0.9689649323967414,0.0,-0.38732405595715214,-0.7497021346501591,0.0
Saudi Arabia,1997,Middle east,-0.9564997525213081,0.2095378120801128,-0.9551002210377023,-0.899071799350018,-0.9807406465189227,-0.38732405595715214,-0.8853174807697833,-1.0197949046498591,-0.8131039077574925,-0.9961315722614734,-0.9961315722614734,-1.0583771345281385,-0.8985848188904315,-0.9154085903922197,0.0,-0.38732405595715214,-0.8395993954861004,0.0
Saudi Arabia,1998,Middle east,-0.8445937624197735,0.31253805374720367,-0.7144354862741964,-0.7207051412644498,-0.8740217723824425,-0.38732405595715214,-0.7098682112176713,-0.9171485144721283,-0.7628756033441367,-0.9292973738236235,-0.9292973738236235,-0.8295155423393111,-0.8313163418045407,-0.8203355320017788,0.0,-0.38732405595715214,-0.6268712121348725,0.0
Saudi Arabia,1999,Middle east,-0.7993109030740548,0.5397033869483849,-0.29400247657406786,-1.1772043605625149,-0.8427697700669943,-0.38732405595715214,-0.53437007680205,-0.826071654598983,-0.836463674211934,-0.9321164537948715,-0.9321164537948715,-0.4455474358944842,-0.7895693937529323,-0.7647910968369899,0.0,-0.38732405595715214,-1.227569059724047,0.0
Saudi Arabia,2000,Middle east,-0.7300256907429106,0.3697158213021471,-0.402431873192303,-0.7562702705387675,-0.762399217341332,-0.38732405595715214,-0.5958530062652488,-0.7516852646734359,-0.6536710984377769,-0.7907010144465135,-0.7907010144465135,-0.5163798068427509,-0.7213598993953865,-0.7253735402683362,0.0,-0.38732405595715214,-0.7215913235802828,0.0
Saudi Arabia,2001,Middle east,-0.699987914723531,0.09471394205857378,-0.2110422071370357,-0.9049912714629337,-0.7135843600345995,-0.38732405595715214,-0.22835660186506032,-0.6347002434952683,-0.6738585509292696,-0.7339956778049606,-0.7339956778049606,-0.2448950861640122,-0.6502418061981793,-0.6278348020925358,0.0,-0.38732405595715214,-0.9368827002624169,0.0
Saudi Arabia,2002,Middle east,-0.5685887065944328,-1.5068951817704062,0.4824299562653288,-1.2731544437822047,-0.4557362309954892,-0.38732405595715214,-0.4837485593270248,-0.47834088639526606,-0.6818854665627917,-0.4722221154878618,-0.4722221154878618,0.9772770336737756,-0.5736011772956023,-0.5646934075890715,0.0,-0.38732405595715214,-1.5139047357687438,0.0
Saudi Arabia,2003,Middle east,-0.48671334034940716,-0.5259033008151998,-0.00016239820099706005,-0.37115646221506415,-0.4486838295865783,-0.38732405595715214,0.0320028647826281,-0.338368536152906,-0.29664158151680964,-0.41504043731283485,-0.41504043731283485,0.14894233249220767,-0.46653432327617667,-0.41400927403964255,0.0,-0.38732405595715214,-0.3418339958696491,0.0
Saudi Arabia,2004,Middle east,-0.3561039277326712,0.96689208491311,-0.10899942857906733,0.08372031703041229,-0.43295954201538506,-0.38732405595715214,-0.38035966998480375,-0.14646606464176767,0.07331751807132818,-0.25324004662404537,-0.25324004662404537,-0.3609611782557093,-0.4011859016334609,-0.38968567615704147,0.0,-0.38732405595715214,0.19692563392728923,0.0
Saudi Arabia,2005,Middle east,-0.2339503742350007,0.7418182056808469,-0.11162238450950607,0.440182366812808,-0.294512217739908,-0.38732405595715214,-0.3345021691039809,-0.06358270819744323,0.2521206687102618,-0.051819039962822645,-0.051819039962822645,-0.30719190620014536,-0.24673550115746262,-0.29084745809436235,0.0,-0.38732405595715214,0.5964128050402963,0.0
Saudi Arabia,2006,Middle east,-0.09239094394659844,0.42954442201761234,0.10998566923136115,0.36933962826691763,-0.1267457240433225,-0.38732405595715214,-0.2567981335770146,0.09990803151653306,0.22352177768064743,0.059637436046058694,0.059637436046058694,0.0042054349269610375,-0.19626275658687048,-0.18125798763425938,0.0,-0.38732405595715214,0.4654201353397548,0.0
