country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
South Africa,1990,Africa,-1.5234928391912808,-0.8291573680356519,-0.25157191011775365,-2.2889264473442137,-1.7244262311790581,-0.5155331847683033,-1.7269737966179646,-1.1762804684004389,-1.6868931115775978,0.5776820188656294,-1.0467955140443517,0.397277968861223,-1.8733260985038152,-2.025698319978647,-1.601927176629142,-0.4876726124563949,-1.0101618566163857,-2.1347958708194668
South Africa,1991,Africa,-1.5814979509400293,-1.2969212359037994,-0.004423564564238791,-2.1178023987172208,-1.5744840487164826,-0.19851955943409874,-1.5736915422030469,-1.18780640686994,-1.6406964074468542,0.6415905986539832,-1.0284849838704317,0.926008023291542,-1.839429941411157,-2.046577256309884,-1.7317532510406564,-0.4876726124563949,-1.0101618566163857,-2.0075915426605984
South Africa,1992,Africa,-1.622862170677483,-0.9106532615137551,0.1470098061463496,-2.252762761573415,-1.8361684988054572,-0.786563703047884,-1.9466146124774142,-1.235062754594896,-1.9475745134582214,0.6760073391249476,-1.0186241988714757,0.6887016399651852,-1.8464579519643136,-2.0265117850305137,-1.8079295277049197,-0.4876726124563949,-0.1776336184258911,-2.149761085896981
South Africa,1993,Africa,-1.5144048790844924,-1.2672840780955548,0.4381671118262961,-1.6854381931815832,-1.4837956653652873,-1.0123720343524745,-1.4445762896675967,-1.398500562092427,-1.623537631626864,1.2118585856842266,-0.8650967624717019,1.1610626435996845,-1.6407176076294285,-1.817838631011273,-1.624729489981873,-0.4876726124563949,1.031422683005532,-1.6329373831950353
South Africa,1994,Africa,-1.4424382277414296,-1.546408391641979,0.255002092698564,-1.3070176534705367,-1.2119524156225128,-0.6782332809011508,-1.2084790702810675,-1.2470497306031776,-1.327218772273953,1.2118585856842266,-0.8650967624717019,1.3049566808034654,-1.423533423101792,-1.6040135316635449,-1.5393127597210399,-0.4876726124563949,1.0075038921029322,-1.3489350140615133
South Africa,1995,Africa,-1.214577925430987,-1.4722111047964705,0.7329809312399843,-0.8430658235577332,-0.8861361637974251,-0.9467141686634818,-1.5755301220626898,-0.9234013783795765,-0.7797878283246439,1.2118585856842266,-0.8650967624717019,1.523853625569312,-1.2691348726751432,-1.3930936646439118,-1.134341835680309,-0.4876726124563949,1.3477679820399184,-0.9596149438199864
South Africa,1996,Africa,-1.0679753574377686,-1.3883043922145888,0.6520288131437643,-0.8277073529551505,-0.7014976177011254,-0.4692519818703589,0.17666046611726618,-0.9333136854633476,-0.9665545035960781,0.6956750627902868,-1.0129891738275905,1.397276715652816,-0.8007770543517283,-0.3806008300875882,-0.8667824330333512,-0.4876726124563949,1.4403568500499826,-0.9539655751282256
South Africa,1997,Africa,-0.8573916661181568,-1.0535476908338952,1.0645926566163495,-0.2298583261788026,-0.5754168045737847,-0.16613644983855844,0.36727591416415395,-0.816901706921383,0.9552283882428461,0.1966870397656939,-1.1559548801893136,1.3366293550221786,-0.5319090046057461,-0.0826789389492959,-0.5903043836314942,-0.4876726124563949,1.7513011317837823,-0.4409954153087391
South Africa,1998,Africa,-0.7487130449631053,-0.9858082622406072,1.4037939135561306,-0.1135632972120158,-0.4487968794041655,-0.3039651296387071,-0.06368827512163873,-0.8484827783278163,-0.7616391231304234,-0.4571509040250867,-1.3432868384065522,1.4715320461629722,-0.6870227950444416,-0.28922158926126845,-0.45459384125798563,-0.4876726124563949,1.5823264476654146,-0.33234795384598764
South Africa,1999,Africa,-0.9877393016305536,-1.4178136032579378,0.1038946711460737,-0.13006832231632093,-0.5540294285230062,-0.5006176254075321,0.2423311542579104,-0.8399535838603854,-0.2521554718599392,0.6194685925223731,-1.0348231885703632,1.0969655467682313,-0.7604748345424764,-0.390013782830613,-0.7859169709618731,-0.4876726124563949,1.8014534352892333,-0.3122571526044249
South Africa,2000,Africa,-0.8974943379704139,-1.2021077218185243,-0.19497743453423902,-0.21109659731565114,-0.5462893580170332,-0.33567771702515975,1.1691131475516496,-0.9365409482348078,-0.32376036326259217,0.2556811946228684,-1.1390523882833041,0.7328325170866413,-0.5223310079226834,-0.10747025481569968,-0.5399645991128655,-0.4876726124563949,2.418712555356329,-0.2865918087464892
South Africa,2001,Africa,-0.4071057286759019,0.4490907082453527,1.1390512334902338,-0.3044659216814185,-0.769408944603604,-0.33860098472158856,0.9126226034337261,-0.8348821709338051,0.9687574230239925,1.514203556200164,-0.7784715124051388,0.20489509020306257,-0.5400565212647154,-0.45396763047972544,-0.6130607245782718,-0.4876726124563949,-0.299542294639142,-0.31053615287051106
South Africa,2002,Africa,-0.24916080947992164,1.546035429403136,1.0861005506706605,-0.4430979788013138,-1.0971929456845655,-0.2794344070239824,1.388713081825019,-0.7369116939430423,1.9068804933361596,1.4675070017722818,-0.7918506028449744,-0.5102421232630671,-0.21431134186508932,0.0202824947583594,-0.3820034122580631,-0.4876726124563949,-0.034892446910374915,-0.43575759003160974
South Africa,2003,Africa,0.06277544034108655,0.8150302574859891,1.646273891574788,0.22778430413875528,-0.33263409730448495,-0.5270726088754908,1.1911656737547907,-0.555262903663699,1.287184705068045,-0.7005035607656368,-1.413010124057839,0.2106640200741795,0.21029244615615209,0.10267488358310917,0.0702731175083925,-0.4859409877824842,-0.5587911250673222,0.25780530273577673
South Africa,2004,Africa,0.3919557320921078,0.5158951277263957,1.9450839682533214,0.5103480706139122,0.27976063778826826,-0.3395294358625605,0.6518245503288953,-0.3929776900131181,0.6120528718430385,1.0422634654689085,0.05326233554412394,0.5653965131676678,0.532958983764793,0.22539189712180527,0.5570289517396624,-0.484356272249987,0.4087625456378499,0.4100763661494814
South Africa,2005,Africa,0.27995425165665616,0.744457612014706,0.7361325343804536,0.45707851963942236,-0.0049948393813552695,-0.4392034868380871,0.9255120525053268,-0.19081272925806247,1.8478147073404239,1.4183359006882097,0.0349500447202266,-0.19220601492260914,0.5428168569743094,0.42747985786403203,0.44292544016410396,-0.48436056481473155,-0.9792989006130308,0.49107559275652557
