country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
South Korea,1990,Asia & Pacific,-1.9822911875223315,1.6822503657683414,1.2356881253974699,-1.26139072053995,-1.9133236943856269,2.2405168144161136,-1.6179928744818128,-3.3839017674854914,-2.689133873489969,-0.9210021307395724,-1.5493929355140634,0.7301257279199634,-1.6528188977487657,-1.6317949089720198,-1.2714164069888214,-0.5365599174365218,-1.7203997687594277,3.143879641510955
South Korea,1991,Asia & Pacific,-1.789317711088443,2.1083110995905416,1.1997650434409641,-1.2954585680418944,-1.802210557025359,1.079004553505394,-1.6185554839256082,-2.573953327324843,-2.143019235448669,-0.9210021307395724,-1.5214798438296113,0.39533489481668876,-1.5944982343837666,-1.5659614138520432,-1.3149456522524303,-0.5366284587966735,-1.7203997687594277,2.606202713092103
South Korea,1992,Asia & Pacific,-1.6026552581347988,1.8174265520065433,1.4010574253281987,-1.4472584660201269,-1.63165100895486,0.6931858004111694,-1.6438807905960173,-1.561647882356442,-1.6482777935085406,-0.9210021307395724,-1.4580471447832597,0.8735842707036566,-1.5244443102444143,-1.4943221820753398,-1.4041533813542166,-0.5360016388431785,-1.7203997687594277,1.8371678103790798
South Korea,1993,Asia & Pacific,-1.3899405390913222,1.3281230289451527,1.5855436399711276,-1.4647152474366623,-1.4123035725001736,0.9013721250971899,-1.6140782178532447,-1.0216244310349387,-1.4673007080980036,-0.9210021307395724,-1.390927035299941,1.4887142652209069,-1.4093707100986803,-1.4120270182056434,-1.3490182477879342,-0.5355747165632886,-1.7203997687594277,1.2078442355229237
South Korea,1994,Asia & Pacific,-1.188928764642636,1.5862445711879272,1.4798855953760197,-1.5038751039122613,-1.2845246504424492,-0.26273948914166184,-1.43836982622221,-0.5359849668606537,-1.3285857605057378,-0.9210021307395724,-1.2795095999697916,1.1479662402244788,-1.2939391251423662,-1.28809002694224,-1.3278410836998455,-0.535782657534791,-1.7203997687594277,0.7085194363196817
South Korea,1995,Asia & Pacific,-0.9531633618044938,1.4151545092947262,1.4015875591745945,-1.3681045495665722,-1.0773517432438666,0.16883629970854389,-1.353809403120994,0.058162261143248434,-0.965753415392336,-0.9210021307395724,-1.1858241286094704,1.1569012172677453,-1.1683913832112152,-1.177840339919496,-1.2819906607757023,-0.5364381279523516,-1.7203997687594277,0.28066905974553225
South Korea,1996,Asia & Pacific,-0.7638162005830939,1.0601159784038012,1.3016168995089543,-1.282410670104765,-0.8760331894508285,-0.10528111973913143,-1.2053660094204257,0.29764262559854493,-0.5742706339917422,-0.9210021307395724,-1.0118504453936552,1.2688341016374638,-1.035535813422708,-1.0513135024516733,-1.1124014089850267,-0.5361108749904011,-1.7203997687594277,0.08915745346758053
South Korea,1997,Asia & Pacific,-0.5802711720768746,0.5626748255767473,1.2909065436922675,-1.185448842247223,-0.647415333853995,-0.3102716141994704,-1.0906297620250547,0.8182370288802122,0.18714306805190276,-0.9210021307395724,-0.8578920450406359,1.631497211850218,-0.9162774942843325,-0.9306319412772858,-1.0083209489472214,-0.535830542582601,0.02947629245930127,-0.01967293917671695
South Korea,1998,Asia & Pacific,-1.0397007118884594,-0.3777889901134435,0.5470561949461337,-0.9480054104378585,-0.8852184507125596,-0.035446689447563205,-0.8805481480430832,-0.6837845108779755,-0.06932041590330451,-0.9210021307395724,-0.9140103328991922,1.2071137747730254,-0.9583407095274765,-0.9788241684857331,-0.9524980590370767,-0.5349761223105003,-0.2646518114476764,-0.0577760285922263
South Korea,1999,Asia & Pacific,-0.7684078224442739,-0.5694002120541001,0.41138407023259305,-0.6845033894377708,-0.612193947899898,-0.20080939632746056,-0.8704166494614662,-0.054682343766690025,0.16434712704689608,-0.9210021307395724,-0.7369345128935108,1.1404063064193195,-0.8372801220323882,-0.8421158745654213,-0.8594217005010658,-0.5333281247293795,-0.05987908087952732,-0.09861855580885051
South Korea,2000,Asia & Pacific,-0.3548621286688559,0.018150800803618666,0.7027173278389888,-0.40528208319740106,-0.35997459843067986,-0.6453914855596405,-0.377870929580437,0.18844096719607578,0.2247582002399402,-0.9210021307395724,-0.6195501103834379,1.1428225474511122,-0.5124829722539627,-0.5198217058133994,-0.4957418771696262,-0.5307379528725178,0.7741044036162075,0.9231917440070608
South Korea,2001,Asia & Pacific,-0.21408441549000265,0.3682164921472068,0.6576379195031528,-0.3460371793350695,-0.30696660615814414,-0.6549860022558174,-0.19174252024293384,0.16857823504820815,0.12259725756581565,-0.9210021307395724,-0.505558323243533,0.8058574284944475,-0.383904703736695,-0.39823732293416336,-0.3239460737757264,-0.5320304638924892,0.40923662914932324,0.75733123713955
South Korea,2002,Asia & Pacific,-0.23213831083711772,-0.370862144823011,0.07444936728504356,-0.31869626247034616,-0.17613834391863364,-0.8635575183168835,-0.11163148636211379,0.19000222998499122,-0.1678588896215771,-0.9210021307395724,-0.36259987874260247,0.4359652570005882,-0.25475859724402505,-0.2716182263140201,-0.4083977273315508,-0.5315752369269704,0.2454184446948042,-0.3175245400979526
South Korea,2003,Asia & Pacific,-0.2080133267641992,-0.6025813295752218,-0.08801751533919985,-0.08984434728219465,-0.10596752490299312,-0.5777880095983651,0.04519001628626406,0.232243062107312,-0.1925941321888079,-0.9210021307395724,-0.30531128140505437,0.3462386689108419,-0.17260725536783317,-0.1577704323507852,-0.27293657244019914,-0.5290029305818708,0.13744736857705273,-0.32250533609998
South Korea,2004,Asia & Pacific,-0.025020955764192485,-0.3284169977611102,-0.08724414874779314,-0.016026849293175004,-0.003235794707105571,-0.8507570476014353,0.2699568728179147,0.08765278048942783,0.009495726833108547,-0.9210021307395724,-0.05087632070372672,0.1428105790959306,-0.030832926074360226,-0.02678879581378278,-0.23551296321120616,-0.5238053558685929,-0.09338734588158812,-0.3491525947108264
South Korea,2005,Asia & Pacific,0.015533974925005448,-0.29805403942616165,-0.2863207982325441,0.286346249047482,0.0256831728481471,-1.0273129086079527,0.4826578090141959,0.03205447783971911,0.15618742424735108,1.581250148406728,0.05603604412024815,-0.20042611808315644,0.10018951459790135,0.10296052204579893,-0.17679396687113588,-0.5047125798979604,0.26403414747372683,-0.4385578829472173
South Korea,2006,Asia & Pacific,0.04051677413919175,-0.4790482473194484,-0.5873845483240103,0.36587703213336986,0.08783267670112131,-1.0287545566726137,0.5983422255846379,-0.06838676158050154,0.2541038578418917,1.3066148507396436,0.15709449685619722,-0.5614052040383014,0.19049426914264708,0.19342062089584075,-0.08962264876944762,-0.4772231397750857,0.40179034803775415,-0.44055020134802825
South Korea,2007,Asia & Pacific,0.21020466421328843,-0.4538512560482271,-0.6628804770725739,0.3178115375666082,0.23219011662600533,-1.0509322693892749,0.672178177475395,0.18271633697005257,0.2614585675401361,0.8793971623644409,0.3120488139393073,-0.7018516379548683,0.33427454780574894,0.33379951109060985,0.11418337377879119,-0.4441514806549963,0.4390217535955995,-0.4251097337417434
South Korea,2008,Asia & Pacific,0.31675690765031106,-0.4134111108868965,-0.6794307477485196,0.48624862719281936,0.3167122773624555,-0.9502049478574974,0.758040016651818,-0.2551311384991009,0.16387144930521838,0.18263435709501125,0.36933733169302524,-0.756388713538469,0.4522428871956554,0.4351923194906057,0.41759944156255707,-0.39172367472968384,0.27520356914108046,-0.45325123115319793
South Korea,2009,Asia & Pacific,0.412703802488866,-0.22053589019356834,-0.5782439243578268,0.47187781124686207,0.3548011257603454,-0.8687917245606733,0.8289999318442179,-0.05537623833954091,0.03163303711886939,1.6270222326600605,0.2863596287758125,-0.7236565899847112,0.5020830138410538,0.4790022369638396,0.5305338704443405,-0.27864969665706624,0.8522903552876823,-0.5165073403789453
South Korea,2010,Asia & Pacific,0.8261189903861066,-0.15743955867730824,-0.38926787487357634,0.5481331376494507,0.6985368468062587,-0.7670095349415665,0.9732594895206813,0.17282833930692154,0.15377244494344977,1.8304562639949762,0.7985071007894778,-0.46399449515152075,0.7798545382434683,0.7675295559666362,0.8858191347068964,-0.2236016440493987,0.8746291986223894,-0.6248396534230402
South Korea,2011,Asia & Pacific,1.0804491327364527,0.006680675842286839,-0.2792598979338839,0.7170217681262695,0.8749138549908205,-0.589642152059317,1.0419706363668906,0.13362329594082478,0.4544007776836388,1.3829032412319195,0.9913225741529316,-0.4016920164252803,0.9266159662774343,0.9157043445324695,1.1600583775637294,-0.18939165159960808,0.9081374636244502,-0.6248396534230402
South Korea,2012,Asia & Pacific,1.1224974621925468,-0.09855074664780213,-0.3784104112813492,0.7352191822802754,0.9395631277908684,-0.611924648699119,1.0075702400814561,0.41751291305860155,0.5868953240385826,1.296440729566382,1.2114660527512895,-0.48705841139224815,0.9965587916824692,0.9922135415637935,1.1144173563867317,-0.14177560712679016,0.9490920097380802,-0.6223492554220266
South Korea,2013,Asia & Pacific,1.1009942279118046,-0.22472857643225055,-0.6003970453033579,0.5989337514677036,0.955541368164571,-0.355030275118542,0.988586082519143,0.43433985645024514,0.4111506937864981,1.43376171727891,1.3482169713856464,-0.7563854703526093,1.042096928449001,1.0290776628551996,1.0574430620591622,0.08066311527525682,0.5283771269344283,-0.6918313596503081
South Korea,2014,Asia & Pacific,1.0699679849506716,-0.626081637621095,-0.8552620215239013,1.0202662773268525,1.0415053195724056,-0.28803265306349124,0.9218584714101936,0.48707584398694226,0.49040592366907454,0.7166524548061777,1.046149832640006,-0.8992356455221359,1.0972636221897525,1.0349031693302808,1.1964459294305076,0.28106485046795454,1.1910961458640748,-0.7085170262570997
South Korea,2015,Asia & Pacific,1.1833540745352746,-0.621262912774281,-0.8879096310444388,1.3040025512549893,1.1414416400148715,-0.20752572808033254,0.85239642822703,0.9033258508760991,0.8961224467244809,0.03514285918268709,0.8662089040519674,-0.956254906916676,1.1081451260010018,1.0849801192218427,1.3144344991472936,0.558871729426562,0.7294267169467931,-0.7045323894554778
South Korea,2016,Asia & Pacific,1.3233640934885949,-0.7585140643997715,-0.8998710852712783,1.3472142243299956,1.3085592771687957,0.4382418964064584,0.9206843926342617,1.2932946008185153,1.1167271470763063,-0.13777736307944236,1.0243273993136675,-0.8824284429019763,1.169286462787294,1.2398239265125428,1.3128862621851114,0.7801074912804498,0.8448440741761132,-0.7139959018593298
South Korea,2017,Asia & Pacific,1.3990469823656129,-0.627072368114351,-0.9999696750259496,1.3149844550721277,1.3359840058216788,0.8118998096383795,0.8166953092849741,1.3543254908158975,1.3759715162905506,0.8106777740395477,1.125590165392724,-1.1368543465984287,1.1956821148105967,1.294141245433473,1.413424120817849,1.1940476979224808,0.9528151502938647,-0.7737654538836581
South Korea,2018,Asia & Pacific,1.415347811404431,-0.6198069127333117,-1.1439225937686428,1.1062585328215184,1.3483141054799026,1.1958810867495526,0.9037429464863675,1.0982927050093425,1.5605710706569402,0.5599903608477117,1.4390922628645628,-1.3786237850440655,1.339071048182064,1.3409263690004285,1.4290051462215483,1.5332699858172623,1.1613110214177984,-0.8599332247187313
South Korea,2019,Asia & Pacific,0.9427927604237867,-1.8310195675252197,-1.795129687487726,1.3301768276182095,1.2956259881117547,1.7479465819110107,0.9159601959291248,1.0717988561128429,1.5229564617144182,0.33214536057709027,1.3421915865730702,-1.6882920896822151,1.2905180207418399,1.2940498396783122,1.201827450882143,2.2371060077401217,0.6429080230131191,-0.887377410689902
South Korea,2020,Asia & Pacific,0.632962222989155,-2.2749223364403504,-2.0903736283590155,1.6666857241887196,1.1373041133671749,2.975304803393973,1.0168028592008782,0.5723256104921611,1.1015453357736162,-0.0222801886182615,1.375814773411547,-1.9196246181997156,1.2211064028250733,1.2094328753913839,0.7368813547115757,3.9904817184426293,-0.1499436231388597,-0.9027556183461614
