country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Thailand,1990,Asia & Pacific,-2.0006493995446486,-1.1285154017948853,-1.8590353070144152,-1.596038597013099,-1.6810025761957827,0.836017569543305,-2.600385455161491,-2.014836989117044,-2.0315748209819353,-1.8445893728761351,-1.6597399147598872,-1.353607313135438,-1.8327508787706845,-1.7016615447020458,-2.0732040279307298,-0.51400716932997,-1.4901105764075224,-2.1332382788647415
Thailand,1991,Asia & Pacific,-1.8396686144915475,-0.750235366980644,-1.598204122085865,-1.4205885023065985,-1.5672662916068707,0.17276775107784675,-2.0138240477015814,-1.9034259073540336,-1.9894929250573494,-1.6723707130955607,-1.553804805988745,-1.3513958308771628,-1.6986452477012262,-1.5957007914980068,-1.7641381042808029,-0.5142102518886862,-1.4199432421652711,-1.225335538453706
Thailand,1992,Asia & Pacific,-1.6941015344843775,-0.35945891750348397,-1.4903679153422718,-1.3504194083421333,-1.4738729638139199,-0.36314742325406746,-1.5713721589641432,-1.7140761481286166,-1.8062127036766578,-1.6082576415739842,-1.5143936607343074,-1.5537134106258115,-1.5443646306962062,-1.4719017393866212,-1.6265949687449615,-0.514391011145253,-1.356645437149534,-0.9579285584737365
Thailand,1993,Asia & Pacific,-1.469076631161827,0.7715907596430488,-1.022016843510315,-1.388340510926382,-1.3902446456490603,-0.8578174998805211,-1.0325886392431927,-1.40556070321131,-1.6231848474889174,-1.4909463217826369,-1.442210373556098,-1.90215291429111,-1.403563760931318,-1.3257157269543822,-1.5260097820292826,-0.514521577812339,-1.3386538129848542,-0.8822699967728169
Thailand,1994,Asia & Pacific,-1.2245561163534175,1.0776178403246282,-0.5572716243822152,-1.304246093756833,-1.2203062153225144,-0.7006464121549769,-1.0261113243623547,-1.068873469337189,-1.4081697030946327,-1.368742573187955,-1.3670913977918615,-1.596537866846967,-1.2301570787196867,-1.1951041635094037,-1.2843616551282229,-0.514650573291783,-1.2467329695253082,-0.26219003870549196
Thailand,1995,Asia & Pacific,-0.942856423558519,1.6839309241267608,-0.054750217193802686,-1.2295721248574725,-1.0599745738777702,0.048477481292108146,-0.7385852019676652,-0.764284406156024,-1.2503152749037583,-1.3041762278259184,-1.3273329120034054,-1.4905976613926981,-1.031397759314695,-1.0124240519024406,-0.9738065833573369,-0.5147676398830776,-1.2686500389622817,0.26862082275175364
Thailand,1996,Asia & Pacific,-0.622404213964697,1.8592437075349197,0.7766018850830345,-1.0024859119026561,-0.8298755753397146,0.16938853612398697,-0.9999436223490945,-0.4089468590352317,-0.7238183911096545,-1.0837567739388696,-1.1917698370618166,-0.7001779938702284,-0.8136016445523643,-0.8839505689375434,-0.4267477145577949,-0.514035298608771,-1.1031270966472275,1.493168654725897
Thailand,1997,Asia & Pacific,-0.5520444938302681,1.9737086059527948,1.4763282325237563,-0.8370323394200792,-0.789290432517804,-0.1541787431059873,-0.47173256851870776,-0.4399652747507486,-0.38741558890592037,-0.7526185252806963,-0.9880753579701698,-0.019359138899760608,-0.7380793520679164,-0.7775705842668218,-0.2975979593400856,-0.5140958429047193,-1.028216516034288,2.2589613982912895
Thailand,1998,Asia & Pacific,-0.8116680534260026,1.4319407864068294,1.2688885749127088,-0.8566388564467798,-0.9276235137335512,-0.7749642172773303,0.32163501323890153,-0.7880390156596793,-0.5674150627782486,-0.5872250663507439,-0.8848669341523894,0.20776095001681266,-0.8089149774655633,-0.8193889230684158,-0.7972748424727535,-0.5140391879912459,-0.9852001782587354,0.9659605819210764
Thailand,1999,Asia & Pacific,-0.702704562865578,1.005663115853972,1.2174295464870213,-0.7505287813064514,-0.7870420077640018,-1.154819234365488,-0.4175087995627306,-0.6159653360732846,-0.41221046911335996,-0.4119329908605039,-0.7764867018894479,0.5267089589152675,-0.8092051044756987,-0.7980919645609373,-0.8293592156243225,-0.5140389474804051,-0.9269727400530444,0.20657279595999373
Thailand,2000,Asia & Pacific,-0.6897358581866572,0.6860306689801751,0.7083117235968529,-0.612476428652236,-0.7341040544187819,-0.554600979296153,0.1626818863718806,-0.7086279450462204,-0.40792026083319244,-0.29791497818046403,-0.553996642128595,0.21806081531304455,-0.6766840132308253,-0.6622190462090916,-0.8568407673111096,-0.5141419153411988,-0.6832680127314724,-0.01680010049034025
Thailand,2001,Asia & Pacific,-0.5442979897078433,1.0802061271505128,0.9413251751770448,-0.6598968706502827,-0.6679668963891117,-0.6091285180386098,0.3222919209030058,-0.7577077167479873,-0.3436933192271531,-0.36248389943483694,-0.2935614951600777,0.13919449084802377,-0.5328926035153119,-0.5708685096189428,-0.4366302429968859,-0.5142401344240835,-0.6198066474960565,0.7473914036739756
Thailand,2002,Asia & Pacific,-0.34025066453979974,0.5349874516032083,1.0568582835249944,-0.49624124658909297,-0.4203406439196075,-0.3443007841602033,-0.05410818796928825,-0.37046831802104613,-0.13612294802492417,-0.23357698578767325,-0.14814638947393682,0.7735685465187315,-0.3857535744520834,-0.4056284270259776,-0.40048455678815603,-0.5143286214343488,-0.4366192014556802,0.7413867559199341
Thailand,2003,Asia & Pacific,-0.1760368726476608,0.07254147307791858,0.8272255266222407,-0.3042137760753606,-0.20490103622936853,-0.42532248217771185,-0.24698243908640694,-0.05252955693700051,0.06324555440639633,-0.10762406022828148,-0.027118343813478846,0.9415491480159403,-0.20788339977683243,-0.2633831903805556,-0.4092840684120039,-0.5144222738082785,-0.18898902886181457,0.4375515795654473
Thailand,2004,Asia & Pacific,0.12063622126062755,0.23353336143081363,1.1745122832341994,-0.19254711561651797,0.02101685939005824,-0.862914013028343,-0.333874132374294,0.33402272498611574,0.33901761900364313,-0.02407097501523492,0.07259780002462955,1.2080254163863076,-0.012739509267372577,-0.09390886997409582,-0.0013928603711676887,-0.5145113617210183,-0.21744850708594438,0.9247286673433259
Thailand,2005,Asia & Pacific,0.23040888287348374,0.25120837729386447,1.0350218250208425,0.032478573132010635,0.11143468824774809,-0.9500337084053511,0.1377979870606801,0.27296748898911777,0.2834341852561769,0.11836063746923998,0.21088094872963242,1.0205869111032972,0.13165447193072954,0.03573846109751271,0.20573410554402655,-0.5145696942163376,0.1047651256815032,1.2521821248637086
Thailand,2006,Asia & Pacific,0.26585324523217685,0.10276841459016572,0.5329304905016724,0.15602972654798863,0.17044718389109642,-0.521452195248144,0.47491586247688206,0.2665871186678876,0.3752951154903551,0.19645939343099222,0.27894641567421774,0.5500391724402705,0.27772226280268886,0.1737075367827719,0.2590726836947364,-0.5140831332929062,0.3584470264034885,0.5008005359080155
Thailand,2007,Asia & Pacific,0.4029820816244499,0.0213237069476989,0.32623184988590354,0.3365331656720488,0.30514513820190203,-0.522471382644153,0.7654601523991282,0.2135809652299794,0.36942762475424323,0.38254292773281373,0.42449940384765517,0.37317744254732144,0.3811860181093969,0.2862083008670599,0.5510810925045885,-0.5141355182023872,0.47555614369358606,0.1957644300027205
Thailand,2008,Asia & Pacific,0.5071419214192696,0.03442470678482374,0.4483736787374074,0.6242432379763585,0.39254592829621193,-0.6211555110379854,0.7317899228323154,-0.007081688341164274,0.40318146931144483,0.7762068818838208,0.6598443411159262,0.511487513670609,0.4715271055730627,0.3338329954822084,0.857439474116408,-0.5136703395168809,0.648275735674512,0.09288479848348005
