country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
United States,1990,North America,-1.1562644139698173,0.8652863283016395,1.5166400397904714,-0.6680370745728721,-2.295151928669631,0.05886360136793722,-2.0909636355910495,-0.8738475642183517,-1.7401498324367035,-0.8381910007135144,-1.5275418870468498,1.5777100488940377,-2.1262525045425895,-2.2904952082272008,-0.26820914908261767,-0.7020690899698167,-0.05540603747023331,0.12862327297552775
United States,1991,North America,-1.2979422072843796,0.46618837387869655,1.4574927941117692,-0.7234708123235754,-2.157692908151238,-0.15779026025239065,-1.4638032825522462,-1.1336349577885312,-1.8849396369088516,-0.8643245866342999,-1.5106137073096617,1.6421073564397135,-1.975479533800866,-1.9194181879045529,-0.291311450422006,-0.7020201718660206,-0.05908587911098409,-0.0876044091760125
United States,1992,North America,-1.0891903163448957,0.3886135367501627,1.347139582433531,-0.6962071128602115,-1.8153226935926052,-0.4479904620717297,-1.6119195208697006,-0.9241701906745681,-1.673971012240489,-0.8335977367088953,-1.3527137727023977,1.5375085440352159,-1.9352454771019487,-1.889829964111281,-0.22490246665957037,-0.6957862343155514,-0.1038215324207424,-0.0773256889511465
United States,1993,North America,-0.7567350253013875,0.5475201704329435,1.3345188876808645,-0.9616666781690613,-1.5082331083490896,-0.268774635832397,-1.3274085355118534,-0.7767483923381342,-1.3271703591193922,-0.7790555037116703,-1.083319004391479,1.4696411571452663,-1.6185929898686229,-1.6342933995994802,-0.01807607414220214,-0.694534446278212,-0.19821029558260747,-0.41782000131949565
United States,1994,North America,-0.5409925169703651,0.4910027025763975,1.1976539165345421,-0.6433314706294896,-1.1738094724242205,-0.5056318466553539,-1.2526386688701556,-0.44203289763529263,-1.1872966955761048,-0.6244090772478001,-0.949305314421124,1.3266103514971397,-1.4548135809930436,-1.413849479308727,0.023427007562243418,-0.6976145261360174,-0.2720546513779476,0.15757224044836302
United States,1995,North America,-0.3961302939104133,0.437411372894732,1.1069423892797692,-0.6303940080338007,-0.9344479874713165,-0.13592373455032636,-1.0551249976161745,-0.5353569109944581,-1.114665440410756,-0.672809900333441,-0.6957866686683347,1.2365563167082512,-1.1684426956710392,-1.1821427082758864,0.08620852471086256,-0.7289821823986267,-0.30360558060268306,0.1541003811993187
United States,1996,North America,0.054561189502957706,0.6512899240866864,1.0791273971426738,-0.5314554892166075,-0.5278638995512861,0.14011394016011966,-1.1214582634766144,-0.11681921731539714,-0.6160316655251995,-0.6316750222674692,-0.5552823808335046,1.1360200318170157,-0.9183586133355307,-0.9582526332358687,0.3636117723141765,-0.7238015183877914,-0.30998342272891766,0.35590039929311157
United States,1997,North America,0.7688730438586763,1.4820457640693032,1.1091015044697208,-0.5455719474337998,-0.33659067373164375,-0.06779425146321523,-1.0751418527554297,0.6406762976492217,-0.20844103899529323,-0.6087564410784281,-0.31453405440843535,0.9198738739835677,-0.8637979755722328,-0.8290925339212782,0.52992132172229,-0.7334803009067595,-0.3234899266883559,0.5262880145132947
United States,1998,North America,0.8668879995792539,1.4400665039260656,0.902377412141365,-0.4779259396043357,-0.1757114005150593,-0.5352589585690446,-0.623006275191521,1.0811472144949954,0.10077949837152328,-0.6160609627024443,-0.46837723648492957,0.698426761522385,-0.5139706390469191,-0.5587631668421527,0.5743763641534353,-0.7373720279459192,-0.4148011541282472,0.7066590258313501
United States,1999,North America,0.9567266265935767,0.9897927144172384,0.6866017980699153,-0.5735670390399084,0.3437367810366008,-0.7384109093435176,-0.5750702217300047,1.3556162440498563,0.12881095578320687,-0.6249563438065577,-0.4186762114400833,0.5787598477007793,-0.3373481630189044,-0.334184384584007,0.5959520221879401,-0.7242704136211809,-0.543587360788523,0.579107815080177
