Year,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
1990,420.3920553909092,2.289997406181818,0.41586205906818186,178.43347305252271,173.52079544254545,23.85687962013636,14.643202923295457,58.27257325000001,63.48890909090908,42.71443939252273,42.72847220602272,0.17603822200000002,245.8379772727273,209.96361363636362,97.01989311874999,0.45377561093181823,62.86270454545454,98.62386363636364
1991,424.6952634979773,2.2813940165909083,0.4167290623181818,180.43430993736362,175.02368869763635,24.193030692931817,15.054860599545457,59.103877518181825,64.12797727272728,43.72602233647728,44.00768450902273,0.17665155797727272,251.64840909090907,217.2381363636364,95.60942765202272,0.4391266022954545,64.3748409090909,95.30070454545456
1992,425.09192092977264,2.272591164909091,0.4198798808863636,181.78914994315912,175.5752461409318,24.074530362863637,14.886127987363635,59.48755377954544,64.68790909090909,44.30718229004546,44.12561112147727,0.17808930913636364,254.5628409090909,219.47079545454545,95.00395875529547,0.44925941084090903,64.9651590909091,95.2614318181818
1993,427.78255699704545,2.2559236260454543,0.41586611968181814,182.18631319484095,177.6960398075,24.775091186772727,15.05467549693182,59.60745719545453,65.49084090909092,45.05739312479546,45.04649381979546,0.17868434511363637,260.9475227272727,223.89759090909092,94.85533610961365,0.45379064184090906,65.43181818181819,93.09938636363636
1994,430.1019928654545,2.2536476073636362,0.41419324129545454,185.0780850566591,178.8106675415909,24.65378866245454,15.245054029954547,60.03985782272727,65.85052272727273,46.08518295393182,45.13976038447727,0.1785050583409091,267.0743636363636,229.68336363636362,95.385100333,0.4659518804318182,65.68225000000001,95.31538636363635
1995,440.09140535227283,2.247336001909091,0.40974182475000015,189.6248316105227,183.4772109038636,24.376260047659095,15.284491427295455,61.3380909090909,66.6013409090909,46.79960429638636,46.133192146999995,0.17738907729545458,276.45225,236.76543181818178,98.64087707952272,0.4648642736363637,66.64856818181819,98.60477272727275
1996,449.4331005622727,2.251220667977272,0.40294600025,194.18677765445454,187.85908428000002,24.171123087045455,15.431927656749998,62.71163636363636,68.73468181818181,48.78039842025,47.94679066722727,0.17580431081818182,284.8659318181818,244.0378181818182,99.98906699020455,0.4674234605454546,68.47036363636364,100.36715909090911
1997,456.68147984386366,2.2574796394772725,0.39244799877272735,195.8370950945,189.30290973545453,23.60555512825,15.763491984045453,64.85059090909091,70.95693181818181,49.06827659484091,48.630231072068185,0.17163355397727276,290.6461136363637,249.63386363636363,99.63401124375001,0.47723358563636364,69.41681818181817,100.23938636363637
1998,460.28032487363635,2.256916152636364,0.3913945416590909,196.99690743050004,189.9826762875,23.414443074613633,16.09408238252273,65.35904545454545,71.44140909090909,50.13374414604546,49.16162789877273,0.1705582099772727,297.78415909090904,255.22793181818182,98.79352261211365,0.5024183525227273,69.71906818181819,98.90220454545457
1999,463.69622016,2.242202723340909,0.3819215797954545,196.25457430536363,194.46244010136363,22.553045571363636,16.35811758434091,66.7033409090909,72.13779545454544,51.24489241861363,50.71919481054545,0.1689844750227273,306.2973636363636,262.45656818181817,96.95173696979545,0.5385572987954546,67.65145454545456,97.67688636363637
2000,477.65036910249995,2.262214357659091,0.3748786964772728,201.24024878870452,198.97515112204547,22.603994895772725,16.737241306181815,67.04352272727273,73.68595454545454,52.21361756097726,52.49885051129545,0.16401886152272727,321.22399999999993,274.73161363636365,101.69467113886363,0.6379947177045454,70.00345454545455,100.45672727272728
2001,484.15581031045446,2.2741094032727274,0.3704408360454545,204.48116425397728,200.2639365334091,22.479862860954544,16.96807995631818,67.8134090909091,74.53713636363638,52.892955317318176,52.796939923318185,0.1611863150909091,322.7122727272728,278.6875909090909,103.25816213527274,0.6830282520454545,70.13390909090909,105.41479545454546
2002,490.6814857143183,2.2599459135000006,0.3655219491590909,205.7358077506591,204.75950961909092,22.144699787159087,17.160079018931814,67.41243181818183,74.65965909090909,53.97426811515909,54.42932139454547,0.1598747088409091,335.6438636363636,287.93861363636364,106.54868809422729,0.7360875500909091,69.36386363636363,106.4420909090909
2003,512.9268809177273,2.259610370704545,0.3594432594318182,215.4039451208182,212.2626972540909,22.033346678568183,17.22914632018182,68.76093181818183,76.49220454545456,55.52128025784091,56.051718829863624,0.15724339904545453,347.7829090909091,299.2850909090909,115.50795846061365,0.8106646320681818,73.31686363636364,114.25609090909089
2004,537.5774130231819,2.252186711409091,0.34925350693181817,224.58191360461367,221.4790190818182,22.110675845636365,17.41868863609091,71.46486363636365,79.2801590909091,56.65557079056819,57.63608709504546,0.15274520552272727,364.0507727272727,312.69147727272724,122.55721131377273,0.9386305645454546,75.51368181818181,123.09024999999998
2005,557.1169197370455,2.2540710013636365,0.3387608299090909,231.1669892982045,227.85622832250002,22.282050835045453,17.67209493734091,71.81568181818182,79.78384090909091,57.761739848954555,58.86148204947726,0.1478585772272727,380.53570454545456,326.4368364909091,130.7250117469318,1.1106259118636364,76.17554545454544,131.14565909090908
2006,574.2335874118181,2.2488058656590906,0.32857974349999997,236.9827419121364,233.90146749613635,22.417412482136363,18.04189275963636,72.24965909090908,80.55897727272726,59.162072251636374,60.03433345047727,0.1429482601818182,394.99843181818176,339.4070938181818,138.40537593525002,1.2256699017272725,76.29488636363637,138.93752272727272
2007,594.2846843738636,2.2495210754545454,0.3170087974318182,240.77881549372725,240.53498211022728,21.931391145931816,18.224818443045454,72.91247727272726,80.94347727272726,60.16908160006819,62.49079985595454,0.13797713229545452,413.0611590909091,356.9803134181818,145.88091674227272,1.4609799559772727,75.6175,145.0079318181818
2008,597.6328258377272,2.235975962113636,0.31364089165909087,245.0472349326137,243.06096937863637,22.042600171863636,18.268856463840905,71.70488636363636,81.24761363636362,62.256576633090916,63.945312122886364,0.13699816820454547,420.50086363636365,362.9129781818182,148.94266129575,1.7545545306818184,75.77213636363636,149.51593181818183
2009,591.2560628727272,2.2103587277727272,0.3059018146590909,242.28109504022726,240.77176746590905,22.730225307659087,18.456958236272726,69.64936363636365,79.31902272727271,60.51439372772727,62.35673577045455,0.1351051103409091,418.5595227272728,360.7852685968182,150.09268503577272,2.144782378772727,73.5264090909091,152.37918181818182
