Year,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
1990,-0.6903228788142219,0.2926594827529135,0.6509908605074843,-0.8404575852589214,-0.950330326645491,0.1049178164280129,-1.3031744277984443,-0.7249211327658576,-0.7715676348586215,-0.5127996378230326,-1.3160665930047142,0.7191407682779897,-1.245838870327268,-1.1646092881219745,0.1963039461641735,-0.6314782503437844,-0.21792030638106816,0.08768495608436595
1991,-0.6580791423431684,0.2627050148745575,0.636282271108529,-0.7930483196208961,-0.9133263721858937,0.08233146271339606,-1.09920044316393,-0.6928763202215874,-0.8338734798040115,-0.5352886017797196,-1.208810562272666,0.7174082522837506,-1.2452183877113954,-1.1662452393610498,0.03849593808354308,-0.6477837365775003,-0.19607792014137304,0.0754276267034529
1992,-0.6608147476588067,0.23957037431161776,0.6609051813307786,-0.7953313072993634,-0.9570444182429843,0.07201320082768368,-1.1854944719192688,-0.6360198592158913,-0.6945321968007047,-0.6117360568800718,-1.1190348048557472,0.7392481966732501,-1.2535961359837948,-1.2024425016621512,-0.11546876446805142,-0.6484945649587505,-0.18053222818980744,-0.005716933971823892
1993,-0.6791047750935139,0.0884067807210362,0.6214999991809718,-0.733499674357263,-0.9108182008549459,0.20579283078200541,-1.099334841121205,-0.6861955481883059,-0.6063929320515289,-0.5210716147610893,-1.0325318635307559,0.733909497839819,-1.2119652175670141,-1.2044313143180876,-0.22338294127024233,-0.6519362458226677,-0.1447965071083418,-0.017326291853846907
1994,-0.6517082118007731,0.06799823365295782,0.5571311604067448,-0.7125261678195649,-0.8675752366198771,0.16403402350733426,-1.0639103298276675,-0.5939095889005859,-0.5079913391283376,-0.5204024379006165,-1.0150900475248847,0.6771778411441532,-1.1746248584779546,-1.1662843898029303,-0.1811384035710299,-0.6282366530875462,-0.047847317410885985,-0.0035337802558865093
1995,-0.572201258105833,0.015673791117527,0.5815752848746807,-0.6058203907331136,-0.7162466719918504,0.12645008008057848,-1.053085308096668,-0.4428865506256189,-0.42761493953863905,-0.45025806531530466,-0.9078627750425912,0.6900269450637737,-1.0105914594548229,-1.018795820802612,-0.17775355578133117,-0.6283764157439227,0.017184738334696067,0.005519746131211473
1996,-0.38696872382414466,0.10923187977450217,0.6000843729539377,-0.39977775928540404,-0.5036577773607421,0.01601414301502987,-1.0202105078925803,-0.26961671446109253,-0.19920042366439547,-0.3105638936644901,-0.6590809279345365,0.6662530323357291,-0.932602199813198,-0.8741847502869007,-0.1990019609978191,-0.632410404033389,0.059922291250829415,0.042366274321725364
1997,-0.34846347000348216,0.21061479103810354,0.5829532946866863,-0.31974278734231854,-0.47758494903996507,-0.11519971534963275,-0.8489720553438297,-0.1650737697359936,0.022683793782789473,-0.3045335521917426,-0.6003201057549226,0.593988460286857,-0.8557132171996057,-0.7912249531658516,-0.2500999756134767,-0.6345903387822754,0.20551744359841945,0.012436655731781942
1998,-0.3014340619549319,0.20532845908731326,0.5932086212199676,-0.3349313938015755,-0.4281096538809569,-0.04405987524140236,-0.6674744368872327,-0.15034949176823245,0.1061116975997103,-0.26611825345969625,-0.5053680073316582,0.6244704585846756,-0.7491415633445713,-0.721545139508299,-0.23778608319906772,-0.6366988374845783,0.15873492249528373,-0.0680349940595269
1999,-0.2808403443560907,0.09761232375004981,0.5996212630815927,-0.39253712290646425,-0.3829653502612638,-0.14584929793754595,-0.5847938660493505,-0.13909309901116387,0.012093271787617403,-0.14559552002622309,-0.39600556367249845,0.651203556800991,-0.677334086988177,-0.670650783294791,-0.322438070995756,-0.6241264233065831,-0.01441264192974217,-0.19385889349674243
