Year,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
1990,-0.10719259916275367,0.09182089573421548,0.3108109883295103,-0.12821226171603092,-0.11783698767995693,-0.008638246792567557,-0.408484253068158,-0.08243862821816976,-0.0995551570524711,-0.12031418351537981,-0.14554991202588619,0.3063543029254085,-0.17104671311432573,-0.1706704564291475,-0.08085705201921614,-0.408973586587414,-0.0941824708783138,-0.0813244223941017
1991,-0.10364389183025152,0.07646834708542255,0.3143295095967958,-0.12322073310718293,-0.1144603032956031,0.0045537166968230396,-0.3520441284858106,-0.07595888052706998,-0.0948070935013364,-0.11259617796227617,-0.13464936750286127,0.31313373079583673,-0.16408417736978323,-0.16074009897280925,-0.08420288676335429,-0.41192451268919855,-0.08154140480882895,-0.08939352418499058
1992,-0.1033167821247293,0.06075986297399456,0.3271163384137646,-0.11984078609572148,-0.11322106997045434,-9.672816042543098e-05,-0.3751781308428157,-0.07296824825937046,-0.0906469867511212,-0.10816214141026982,-0.13364448013076857,0.3290257225260843,-0.16059186623971777,-0.15769232475007586,-0.08563914941490691,-0.4098833391215251,-0.07660649859412966,-0.08948888393915835
1993,-0.1010979073449244,0.03101702748389743,0.3108274673397537,-0.11884997482661075,-0.10845609359433502,0.027396186659839502,-0.3520695068892194,-0.0720336399431024,-0.08468147100738799,-0.10243830885338247,-0.12579736763039678,0.3356028737738686,-0.1529412170680816,-0.15164936318437452,-0.0859917045276824,-0.4089705587305078,-0.07270535016468414,-0.09473863707224815
1994,-0.09918514856851939,0.026955525076160634,0.30403849834799657,-0.11163581254887217,-0.1059517600022298,0.02263577206806429,-0.3259677511306754,-0.06866321701440911,-0.08200915500183105,-0.09459665073122428,-0.1250026157831549,0.33362115121255537,-0.14559953401155118,-0.1437512792141989,-0.08473502466800442,-0.4065207740878216,-0.0706118054053182,-0.08935787464726351
1995,-0.09094722456918201,0.015692611922107372,0.2859735097972292,-0.10029295113286225,-0.09546702061909693,0.011744397177612704,-0.3205607060358265,-0.05854391032268129,-0.07643082620367735,-0.08914587882836422,-0.11653729135454348,0.3212858027530273,-0.13436218177023238,-0.13408363898373388,-0.07701183596566151,-0.40673986381333493,-0.06253363714334147,-0.08137077783015545
1996,-0.08324345067191787,0.02262470818089996,0.2583943132578973,-0.08891217123879441,-0.08562187469586201,0.0036939713014283904,-0.30034653382806104,-0.047837568098338286,-0.060580814419675444,-0.07403314868705656,-0.10108308459756739,0.30376879670372164,-0.12428021846089803,-0.12415619784993134,-0.07381372814149599,-0.40622433599593466,-0.04730390174393911,-0.07709145367683423
1997,-0.07726596223414316,0.03379369726709617,0.21579073424965475,-0.0847950906421307,-0.08237790320776645,-0.018501263124429665,-0.2548875687236354,-0.031165109760562457,-0.04407023772895423,-0.07183674416739935,-0.09525928776233433,0.2576678891819288,-0.11735393074625478,-0.11651710814068977,-0.0746559734006798,-0.404248164439815,-0.03939178830723567,-0.07740170398813696
1998,-0.07429811884197347,0.03278816810366592,0.21151553544445675,-0.08190168313855038,-0.0808506110374659,-0.026001293432193883,-0.209562133654003,-0.027201871157031418,-0.0404707330979383,-0.06370761889300379,-0.09073109900484466,0.2457817169141374,-0.1088005395046734,-0.10888071758102912,-0.07664973796430798,-0.3991748937621088,-0.03686505704715693,-0.08064857117344627
1999,-0.0714811477942876,0.0065323956941811066,0.1730718297474037,-0.08375359673504947,-0.07078552593270122,-0.05980610719710737,-0.17336171630603803,-0.016723523214949455,-0.03529681456348418,-0.05522996652722003,-0.07745861293701084,0.22838664633804998,-0.09859931990463405,-0.09901299900979214,-0.08101872858385256,-0.3918949909035321,-0.054149768407835454,-0.08362381757749758
