country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Algeria,2011,Arab States,104.8249292,2.418983518,0.251209393,149.6147708,43.33428831,0.90019008,11.19722475,14.83,32.817,81.82993469,29.63897932,0.103849154,55.766,41.096,0.439,0.0,72.284,0.0
Argentina,2011,South/Latin America,170.7624513,2.207371595,0.200735375,74.42451376,77.36008369,25.58259849,18.32218907,27.868,27.373,39.79501809,46.4449791,0.090938642,129.506,115.916,1.836,0.047102065,32.401,0.085
Australia,2011,Asia & Pacific,389.3908041,3.066718951,0.394655624,312.7862855,126.9730974,10.39555591,23.01580791,44.949,34.467,56.39806616,32.38301841,0.128689857,253.82,224.154,128.288,2.945788354,23.242,414.803
Belgium,2011,Europe,105.6152739,1.886810369,0.212620237,16.12204517,55.97556363,10.64261256,17.2000966,20.132,32.776,0.0,21.42711294,0.112687655,90.241,83.894,5.372574506,3.857448388,0.0,0.014
Brazil,2011,South/Latin America,396.9225922,1.465153409,0.133995801,249.9366093,270.9085545,87.15860816,17.65466766,109.238,99.741,17.17499436,28.22503202,0.091455134,531.757,475.893,25.08562274,0.508691,110.509,5.505
Canada,2011,North America,558.5376228,1.338528562,0.242507798,414.2859808,267.2789835,62.48397588,21.87651455,103.81,93.97,157.7369613,107.5090828,0.181174914,633.42,529.907,48.531,2.102870134,174.218,67.507
Chile,2011,South/Latin America,76.30633002,2.269921867,0.213528394,9.882962651,33.61628042,39.59642689,19.68594467,14.236,8.834,1.479999386,5.70299855,0.09406861,65.713,58.492,9.57989067,0.51435789,0.582,0.654
China,2011,Asia & Pacific,8488.02207,3.117610083,0.638610879,2385.818419,2722.605408,16.9541671,17.86814005,419.309,415.998,105.3370065,131.2731499,0.204839881,4715.761,4051.605,3694.925201,1.549548419,204.119,3608.201
Colombia,2011,South/Latin America,64.67277394,2.068720207,0.114730854,120.897009,31.26221405,81.8917137,16.62706075,11.383,15.059,12.30299422,10.01500121,0.055459822,62.187,48.52707533,5.023,0.078794603,47.3,85.803
Czechia,2011,Europe,110.103401,2.53122935,0.330901474,32.61415665,43.49799475,9.086960001,17.26534367,8.527,7.449,0.235000107,8.412989336,0.130727575,87.477,55.747,52.8360696,3.044228769,0.349,58.08
Egypt,2011,Middle east,189.9997282,2.469875701,0.203117439,84.3836769,76.9268381,10.19278965,19.83684556,33.608,27.357,56.38694958,47.78402931,0.082237919,144.043,124.722,0.702,1.213526516,34.166,0.0
France,2011,Europe,339.4614687,1.315583492,0.128569741,136.5771385,258.0311099,12.41026607,23.72638571,75.305,71.937,0.562999474,41.20601054,0.097728302,573.501,442.472,16.26035986,2.753438965,1.124,0.617
Germany,2011,Europe,751.9052497,1.817301249,0.152971946,125.0688714,312.5947264,21.18302527,19.96712888,97.93,99.768,14.82901306,85.80190781,0.084175338,613.123,539.891,236.3357642,11.67400342,3.913,189.462
India,2011,Asia & Pacific,1662.088076,2.265610158,0.302118288,521.4335823,733.6160945,17.51613634,12.93314064,155.558,210.962,46.45300909,59.79904767,0.133349635,1059.72,788.076,716.457,2.455837391,42.731,582.282
Indonesia,2011,Asia & Pacific,460.6693749,2.246249587,0.214458848,424.8456893,205.0837884,11.99289052,8.856602008,70.905,47.876,81.45696685,41.03004672,0.095474185,183.417,157.993,79.548,5.112394162,45.284,435.936
Iran,2011,Middle east,531.2966547,2.549961613,0.486529077,345.6889512,208.3547658,5.122640095,10.02266591,76.218,90.754,150.3859122,152.7810824,0.190798589,240.052,191.455,2.12472578,0.090397081,212.059,1.164
Italy,2011,Europe,393.4914476,2.33968498,0.168471352,32.15656583,168.1813796,28.05751829,20.08227492,64.297,85.642,8.448994483,77.91690289,0.072005998,302.582,313.791,24.172,8.960876721,5.825,0.021
Japan,2011,Asia & Pacific,1170.885982,2.514166435,0.239793584,55.39776158,465.7153821,10.94294404,26.10245701,187.921,169.415,3.517001398,129.7098593,0.095376973,1110.734,1011.722,178.9212942,2.987393921,0.629,1.195
Kazakhstan,2011,Asia & Pacific,231.7584056,2.999699808,0.609797055,160.2172663,77.26053287,9.10424318,13.32600238,10.094,14.844,28.5309909,25.37497426,0.203286027,86.586,71.25868,89.66,0.0,81.278,116.45
Kuwait,2011,Middle east,81.81995938,2.942078775,0.496860926,154.2038032,27.81025446,0.0,19.11922604,15.46,46.219,13.533,16.993,0.168880905,57.489,38.802,0.0,0.0,140.883,0.0
Malaysia,2011,Asia & Pacific,199.3600377,2.618158306,0.326665493,87.39831084,76.14514265,6.720141086,21.99030509,26.528,25.627,62.44199171,37.26799987,0.124769191,129.283,111.852,23.432,0.001025473,30.176,2.916
Mexico,2011,South/Latin America,464.2602479,2.482530386,0.232409597,223.788811,187.0109025,14.88857106,16.56358403,89.799,67.256,48.96001979,72.68005924,0.093618027,302.749,238.955,26.125,2.707193087,143.396,19.518
Netherlands,2011,Europe,178.5152631,2.31872367,0.214130645,66.44797373,76.98858879,10.81247093,15.0142575,24.133,56.954,83.38199477,49.17301059,0.092348497,113.961,112.958,11.938,4.697220979,1.594,0.0
New Zealand,2011,Asia & Pacific,29.28293164,1.587759578,0.191541547,16.25561203,18.44292552,76.09601225,25.99977388,5.998,5.518,4.358999206,4.324995299,0.120636367,44.411,40.342,2.982329476,18.30852717,2.275,4.959
Nigeria,2011,Africa,67.90080689,0.488783991,0.083849182,259.1102634,138.9178207,21.76148554,1.78351288,12.829,6.382,38.34099563,15.00834211,0.171546497,27.034,23.679,0.032,0.0,122.56,0.032
