country,Year,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt)
Algeria,2019,Arab States,1.901655573418253,-2.603881191791525,2.107498478537203,0.5324648363532833,2.0729588459815287,0.4868020625251337,1.2734955574674962,1.6106558122435464,1.4400784480007605,0.8878055491501473,2.0460267033332147,2.515817157909972,1.950840584582378,2.030406496960109,-0.8363018654464333,2.5674090323465655,-0.2354124223263294,0.0
Argentina,2019,South/Latin America,1.7073006035613134,3.806622235333672,1.2956435094354055,0.3818859805950853,1.031927843067146,-1.1042290004675548,0.9819701670040978,0.4290214560859312,-0.435630831004618,0.8656293390207774,1.1957086400200632,-0.8607467138786472,1.1052345042041665,1.1781554799447824,-0.7447123143023539,2.3724070693513823,-0.8543680959221635,-0.3912055657302672
Australia,2019,Asia & Pacific,0.8486480455414893,-0.914677863849762,-1.733774133313148,1.9857263361400492,1.0919963079013777,2.3769825838514436,0.3179110736146273,1.4791814723062078,-1.89003515671051,2.666480336532449,1.722995363826493,-1.6199839100942726,1.203620396020714,1.2884334188739954,-1.0963773012379905,2.407359783791068,-1.626117556122942,1.417512339027156
Belgium,2019,Europe,-1.1401636028502218,-1.2076999963333477,-1.339402981405052,1.7645104406701868,0.1007671878913846,1.5859752586890423,0.6583412090167703,-1.2017870235379935,-0.1095062956360882,-0.4252709427904378,0.847467626095446,-1.4299622346468028,1.6512368129797834,0.5880466583857431,-1.1117156043612737,1.862534980357123,3.0550504633038935,-0.4960753493629588
Brazil,2019,South/Latin America,0.9878285058380096,-0.9042518201644052,-0.3608129208894094,1.619060514713344,1.270018815868092,-0.7573738729164164,1.935693983411956,0.7873159845341646,0.4757642813556763,1.66063558492369,1.1913264189548427,0.8605340646808867,1.5544635256382633,1.434620545047192,0.9075685255201864,2.6398073782465006,1.6286218711477696,-0.3546808557554632
Canada,2019,North America,1.1291732170755748,-1.9581109849934404,-1.512974826000141,1.8905509229647872,1.6630605955949185,1.623165728716008,0.3337326876475652,1.032806235399351,1.2462039234306277,0.4972614967111872,1.7426154660048263,-1.1699249937897678,1.0724248995618104,1.651744332194358,-2.0025810365148513,1.949216228377477,2.076946203406474,-1.576926919161829
Chile,2019,South/Latin America,1.3510566781287787,-0.0619885174474254,-1.2594699966729572,1.666431730777771,1.47125634297823,-0.4843471232281469,1.2720615001494298,1.2755052051214593,0.6449502376997027,-0.1385040363133828,0.5327909728112595,-1.2419898228853594,1.5308734436567502,1.477819705015068,1.405710180950036,2.6699305521543293,-0.4906576151723585,0.1449024981228802
China,2019,Asia & Pacific,1.388443385226162,-0.2737959098715258,-1.3281570155160527,1.4886910392410635,1.5674098535682046,2.075947198247214,1.7542334554702546,1.835420201498339,1.950223386895447,1.9277077523431312,2.1995363339510363,-1.174802129227831,1.8593710278961957,1.8656280057669876,1.222474194590672,2.4272845152986937,0.8149081052531121,1.2881982067548274
Colombia,2019,South/Latin America,1.8335101831273253,-0.7082785744133803,-1.13632569588765,1.1550413264291053,1.7763082065704834,-0.4839728979122125,1.9012287493139644,1.747969522592935,2.168242337779303,1.0354603420912312,0.9958834186710468,-1.0518870550559205,1.800284618333876,2.074662841213393,1.880817438261175,2.633912334740491,1.0615991562804907,1.095035096696977
Czechia,2019,Europe,-1.423917710631204,-1.5430311062496782,-1.3836914668613272,-1.522097151228902,-0.27968511928284,1.6057644387220724,1.1836443276309154,1.2124892453912497,1.1042970755227015,-0.4192498272534122,0.1168991375199679,-1.421379016669992,0.9569014188598384,1.7150812462194758,-1.4195867768876995,1.6101821476694345,-1.2561087668729154,-1.423774775015027
Egypt,2019,Middle east,1.6296784360695695,0.404123442992668,-1.0784350292501332,1.6724338361807811,1.6818585054167237,-1.1011668412006728,1.1675474548621771,1.0060114843014785,0.3089509216885663,1.5785862568066482,1.653508371968411,-1.1402209215906345,1.6546303711934238,1.5935770195572247,3.192816508631741,2.0456469651112186,-1.1710993441685131,1.4813834729179642
France,2019,Europe,-1.563134816407591,-1.2747486906918597,-1.510942207707452,0.1732709883926396,-0.6238248492887187,1.818123312164753,1.2961454714147267,-1.5213940943154112,-1.7394935197444366,-1.229068498883469,0.3434474647563683,-1.7272966457532486,0.7256347270109922,0.6154968913984246,-1.7566441558853358,2.211101038506527,-0.9241766898105624,-0.7295170798871721
Germany,2019,Europe,-1.8251317028507923,-1.6154890882454824,-1.5644738165654617,-1.780275375944074,-1.8754628540547476,2.071878454485889,0.3669660332015457,-1.1682524183541847,-1.4238133325113582,-1.8232783338175016,1.2586421007306654,-1.6767202245922774,0.3825062916781659,-0.0006855860689451,-1.6338687714639135,2.186755861735336,-1.4013215188240271,-1.4440449277901053
India,2019,Asia & Pacific,1.7650459823013267,1.4063222654320724,-1.8911330897923235,1.5320871582419069,1.74518736473696,1.2539819731296136,1.5623375330411975,1.8874296516537623,1.518384853982651,0.1850926484652034,1.5132079592042798,-1.5555696440983064,1.8202509157437656,1.8504561182336503,1.7516474201625416,2.37796549287573,-0.0315682478570414,1.6849082226666143
Indonesia,2019,Asia & Pacific,1.9718587402047671,1.8702445197809008,-0.6093273359602718,1.6894086032535895,1.670314233277794,0.4791612334808932,1.8679558471083184,1.3560952875130243,1.0867064735043714,-0.2658587188048816,1.3174873315301097,-1.6425859948838786,1.908020862838424,1.9924244858995712,2.341170941913344,0.461495500670981,-1.2634632283621745,1.8459300684847904
Iran,2019,Middle east,1.3818922131327138,-2.0085005985515902,1.5806321579020235,1.0001789108063774,1.5689679819018532,1.057357901448579,1.4985584401831855,0.5879071205475289,0.8727065569080955,1.8028244680006096,1.6227724533725834,1.9054464963709696,1.5367907185415812,1.6482843587858556,1.7961693886560146,2.1357196244757866,-1.9044901317694076,1.7664071231620533
Italy,2019,Europe,-1.5922046037721225,-1.5904634617627766,-1.813625465196276,0.9572261697372364,-0.9863012605757426,1.6029024024712577,1.4555062741771818,-1.4322699158410457,-1.464611421588808,-1.4027880170417106,0.4680264889526283,-2.0396839266686366,0.5159609089121724,0.6385063907963507,-2.2222292147802185,1.7232757791877242,-1.0801694534151287,-0.4205871909368188
Japan,2019,Asia & Pacific,-1.4873156611764784,0.873977734126998,-2.2624295765165288,-0.9468260438356229,-1.5831970101800494,2.2856978941970123,1.0370146375481977,-1.805896199209705,-1.549145802097042,-1.0514658453374508,0.4049339213829563,-1.9046946302102563,-0.4224894973985851,-0.2483755651773822,0.8933093868357158,2.5042545206470854,-1.7080098934371055,-0.7979573983497906
Kazakhstan,2019,Asia & Pacific,0.473923285405348,-2.623008340170501,-1.2142500172343889,1.4390779585784537,1.1710958746689788,-0.0520612268195492,1.8916165741818127,0.2846824876514511,1.2061489159718133,1.686501803202782,0.4531757209347306,-1.0037373663629805,1.5975084181877597,1.4366440741487094,0.2123420662382756,2.6787069484332955,1.3738385494222414,0.3222233306534511
Kuwait,2019,Middle east,1.3105375588007675,-0.0791821546370225,0.9275859022611536,0.900416658589635,1.4463301923845984,2.940204964614084,0.8204558136529102,1.033632355181397,-0.293345729554193,1.6971811531599663,1.804372277521736,0.9845883873242448,1.5555043173767225,1.7075111247105847,0.0,2.940204964614084,0.8053276776378262,0.0
Malaysia,2019,Asia & Pacific,1.5591934305550506,1.0605421184405424,-1.2971491084165414,1.0342609108178225,1.5440478980346424,1.3201237552800404,0.889196685621111,1.301052744735906,0.9277499176976698,1.100388667203659,1.308768667736933,-1.741211121158719,1.7047897043511586,1.6952900147513472,1.8177286675007145,2.3198007870982127,-1.0235263897040956,1.8156912673579757
Mexico,2019,South/Latin America,0.8078561214239102,1.3464255887288414,-2.127959316713687,-2.1291363853609635,0.5607455468015035,-0.2204522979886275,1.557640583636973,-0.897288184432668,-2.5595871494249507,-0.905369623189009,1.5020626719079824,-2.0984828623163323,1.35574945564945,1.4799034353628562,0.6109527114927253,2.6731423281031463,-2.178160541238015,-0.4903991275597845
Netherlands,2019,Europe,-1.8698528316439704,-1.8241302637991053,-1.6202075933602198,-2.3389628211984195,-0.8026806889615772,1.788550844565293,1.405722336352858,-0.1635848950619137,1.6582829349033852,-2.328756262836859,-0.9873613478231724,-1.601550816758197,1.5491022415935718,0.9902672481997732,-1.4872489883079223,2.1240872968295443,-1.5491977143442264,0.0
New Zealand,2019,Asia & Pacific,0.7493377644175416,-0.9630874778618812,-1.7056075485535689,0.7481260087370373,1.462531804996781,1.15429974632517,-1.306593016826473,1.6790334758440524,1.192230287674582,-0.4401473964146606,-0.1389880067522586,-1.4491130536751533,1.0272985846261382,0.8638789493135675,0.0848613767531391,1.5591684446794136,-1.2193316794202196,-0.950208106250325
Nigeria,2019,Africa,1.44570038070557,0.7572853627607485,-0.7962229798637381,1.306828341160197,1.543093478685556,-1.130707969620758,1.036680157810449,1.3405653494573526,-1.5982880887366104,1.442651919296126,1.5595873733307384,-1.1776599049176375,1.8452338250010605,1.5194994635543926,0.7064183867248616,1.911991152590204,-0.5449619527077529,0.4407631309907469
Norway,2019,Europe,0.666344135397229,0.3668877030984308,-1.5246486410601114,-0.1886894478541535,0.3410042570719513,-0.9496221962939032,0.4003480049051107,-1.3044877538717898,0.5694598630960067,1.1006105813296114,1.3488639728063945,-1.8214378079310871,0.4074078488117643,1.6312654316057136,-0.5108564405046048,2.3555024247454512,-1.317807830008822,-0.99888853168146
Poland,2019,Europe,-0.6700114060641843,-1.9040289236362096,-1.1743992638152565,-1.4110141629275026,1.2614297246712467,1.692101956433366,1.067709638890287,1.8367388587578457,1.5824085029968291,0.1657867548850468,1.7217853810209278,-1.14950911074762,1.05387071680367,1.7891200242620569,-1.5545730878336146,2.194120102600605,1.387695433886809,-1.560090574048182
Portugal,2019,Europe,-0.8983279060275035,-1.5504751217786188,-1.8928663242381287,1.2636933027316304,-0.2046092240247404,1.254278065936292,1.1507845097600702,-1.1458257921755477,0.1731758881201283,0.0,1.326673364479669,-2.051954491095102,0.8492416884300655,0.8200072768550278,-2.4142512765137307,1.7752180913222606,1.5629110983736492,1.9070655318364171
Romania,2019,Europe,-1.0560860552963574,-1.420283150735394,-1.2502818338101525,-1.218969643384031,-0.8978834948846566,1.5718491667469283,1.3369555242247668,-0.4217519515781037,0.1715541717440775,-0.8750634622085078,-1.1214748643150454,-1.2995082594934604,0.1354154124854346,0.963905698867872,-1.5374874417883675,1.891473606768277,-1.3764741614589002,-1.4594138691275549
Russia,2019,Europe,0.4346962226070311,-1.33164024602195,-0.9906410195292626,1.8569499759872925,1.0813502810646778,0.1083603835178999,-0.1687249646447174,-0.035443626252987,1.182963371253935,2.532200254319325,1.7182350277415788,-0.924672411507844,1.4653682214363832,1.4089367726823785,-0.2355011935761791,1.8306700583522064,1.2911851491560675,2.15125721539441
Saudi Arabia,2019,Middle east,1.253179550067706,-1.1087816369861128,0.4033626983021572,1.2760250041581005,1.445512864193767,3.655479098632176,1.2959955361467264,1.309967899308035,1.287317644876752,1.5579642763124049,1.5579642763124049,0.7628327833278624,1.5651763931453564,1.4510131871465413,0.0,3.655479098632176,1.1502787479515342,0.0
South Africa,2019,Africa,0.8887706312867611,0.9905431737799956,-1.9513684271827407,0.8682580083663596,0.652446313451141,2.4856408923037296,0.2147967567715634,1.587073853558492,0.1416610629943344,-1.0495457567579582,1.0864089694820458,-1.6498964609452185,0.7698671430813393,0.9914074279244316,0.3319590120149339,2.4688835684748707,-0.6641379675152735,0.8121916578692444
South Korea,2019,Asia & Pacific,0.9427927604237868,-1.8310195675252197,-1.795129687487726,1.3301768276182095,1.295625988111755,1.7479465819110107,0.9159601959291248,1.0717988561128429,1.5229564617144182,0.3321453605770902,1.3421915865730702,-1.6882920896822151,1.29051802074184,1.2940498396783122,1.201827450882143,2.2371060077401217,0.6429080230131191,-0.887377410689902
Spain,2019,Europe,-0.6066289912122914,-1.7846097672044174,-1.8383491601192172,0.5061451313566081,0.1773890298192068,1.3393649878464804,0.9821326488619598,-0.5107952307435071,1.756296621598742,-0.4191383019199122,1.0539894945926478,-1.871511322099547,0.5521310491039163,0.7279403293709796,-1.9729595502996535,1.5442958500926416,-0.9104157569134356,-1.2145221121807968
Sweden,2019,Europe,-1.6755839698295378,-1.7684279394576528,-1.423885519973728,1.976215389813789,-0.192355297362629,0.9590797303589736,1.0099764248723355,-1.6910747520743172,-2.3044817716180104,0.0,1.222507134307062,-1.3420079071686686,2.0077602771993415,-1.1720369675836209,-1.5711286687833097,1.888036573905341,3.6391267143702546,-0.7524943108275814
